market_id,match_id,question,current_crowd,status,opening_time,closing_date
33e7f75a-cc38-4762-86f1-32fc2fb975cc,780369fb-f757-4166-998b-c2db986f87f4,Will Ghana be caught offside 2 or more times?,50,open,2026-06-01T19:46:00.000Z,2026-06-27T21:00:00.000Z
9c41d950-c256-43af-80db-076ed84dc567,780369fb-f757-4166-998b-c2db986f87f4,Will a penalty kick be awarded OR a red card be shown in the match?,50,open,2026-06-01T19:46:00.000Z,2026-06-27T21:00:00.000Z
bb1836ef-4d8b-4360-8482-e474be117aec,780369fb-f757-4166-998b-c2db986f87f4,Will Luka Sučić have at least 1 shot on target in the second half?,50,open,2026-06-01T19:46:00.000Z,2026-06-27T21:00:00.000Z
ccbcf840-6275-4403-8791-02c64bdd1893,780369fb-f757-4166-998b-c2db986f87f4,Will there be 4 or more total shots on target in the second half?,50,open,2026-06-01T19:46:00.000Z,2026-06-27T21:00:00.000Z
97a01954-750b-4bfb-8269-ad7e48dec873,3d8d1b96-0cca-4fd5-8f21-ad44f457d689,Will Panama commit more fouls than England?,50,open,2026-06-01T19:46:00.000Z,2026-06-27T21:00:00.000Z
6913dd4d-f020-4955-b562-c9c5458a32f0,3d8d1b96-0cca-4fd5-8f21-ad44f457d689,Will there be 4 or more total shots on target in the second half?,50,open,2026-06-01T19:46:00.000Z,2026-06-27T21:00:00.000Z
b3b81826-7b60-468a-b71e-43838587f0d7,3d8d1b96-0cca-4fd5-8f21-ad44f457d689,Will Panama score the first goal of the game and England score in the second half?,50,open,2026-06-01T19:46:00.000Z,2026-06-27T21:00:00.000Z
90b29cc0-7b7a-4aed-8703-b91967fe6225,3d8d1b96-0cca-4fd5-8f21-ad44f457d689,Will a penalty kick be awarded OR a red card be shown?,50,open,2026-06-01T19:46:00.000Z,2026-06-27T21:00:00.000Z
0e3f5b26-a800-414a-8c74-d3056ea293c0,780369fb-f757-4166-998b-c2db986f87f4,Will Croatia win the match?,50,open,2026-06-02T16:00:00.000Z,2026-06-27T21:00:00.000Z
3555d723-0ef3-4c1a-86c4-b9bccc02d650,780369fb-f757-4166-998b-c2db986f87f4,"At halftime, will Croatia be winning?",50,open,2026-06-02T16:00:00.000Z,2026-06-27T21:00:00.000Z
