rank,name_display,api_name,user_id,smart_rating,total_picks,wins,losses,pending,win_rate
1,dromary30,,7b98f978-19b4-4028-8930-a35c5a83d80e,100,0,0,0,0,
2,Rammers,,1ca085e4-7f47-4265-8c32-3a3f8f048617,96,0,0,0,0,
3,Aannddyysshhaaa,,d1c9e6cc-7204-4a9e-aa8d-b3d610a449ef,93,0,0,0,0,
4,Manny art 913,,f3bdbf91-563c-4282-8f39-67c6f8a89054,89,0,0,0,0,
5,VANTIX,,adfaf448-a1ec-4702-9867-591c9252f780,86,0,0,0,0,
6,Thinktanktim37,,15b6a3dc-085b-41b5-8e71-6818e4b9e5b9,82,0,0,0,0,
7,Entertainment P,,016935c2-b97d-45fa-963d-40eb799873bf,79,0,0,0,0,
8,Gabe,,2d604a76-26ee-4021-aa8e-0c43f614799e,75,0,0,0,0,
9,AMIR.PREDICTS,,71ded57e-8a12-4eee-aeef-87ae4e75c798,71,0,0,0,0,
10,Abdulaziz Moham,,ccfe1e52-714c-41a4-aae2-18de407972e2,68,0,0,0,0,
11,kendrix d absal,,392799d8-940d-4863-b980-835136529432,64,0,0,0,0,
12,Bob123,,cd1e95aa-f572-4aa9-abc2-271a30b89ca6,61,0,0,0,0,
13,DeDubClub,,1a78a2c9-36b8-4148-91dc-6f940c1cb5d1,57,0,0,0,0,
14,Dimmetrio,,10e0740b-1d7e-4d94-bcd5-dfc041cf6c0f,54,0,0,0,0,
15,Lekow,,8092a958-0699-4356-808c-7cf65f8c6370,50,0,0,0,0,
16,mahziyarap,,4ee0c638-6bf8-448d-a721-29da8b923d7c,46,0,0,0,0,
17,Sylvakov,,c3b0e254-853b-4bb0-93c3-de51062b9bff,43,0,0,0,0,
18,Frankie 1,,36661b75-5abe-4a3a-9078-f1937f376b08,39,0,0,0,0,
19,Davebenfield197,,ce4b73b5-847c-44fe-8a25-e26f25cd4ef7,36,0,0,0,0,
20,Koko,,3e4f6d6a-cce9-4694-aa18-f79e5ccaf7bd,32,0,0,0,0,
21,DPalaia,,d8a9408c-ccc5-4ec6-b3dc-43acdfb43b84,29,0,0,0,0,
22,Salamander0617,,97006f29-cf80-48c1-9ab6-5fed28d3698b,25,0,0,0,0,
23,Zenit,,cf0d09b0-0e69-438e-b6df-d6925171711e,21,0,0,0,0,
24,Wow,,e9a0d554-d66a-4100-a858-e6fd668aae65,18,0,0,0,0,
25,Louis Rain,,88c34734-d4b5-44b6-9cda-880b4cf17225,14,0,0,0,0,
26,Ajc13,,4d00dc10-4d93-489b-b52f-be8a985d337a,11,0,0,0,0,
27,Mrdiaz71,,62e2d51d-1c19-4b7c-9b9d-3e24f8bb2df6,7,0,0,0,0,
28,Mhica,,1218e6b7-6d9a-4cb5-8199-fca91f144abd,4,0,0,0,0,
29,AaJ,,28b3e6fd-2241-4f60-9b3c-2d7a6b29f5f4,0,0,0,0,0,
