rank,score,country,user_id,label
1,2323.7903236820716,GB-ENG,ee275da9-ca8a-405f-8db9-f2e1a70a50cc,
2,2274.984255503615,US,a2b304d0-70fc-4558-b3af-9f7b21de58d4,ballzz
3,2239.752641403429,CN,bf5d0867-b61e-41f5-8791-173c240a6fc6,
4,2235.641232528681,US,02928b5b-f399-4a56-bc58-58f1910d4e2c,
5,2231.304255503614,TW,e629977e-a3a8-4c73-848d-56192939bc33,
6,2222.87994584159,IE,d50d2833-7dd5-4cef-af6e-93e6f25768ef,
7,2186.4842555036157,GB-ENG,6a621df9-f141-418e-b3e1-f35f99dcd63e,I Hate Arsenal
8,2178.129571883178,US,7f7363ce-a31f-45e0-9287-34eb456a659d,
9,2174.2469961132956,SG,7e9d97d9-173e-4332-9829-935bd75b6fa0,
10,2166.164255503615,CN,37c678be-91d1-4567-8836-f552609902d9,
11,2135.1142555036145,NZ,2e9d0d26-cb3f-414e-a424-472a12a55691,
12,2129.696484731202,BG,3c3b26a4-5053-4c27-84c0-effbb622f2ab,
13,2110.7651116944894,BG,de8cd1b1-f674-43f3-80e7-197bc36dcd5d,
14,2102.116996113295,US,e1344284-aec9-4682-b471-1f06ac7ded2b,
15,2090.4542379614004,GB-ENG,c5f3cc52-49cb-4e81-969f-ec29d4a0da77,
16,2079.8042555036154,HK,0ef2f3fd-7b5f-4cf8-9248-fe5c3fe78943,08
17,2063.354255503615,FR,473cc59f-45f0-4377-8f7e-e09b054c3801,
18,2057.3401266260917,,2630a1a2-c925-446e-b0d8-7b893cbec70f,
19,2043.428856427347,CA,584e60d4-7e6e-4d43-85e1-6ad05798bacc,
20,2021.5642555036156,PL,9414e7f1-668b-4cdf-ad62-819af91d394c,
21,2021.5542555036157,HR,171bd156-5124-4326-8da8-782a73f82fb6,
22,1978.184255503615,AU,68287c17-e24c-494e-86ad-75d272e5cfcb,jenga
23,1963.3110952083898,US,df601884-daaf-4e5f-a93a-f641c02817a4,
24,1959.5442555036145,SG,3805475a-4b73-492e-9f89-b9c1c1bb6ed5,DeclanFriedRice
25,1959.474255503615,HK,ad734329-f5d8-48c9-af0d-1bf012b37166,
26,1939.844255503615,GB-ENG,f54c1949-69d6-41e5-8d71-3b1999113fe9,
27,1931.7196911642604,GB-ENG,613d590f-cb23-4be7-9177-177b7de147c1,gambler-1
28,1928.380402413796,GB-SCT,f415abfe-0bbd-4db7-b04a-599bb63d802d,
29,1928.1310166897356,PL,9a2204a1-8983-48e8-a926-5d094e9c005c,
30,1907.3989820684244,FR,d724ff47-c0c6-425b-a674-1c0b3b4aba99,bot1
31,1896.802642209602,HR,47457b52-97c5-45b6-a540-7ab935d536d2,Opusije Klodarević
32,1887.5818076309217,US,a2d5a3bb-bd04-472a-983d-3776046833dd,
33,1885.009080935128,AU,432642fb-791b-45f7-ade6-a77887eb5d5e,
34,1877.4642555036144,US,4a7de60c-03d3-4ffb-a0c3-ed2d518971ff,
35,1867.8936928662051,GR,6e24449e-cb96-4b84-9331-e95522fdaac7,
36,1860.1011784378097,IN,fc6fc8ab-fdba-4e06-9891-097d048e479d,kamikaze
37,1848.664255503615,GB-ENG,deb5eba9-be55-4431-9edb-70d1ce554c84,
38,1839.2784287244215,US,3d52c513-3ee5-4cd3-af73-bf13676e59e1,
39,1828.8404894810153,US,2d71ab42-d409-4da4-aeb9-3c3a3874bce2,
40,1828.8134289453494,US,bd54b933-f369-4cc1-8583-e573293edfbe,
41,1825.9383806632572,AU,d528e7d2-8d9a-4042-95dd-ea19953eaa8d,
42,1823.0520802355438,US,2601f702-5fa8-4b75-9dab-90a0968eb66e,
43,1794.2044282830846,US,f9fcdbfe-575d-414a-8aad-ef3b0e9a8623,wains
44,1794.2042555036146,IN,99e86921-fbc8-4327-9631-f3ce3823783a,
45,1789.9642555036146,,1c65d2f2-d2c8-4290-9722-ca2c925be669,
46,1779.7272686275292,BE,c54241a7-eba6-4c06-b539-a35201a53f90,
47,1778.369416936921,IN,b9527197-8a60-4df5-ba7e-570b724b52da,
48,1772.2112825160461,IN,25ab9ac2-a120-4ec7-ab0d-df59cbff8f3d,
49,1770.8542555036158,ES,0e0c7e04-2672-423f-ac3a-dfc94c540a2f,
50,1770.1126189534068,GB-ENG,34c1a436-df13-48a8-a24d-6e2a4a72b237,
51,1769.9582415426166,US,bfaff686-37df-4742-af21-441d13cebbcf,
52,1769.1642555036146,US,011ee777-3488-4980-ad55-972d128465c2,SuperBot
53,1757.3551825942188,NL,0cf497dd-a3d3-4f1f-b853-b728282497ae,Ensemble-1
54,1750.2021379740518,GB-NIR,47488e0d-0737-423d-ae98-0c446f7d09c1,
55,1749.964694333402,US,dd996911-0975-4704-9cfa-e3b160b9f8a4,
