date,match_name,home_team,away_team,result,market_id,question,initial_value,final_value,outcome,status,closing_date,settled_date,n_jtc_preds,n_yes,n_no,pct_yes,avg_entry_price
2026-06-27,?,?,?,?,0b27a30b-4987-44df-9bce-a3c45fb92874,Will Ala Mohsen Al Hajji score at least 0.5 goals?,35,0,NO,settled,2026-06-27T00:00:00.333Z,2026-06-27T01:59:46.448Z,3,1,2,33.3,35.3
2026-06-27,?,?,?,?,b105bd29-9d86-4f78-93e9-8e16f347bfa0,Will Ante Budimir score at least 0.5 goals?,41,0,NO,settled,2026-06-27T21:00:00.121Z,2026-06-27T22:59:07.626Z,2,0,2,0.0,40.5
2026-06-27,?,?,?,?,3f9113d6-c7ef-4609-83f1-f6d790ec53e7,Will Belgium score first?,69,100,YES,settled,2026-06-27T03:00:00.226Z,2026-06-27T03:29:18.398Z,28,24,4,85.7,80.6
2026-06-27,?,?,?,?,39974aa2-8b34-4946-a2c7-5e1b1594fe8c,Will Belgium win the match?,66,100,YES,settled,2026-06-27T03:00:00.226Z,2026-06-27T04:58:32.973Z,25,23,2,92.0,81.1
2026-06-27,?,?,?,?,bc4eea1a-dc31-495f-b514-ead75cc60af8,Will Cabo Verde score first?,49,0,NO,settled,2026-06-27T00:00:00.333Z,2026-06-27T01:59:46.448Z,28,9,19,32.1,44.0
2026-06-27,?,?,?,?,3cb0af69-67be-403b-ba38-c393c47fac1b,Will Cabo Verde win the match?,36,0,NO,settled,2026-06-27T00:00:00.333Z,2026-06-27T01:59:46.448Z,29,9,20,31.0,29.0
2026-06-27,?,?,?,?,d025658c-3cf6-4bce-9fc4-f1bc29d754c7,Will Congo DR score first?,50,100,YES,settled,2026-06-27T23:30:00.027Z,2026-06-27T23:48:44.580Z,22,10,12,45.5,48.0
2026-06-27,?,?,?,?,89d07618-a028-4091-b823-f749ff9b7596,Will Congo DR win the match?,40,100,YES,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:32:07.740Z,21,9,12,42.9,38.2
2026-06-27,?,?,?,?,3603e19a-345b-4b60-9659-158d7dfcf6e8,Will Cristiano Ronaldo dos Santos Aveiro score at least 0.5 goals?,45,0,NO,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:28:25.961Z,2,2,0,100.0,45.5
2026-06-27,?,?,?,?,694e6254-8132-498f-a170-e8f24cb7b7f2,Will Croatia score first?,60,100,YES,settled,2026-06-27T21:00:00.121Z,2026-06-27T21:32:51.064Z,20,17,3,85.0,66.2
