date,match_name,home_team,away_team,result,market_id,question,initial_value,final_value,outcome,status,closing_date,settled_date
2026-06-27,COD vs UZB,Congo DR,Uzbekistan,3-1,f3962b11-d359-4295-8efb-b9a55c574d3b,Will Cédric Bakambu score or assist a goal (excluding own goals)?,50,0,NO,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:18:42.109Z
2026-06-27,COD vs UZB,Congo DR,Uzbekistan,3-1,41bdce13-bfca-4c36-a0bb-12ad94b54db8,Will DR Congo win the match?,50,100,YES,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:33:58.704Z
2026-06-27,COD vs UZB,Congo DR,Uzbekistan,3-1,cf17a41d-37e3-4979-82aa-81934ce7b121,Will Eldor Shomurodov have at least 1 shot on target in the second half?,50,0,NO,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:33:45.917Z
2026-06-27,COD vs UZB,Congo DR,Uzbekistan,3-1,2a93e720-962b-43d9-a6de-c595fdf29a0d,Will Uzbekistan be caught offside 2 or more times?,50,0,NO,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:32:30.764Z
2026-06-27,COD vs UZB,Congo DR,Uzbekistan,3-1,12f8261f-89b4-4c59-ab7b-4cea700478a1,Will Uzbekistan commit more fouls than DR Congo?,50,100,YES,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:32:13.777Z
2026-06-27,COD vs UZB,Congo DR,Uzbekistan,3-1,b7328c17-3a9c-49fe-a9a0-1eceed96a03a,Will Uzbekistan have 5 or more corner kicks?,50,0,NO,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:34:22.456Z
2026-06-27,COD vs UZB,Congo DR,Uzbekistan,3-1,bb825e94-a0a4-4ea9-a7f3-9835ecf3bca8,Will Uzbekistan have more shots on target than DR Congo in the second half?,50,0,NO,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:33:33.765Z
2026-06-27,COD vs UZB,Congo DR,Uzbekistan,3-1,3f4a50eb-7a9a-4eba-b913-f3bb14d64ee7,Will a penalty kick be awarded OR a red card be shown?,50,100,YES,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:07:11.765Z
2026-06-27,COD vs UZB,Congo DR,Uzbekistan,3-1,57a0208a-b784-4663-aca6-047aadc0fc4b,Will both teams have at least 1 shot on target in the second half?,50,0,NO,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:32:52.619Z
2026-06-27,COD vs UZB,Congo DR,Uzbekistan,3-1,2392f003-e56a-4289-a3b1-b07e7de291b2,Will both teams score AND the match have 3 or more total goals?,50,100,YES,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:15:46.228Z
2026-06-27,COL vs POR,Colombia,Portugal,0-0,c48e143a-ce01-4977-9b79-98077a2e04bc,"In the second half, will Colombia have more shots on target than Portugal?",50,100,YES,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:30:40.169Z
2026-06-27,COL vs POR,Colombia,Portugal,0-0,9f7c76ed-e5f2-459b-af43-29e03299257b,Will Colombia be caught offside 2 or more times?,50,100,YES,settled,2026-06-27T23:30:00.027Z,2026-06-28T00:20:28.514Z
2026-06-27,COL vs POR,Colombia,Portugal,0-0,eb47fe91-b920-4acf-9c5a-1009ed7cb33a,Will Colombia have 4 or more shots on target?,50,100,YES,settled,2026-06-27T23:30:00.027Z,2026-06-28T00:58:04.542Z
2026-06-27,COL vs POR,Colombia,Portugal,0-0,9abcb31a-2213-49d2-a515-43b9cc9a71ab,Will Colombia win the match?,50,0,NO,settled,2026-06-27T23:30:00.027Z,2026-06-28T01:31:03.190Z
