fixture_id,date,league_name,home_team,away_team,goals_home,goals_away,bookmaker,home_win,draw,away_win,source
380368,2026-03-27 15:00:00+00,International Friendlies,Russia,Mali,,,1xBet,1.8,3.69,5.19,API-Football-closing
150298,2022-12-10 19:00:00+00,FIFA World Cup,England,France,1,2,Pinnacle,3.27,3.24,2.42,API-Football-closing
150321,2022-12-13 19:00:00+00,FIFA World Cup,Argentina,Croatia,3,0,Pinnacle,1.88,3.4,5.05,API-Football-closing
150322,2022-12-14 19:00:00+00,FIFA World Cup,France,Morocco,2,0,Pinnacle,1.55,4,7.59,API-Football-closing
151160,2021-06-11 19:00:00+00,UEFA Euro,Türkiye,Italy,0,3,Pinnacle,8.45,4.44,1.47,API-Football-closing
151161,2021-06-12 13:00:00+00,UEFA Euro,Wales,Switzerland,1,1,Pinnacle,4.01,3.11,2.22,API-Football-closing
151162,2021-06-12 16:00:00+00,UEFA Euro,Denmark,Finland,0,1,Pinnacle,1.45,4.34,9.61,API-Football-closing
151163,2021-06-12 19:00:00+00,UEFA Euro,Belgium,Russia,3,0,Pinnacle,1.77,3.74,5.23,API-Football-closing
152027,2022-06-13 18:45:00+00,UEFA Nations League,France,Croatia,0,1,Pinnacle,1.52,4.31,7.11,The-Odds-API
152026,2022-06-13 18:45:00+00,UEFA Nations League,Denmark,Austria,2,0,Pinnacle,1.81,3.67,4.89,The-Odds-API
152084,2022-06-14 18:45:00+00,UEFA Nations League,Netherlands,Wales,3,2,Pinnacle,1.32,5.42,11.18,The-Odds-API
152028,2022-06-14 18:45:00+00,UEFA Nations League,Poland,Belgium,0,1,Pinnacle,3.53,3.41,2.22,The-Odds-API
152030,2022-06-14 18:45:00+00,UEFA Nations League,Germany,Italy,5,2,Pinnacle,1.79,3.82,4.81,The-Odds-API
152029,2022-06-14 18:45:00+00,UEFA Nations League,England,Hungary,0,4,Pinnacle,1.29,5.63,12.98,The-Odds-API
