player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
2989,Paolo,Guerrero,Paolo Guerrero,2025,184,paolo-guerrero,Peru,Lima,Peru,1984-01-01 00:00:00,Centre-Forward,Attack,right,185,2026-12-31 00:00:00,Prattes Group,https://img.a.transfermarkt.technology/portrait/header/2989-1776886584.jpg?lm=1,129,41,3584,https://www.transfermarkt.co.uk/paolo-guerrero/profil/spieler/2989,,,,
28396,Edin,Dzeko,Edin Dzeko,2025,33,edin-dzeko,Jugoslawien (SFR),Sarajevo,Bosnia-Herzegovina,1986-03-17 00:00:00,Centre-Forward,Attack,right,193,2026-06-30 00:00:00,World Soccer Agency,https://img.a.transfermarkt.technology/portrait/header/28396-1752151521.jpg?lm=1,148,73,3446,https://www.transfermarkt.co.uk/edin-dzeko/profil/spieler/28396,L1,FC Schalke 04,2700000,32000000
29559,Guillermo,Ochoa,Guillermo Ochoa,2025,786,guillermo-ochoa,Mexico,Guadalajara,Mexico,1985-07-13 00:00:00,Goalkeeper,Goalkeeper,right,185,2026-05-31 00:00:00,HIJAR ,https://img.a.transfermarkt.technology/portrait/header/29559-1668452843.jpg?lm=1,152,0,6303,https://www.transfermarkt.co.uk/guillermo-ochoa/profil/spieler/29559,,,1000000,8000000
37666,Arturo,Vidal,Arturo Vidal,2025,2433,arturo-vidal,Chile,San Joaquín,Chile,1987-05-22 00:00:00,Central Midfield,Midfield,right,180,2026-12-31 00:00:00,Vibra Futbol,https://img.a.transfermarkt.technology/portrait/header/37666-1686843752.jpg?lm=1,147,34,3700,https://www.transfermarkt.co.uk/arturo-vidal/profil/spieler/37666,,,700000,45000000
42808,Taijo,Teniste,Taijo Teniste,2025,28783,taijo-teniste,UdSSR,Tartu,Estonia,1988-01-31 00:00:00,Right-Back,Defender,right,173,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/42808-1653394054.jpg?lm=1,100,1,6133,https://www.transfermarkt.co.uk/taijo-teniste/profil/spieler/42808,,,,
42812,Konstantin,Vassiljev,Konstantin Vassiljev,2025,123,konstantin-vassiljev,UdSSR,Maardu,Estonia,1984-08-16 00:00:00,Attacking Midfield,Midfield,both,175,,,https://img.a.transfermarkt.technology/portrait/header/42812-1647371563.jpg?lm=1,159,26,6133,https://www.transfermarkt.co.uk/konstantin-vassiljev/profil/spieler/42812,,,100000,2000000
43030,Grant,Kekana,Grant Kekana,2025,6356,grant-kekana,South Africa,"Polokwane, Limpopo",South Africa,1992-10-31 00:00:00,Centre-Back,Defender,right,179,2026-06-30 00:00:00,JDR Consulting,https://img.a.transfermarkt.technology/portrait/header/43030-1771237106.jpg?lm=1,16,0,3806,https://www.transfermarkt.co.uk/grant-kekana/profil/spieler/43030,,,,
44118,Marc,Pujol,Marc Pujol,2025,64780,marc-pujol,Andorra,Andorra la Vella,Andorra,1982-08-21 00:00:00,Attacking Midfield,Midfield,right,168,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,122,5,10533,https://www.transfermarkt.co.uk/marc-pujol/profil/spieler/44118,,,,
44150,Sergi,Moreno,Sergi Moreno,2025,70956,sergi-moreno,Andorra,Escaldes-Engordany,Andorra,1987-11-25 00:00:00,Left Winger,Attack,left,180,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/44150-1541151035.png?lm=1,76,1,10533,https://www.transfermarkt.co.uk/sergi-moreno/profil/spieler/44150,,,,
49500,Roberto,Rosales,Roberto Rosales,2025,45193,roberto-rosales,Venezuela,Caracas,Venezuela,1988-11-20 00:00:00,Right-Back,Defender,right,174,2026-12-31 00:00:00,Feeling Soccer,https://img.a.transfermarkt.technology/portrait/header/49500-1745938751.jpg?lm=1,97,1,3504,https://www.transfermarkt.co.uk/roberto-rosales/profil/spieler/49500,,,350000,5000000
51100,Peter,Pekarík,Peter Pekarík,2025,45,peter-pekarik,CSSR,Žilina,Slovakia,1986-10-30 00:00:00,Right-Back,Defender,right,177,2026-06-30 00:00:00,ROGON,https://img.a.transfermarkt.technology/portrait/header/51100-1657098478.jpg?lm=1,137,2,3503,https://www.transfermarkt.co.uk/peter-pekarik/profil/spieler/51100,,,500000,3500000
51152,Aleksandar,Mitrović,Aleksandar Mitrović,2025,3229,aleksandar-mitrovic,Yugoslavia (Republic),Smederevo,Serbia,1994-09-16 00:00:00,Centre-Forward,Attack,right,189,2028-06-30 00:00:00,Gol International,https://img.a.transfermarkt.technology/portrait/header/51152-1697050954.png?lm=1,106,64,3438,https://www.transfermarkt.co.uk/aleksandar-mitrovic/profil/spieler/51152,,,28000000,28000000
51452,Joe,Allen,Joe Allen,2025,123,joe-allen,Wales,Carmarthen,Wales,1990-03-14 00:00:00,Central Midfield,Midfield,right,170,,,https://img.a.transfermarkt.technology/portrait/header/51452-1668071077.jpg?lm=1,77,2,3864,https://www.transfermarkt.co.uk/joe-allen/profil/spieler/51452,,,700000,18000000
51676,Ermin,Bicakcic,Ermin Bicakcic,2025,2573,ermin-bicakcic,Jugoslawien (SFR),Zvornik,Bosnia-Herzegovina,1990-01-24 00:00:00,Centre-Back,Defender,right,185,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/51676-1722892469.jpg?lm=1,43,3,3446,https://www.transfermarkt.co.uk/ermin-bicakcic/profil/spieler/51676,,,400000,4000000
52848,,Fabiano,Fabiano,2025,829,fabiano,Brazil,Santo Antônio de Jesus,Cyprus,1988-02-29 00:00:00,Goalkeeper,Goalkeeper,right,197,2026-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/52848-1732287936.jpg?lm=1,3,0,3668,https://www.transfermarkt.co.uk/fabiano/profil/spieler/52848,,,400000,6500000
53533,Carlos,Zambrano,Carlos Zambrano,2025,2730,carlos-zambrano,Peru,Callao,Peru,1989-07-10 00:00:00,Centre-Back,Defender,right,185,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/53533-1736797766.jpg?lm=1,84,4,3584,https://www.transfermarkt.co.uk/carlos-zambrano/profil/spieler/53533,,,425000,8000000
54381,Tommy,Smith,Tommy Smith,2025,6340,tommy-smith,England,Macclesfield,New Zealand,1990-03-31 00:00:00,Centre-Back,Defender,left,187,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/54381-1550087802.jpg?lm=1,56,2,9171,https://www.transfermarkt.co.uk/tommy-smith/profil/spieler/54381,,,,
55972,Guram,Kashia,Guram Kashia,2025,540,guram-kashia,UdSSR,Tiflis,Georgia,1987-07-04 00:00:00,Centre-Back,Defender,right,185,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/55972-1713528952.png?lm=1,128,3,3669,https://www.transfermarkt.co.uk/guram-kashia/profil/spieler/55972,,,350000,5000000
55976,Giorgi,Loria,Giorgi Loria,2025,663,giorgi-loria,UdSSR,Tiflis,Georgia,1986-01-27 00:00:00,Goalkeeper,Goalkeeper,right,197,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/55976-1775650467.png?lm=1,79,0,3669,https://www.transfermarkt.co.uk/giorgi-loria/profil/spieler/55976,,,100000,1500000
56809,Alexandre,Oukidja,Alexandre Oukidja,2025,515,alexandre-oukidja,France,Nevers,Algeria,1988-07-19 00:00:00,Goalkeeper,Goalkeeper,right,184,,SAS ASSIST & GOAL,https://img.a.transfermarkt.technology/portrait/header/56809-1697462617.png?lm=1,7,0,3614,https://www.transfermarkt.co.uk/alexandre-oukidja/profil/spieler/56809,,,500000,3000000
57482,Mohamed,Youssouf,Mohamed Youssouf,2025,20518,mohamed-youssouf,France,Paris,Comoros,1988-03-26 00:00:00,Right-Back,Defender,right,169,,,https://img.a.transfermarkt.technology/portrait/header/57482-1583140245.jpg?lm=1,41,1,16430,https://www.transfermarkt.co.uk/mohamed-youssouf/profil/spieler/57482,,,200000,500000
59352,Aleksandr,Martynovich,Aleksandr Martynovich,2025,10482,aleksandr-martynovich,UdSSR,Minsk,Belarus,1987-08-26 00:00:00,Centre-Back,Defender,right,193,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/59352-1777730306.png?lm=1,84,2,3450,https://www.transfermarkt.co.uk/aleksandr-martynovich/profil/spieler/59352,,,250000,4000000
61277,Milos,Dragojevic,Milos Dragojevic,2025,11065,milos-dragojevic,Jugoslawien (SFR),Podgorica,Montenegro,1989-02-03 00:00:00,Goalkeeper,Goalkeeper,right,190,,,https://img.a.transfermarkt.technology/portrait/header/61277-1757410902.jpg?lm=1,2,0,11953,https://www.transfermarkt.co.uk/milos-dragojevic/profil/spieler/61277,,,,
61297,Milan,Mijatovic,Milan Mijatovic,2025,4391,milan-mijatovic,Jugoslawien (SFR),Pljevlja,Montenegro,1987-07-26 00:00:00,Goalkeeper,Goalkeeper,right,190,2026-06-30 00:00:00,M-Soccermanagement,https://img.a.transfermarkt.technology/portrait/header/61297-1681428085.JPG?lm=1,40,0,11953,https://www.transfermarkt.co.uk/milan-mijatovic/profil/spieler/61297,,,,
61362,Matteo,Vitaioli,Matteo Vitaioli,2025,24349,matteo-vitaioli,San Marino,Città di San Marino,San Marino,1989-10-27 00:00:00,Attacking Midfield,Midfield,right,188,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/61362-1480693969.jpg?lm=1,102,1,10521,https://www.transfermarkt.co.uk/matteo-vitaioli/profil/spieler/61362,,,,
62547,Páll,Klettskard,Páll Klettskard,2025,6170,pall-klettskard,,,Faroe Islands,1990-05-17 00:00:00,Centre-Forward,Attack,right,185,2026-10-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/62547-1571239598.png?lm=1,23,0,9173,https://www.transfermarkt.co.uk/pall-klettskard/profil/spieler/62547,,,,
63223,Josh,Magennis,Josh Magennis,2025,6699,josh-magennis,Northern Ireland,Bangor,Northern Ireland,1990-08-15 00:00:00,Centre-Forward,Attack,right,188,2026-06-30 00:00:00,The Endgame Group,https://img.a.transfermarkt.technology/portrait/header/63223-1749328191.jpg?lm=1,87,12,5674,https://www.transfermarkt.co.uk/josh-magennis/profil/spieler/63223,,,300000,750000
63821,Aron,Gunnarsson,Aron Gunnarsson,2025,6297,aron-gunnarsson,Iceland,Akureyri,Iceland,1989-04-22 00:00:00,Defensive Midfield,Midfield,right,177,2026-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/63821-1762259851.jpg?lm=1,108,5,3574,https://www.transfermarkt.co.uk/aron-gunnarsson/profil/spieler/63821,,,400000,3000000
64868,Sebastián,Soria,Sebastián Soria,2025,965,sebastian-soria,Uruguay,Paysandú,Qatar,1983-11-08 00:00:00,Centre-Forward,Attack,right,186,,Blessed Soccer,https://img.a.transfermarkt.technology/portrait/header/64868-1739292274.jpg?lm=1,123,40,14162,https://www.transfermarkt.co.uk/sebastian-soria/profil/spieler/64868,,,,
65841,,Josep Antoni,Josep Antoni,2025,101346,josep-antoni,Andorra,La Massana,Andorra,1985-12-03 00:00:00,Goalkeeper,Goalkeeper,right,181,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,88,0,10533,https://www.transfermarkt.co.uk/josep-antoni/profil/spieler/65841,,,,
67855,Sergey,Politevich,Sergey Politevich,2025,123,sergey-politevich,UdSSR,Lida,Belarus,1990-04-09 00:00:00,Centre-Back,Defender,right,190,,PD SportManagement,https://img.a.transfermarkt.technology/portrait/header/67855-1743520852.png?lm=1,52,2,3450,https://www.transfermarkt.co.uk/sergey-politevich/profil/spieler/67855,,,150000,1000000
68096,Denis,Onyango,Denis Onyango,2025,6356,denis-onyango,Uganda,Kampala,Uganda,1985-05-15 00:00:00,Goalkeeper,Goalkeeper,right,185,,DS,https://img.a.transfermarkt.technology/portrait/header/68096-1771236007.jpg?lm=1,82,0,13497,https://www.transfermarkt.co.uk/denis-onyango/profil/spieler/68096,,,,
68504,Chun-Ching,Wu,Chun-Ching Wu,2025,25654,chun-ching-wu,Chinese Taipei,Taipei,Chinese Taipei,1988-12-18 00:00:00,Defensive Midfield,Midfield,right,180,,Jinghui Ho,https://img.a.transfermarkt.technology/portrait/header/68504-1630341566.jpg?lm=1,73,11,15363,https://www.transfermarkt.co.uk/chun-ching-wu/profil/spieler/68504,,,,
68636,Hariss,Harun,Hariss Harun,2025,4131,hariss-harun,Singapore,Singapore,Singapore,1990-11-19 00:00:00,Centre-Back,Defender,right,178,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/68636-1768774681.png?lm=1,147,11,15357,https://www.transfermarkt.co.uk/hariss-harun/profil/spieler/68636,,,,
69690,Po-Liang,Chen,Po-Liang Chen,2025,45500,po-liang-chen,Chinese Taipei,Kaohsiung,Chinese Taipei,1988-08-11 00:00:00,Central Midfield,Midfield,right,180,,,https://img.a.transfermarkt.technology/portrait/header/69690-1718171898.jpg?lm=1,98,25,15363,https://www.transfermarkt.co.uk/po-liang-chen/profil/spieler/69690,,,,
69838,,El Fardou Ben,El Fardou Ben,2025,3521,el-fardou-ben,Mayotte,Passamainty,Comoros,1989-06-10 00:00:00,Second Striker,Attack,left,174,2026-06-30 00:00:00,SCM Fortius,https://img.a.transfermarkt.technology/portrait/header/69838-1694865317.jpg?lm=1,46,17,16430,https://www.transfermarkt.co.uk/el-fardou-ben/profil/spieler/69838,,,700000,4000000
