team,venue_city,venue_country,distance_km
Afghanistan,Mexico City,Mexico,13903.2
Afghanistan,Guadalajara,Mexico,13827.0
Afghanistan,Monterrey,Mexico,13229.0
Afghanistan,Atlanta,USA,11938.2
Afghanistan,Kansas City,USA,11662.5
Afghanistan,Toronto,Canada,10759.6
Afghanistan,Dallas,USA,12398.1
Afghanistan,Vancouver,Canada,10617.5
Afghanistan,Seattle,USA,10811.6
Afghanistan,Los Angeles,USA,12360.1
Afghanistan,San Francisco Bay Area,USA,11934.1
Afghanistan,Boston,USA,10590.4
Afghanistan,New York/New Jersey,USA,10832.3
Afghanistan,Philadelphia,USA,10966.2
Afghanistan,Houston,USA,12693.9
Afghanistan,Miami,USA,12556.8
Albania,Mexico City,Mexico,10805.9
Albania,Guadalajara,Mexico,10981.8
Albania,Monterrey,Mexico,10345.5
Albania,Atlanta,USA,8636.4
Albania,Kansas City,USA,8880.4
Albania,Toronto,Canada,7603.7
Albania,Dallas,USA,9552.7
Albania,Vancouver,Canada,9308.2
Albania,Seattle,USA,9447.9
Albania,Los Angeles,USA,10615.2
Albania,San Francisco Bay Area,USA,10438.5
Albania,Boston,USA,7160.8
Albania,New York/New Jersey,USA,7434.2
Albania,Philadelphia,USA,7568.7
Albania,Houston,USA,9695.6
Albania,Miami,USA,8911.9
Algeria,Mexico City,Mexico,9764.8
Algeria,Guadalajara,Mexico,10018.0
Algeria,Monterrey,Mexico,9412.8
Algeria,Atlanta,USA,7646.3
Algeria,Kansas City,USA,8096.7
Algeria,Toronto,Canada,6752.5
Algeria,Dallas,USA,8691.7
Algeria,Vancouver,Canada,9079.9
Algeria,Seattle,USA,9183.2
Algeria,Los Angeles,USA,10083.3
Algeria,San Francisco Bay Area,USA,10018.5
Algeria,Boston,USA,6206.0
Algeria,New York/New Jersey,USA,6476.5
Algeria,Philadelphia,USA,6602.2
Algeria,Houston,USA,8763.6
Algeria,Miami,USA,7755.3
American Samoa,Mexico City,Mexico,8673.3
American Samoa,Guadalajara,Mexico,8307.6
American Samoa,Monterrey,Mexico,8819.8
American Samoa,Atlanta,USA,10550.2
American Samoa,Kansas City,USA,9855.2
American Samoa,Toronto,Canada,11198.8
American Samoa,Dallas,USA,9391.1
American Samoa,Vancouver,Canada,8466.8
American Samoa,Seattle,USA,8384.3
American Samoa,Los Angeles,USA,7708.1
American Samoa,San Francisco Bay Area,USA,7675.3
American Samoa,Boston,USA,11837.2
American Samoa,New York/New Jersey,USA,11590.1
American Samoa,Philadelphia,USA,11485.5
American Samoa,Houston,USA,9423.0
American Samoa,Miami,USA,10741.8
Andorra,Mexico City,Mexico,9404.5
Andorra,Guadalajara,Mexico,9623.1
Andorra,Monterrey,Mexico,9001.9
Andorra,Atlanta,USA,7252.8
Andorra,Kansas City,USA,7621.8
Andorra,Toronto,Canada,6295.2
Andorra,Dallas,USA,8248.4
Andorra,Vancouver,Canada,8471.6
Andorra,Seattle,USA,8581.3
Andorra,Los Angeles,USA,9542.5
Andorra,San Francisco Bay Area,USA,9450.7
Andorra,Boston,USA,5788.9
Andorra,New York/New Jersey,USA,6062.3
Andorra,Philadelphia,USA,6192.7
Andorra,Houston,USA,8349.5
Andorra,Miami,USA,7449.9
Angola,Mexico City,Mexico,12670.6
Angola,Guadalajara,Mexico,13121.8
Angola,Monterrey,Mexico,12778.8
Angola,Atlanta,USA,11254.7
Angola,Kansas City,USA,12152.3
Angola,Toronto,Canada,10896.7
Angola,Dallas,USA,12434.7
Angola,Vancouver,Canada,13971.8
