city,country,stadium,latitude,longitude
Mexico City,Mexico,Estadio Azteca,19.3029,-99.1505
Guadalajara,Mexico,Estadio Akron,20.6797,-103.4622
Monterrey,Mexico,Estadio BBVA,25.6694,-100.2458
Atlanta,USA,Mercedes-Benz Stadium,33.7553,-84.4006
Kansas City,USA,Arrowhead Stadium,39.0489,-94.4839
Toronto,Canada,BMO Field,43.6332,-79.4185
Dallas,USA,AT&T Stadium,32.7473,-97.0945
Vancouver,Canada,BC Place,49.2768,-123.1119
Seattle,USA,Lumen Field,47.5952,-122.3316
Los Angeles,USA,SoFi Stadium,33.9535,-118.3392
San Francisco Bay Area,USA,Levi's Stadium,37.4033,-121.9694
Boston,USA,Gillette Stadium,42.0909,-71.2643
New York/New Jersey,USA,MetLife Stadium,40.8136,-74.0744
Philadelphia,USA,Lincoln Financial Field,39.9008,-75.1675
Houston,USA,NRG Stadium,29.6847,-95.4107
Miami,USA,Hard Rock Stadium,25.9580,-80.2389
