team,elo_rating
Spain,2225.5610
Argentina,2189.5282
France,2129.0524
England,2090.3687
Brazil,2068.6320
Colombia,2063.7111
Portugal,2056.5074
Ecuador,2028.0889
Netherlands,2009.2805
Germany,2000.3014
Japan,1992.7287
Morocco,1984.8491
Mexico,1984.7936
Norway,1983.8379
Uruguay,1975.0705
Turkey,1974.4414
Croatia,1973.5928
Switzerland,1951.7868
Belgium,1944.7165
Denmark,1938.4700
Italy,1935.4058
Paraguay,1917.7456
Senegal,1912.8104
Canada,1901.9781
Australia,1900.7948
Iran,1894.4322
Nigeria,1885.6620
Austria,1885.0498
South Korea,1879.9769
Yugoslavia,1873.2779
Algeria,1872.4250
Panama,1859.0601
Scotland,1852.1502
Ukraine,1837.4734
Russia,1836.7172
United States,1827.4984
Venezuela,1824.0436
Uzbekistan,1818.9133
Greece,1815.3575
Ivory Coast,1814.7168
Serbia,1812.0911
Egypt,1809.7527
Czech Republic,1806.3989
Jersey,1805.3213
Czechoslovakia,1804.8013
Chile,1803.1404
Basque Country,1797.8956
Kosovo,1782.0339
Sweden,1775.2510
Jordan,1774.1438
Peru,1771.5664
Poland,1765.1302
DR Congo,1763.2036
Republic of Ireland,1761.2714
Hungary,1759.6840
Costa Rica,1751.4923
Guernsey,1745.6263
Wales,1744.9406
Slovenia,1737.4697
Tunisia,1737.4518
Iraq,1736.5496
German DR,1732.1997
New Zealand,1730.8705
Bolivia,1728.6866
Cameroon,1723.8787
Honduras,1720.7956
Slovakia,1718.3139
Haiti,1717.2284
Georgia,1712.0632
Israel,1709.6458
Isle of Man,1709.1689
Mali,1707.5984
Romania,1703.1823
Saudi Arabia,1693.8249
Northern Cyprus,1689.4311
Occitania,1686.7885
Padania,1686.2436
Albania,1672.3558
Jamaica,1663.6569
South Africa,1663.3169
United Arab Emirates,1663.2705
Northern Ireland,1660.5720
Isle of Wight,1660.2713
Catalonia,1655.0158
Cape Verde,1653.4535
Guatemala,1652.8821
Bosnia and Herzegovina,1652.8208
North Macedonia,1651.0852
Burkina Faso,1650.7315
Iraqi Kurdistan,1645.2783
Ynys Môn,1639.6907
Abkhazia,1628.1657
Ghana,1625.5008
Iceland,1621.9197
Curaçao,1611.4457
Kárpátalja,1606.7544
Suriname,1597.8997
Syria,1595.2495
Kernow,1593.1030
Andalusia,1592.4431
Rhodes,1591.7345
County of Nice,1591.0134
New Caledonia,1590.0380
Angola,1588.6910
Palestine,1586.3502
Panjab,1585.6816
Finland,1585.0173
Belarus,1583.3497
Tamil Eelam,1580.5552
Réunion,1579.7535
Oman,1576.4846
Guinea,1576.3548
Ellan Vannin,1569.8100
Kurdistan,1567.0153
Menorca,1566.1378
Qatar,1564.5424
Artsakh,1557.3056
Corsica,1555.5988
Yorkshire,1553.3015
Chameria,1552.7096
China,1551.6213
Zambia,1549.9148
Arameans Suryoye,1546.3291
Quebec,1546.1520
Cascadia,1545.3324
Trinidad and Tobago,1542.3018
Bahrain,1538.7397
Benin,1538.6480
Gambia,1538.3010
Zanzibar,1533.8615
Thailand,1531.5790
Libya,1530.1339
Bulgaria,1528.8994
Maule Sur,1528.3458
Galicia,1527.4023
Guadeloupe,1525.6232
Gabon,1521.3667
Asturias,1520.5298
Western Armenia,1518.6069
Surrey,1516.2130
Montenegro,1515.3487
Nicaragua,1515.2508
Canary Islands,1515.0521
Biafra,1514.7073
Parishes of Jersey,1513.8863
Uganda,1512.2926
Donetsk PR,1511.8359
Madagascar,1509.6408
Mapuche,1508.4708
Felvidék,1507.4794
Silesia,1506.8865
Elba Island,1506.7552
Tahiti,1505.1216
Crimea,1504.8221
Shetland,1503.2469
Indonesia,1502.7316
Brittany,1502.5105
Kazakhstan,1501.8937
United Koreans in Japan,1501.1351
Délvidék,1500.2243
Guyana,1499.5172
