date,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,elo_home_pre,elo_away_pre
1872-11-30,Scotland,England,0,0,Friendly,FALSE,20,1500.0000,1500.0000
1873-03-08,England,Scotland,4,2,Friendly,FALSE,20,1502.8013,1497.1987
1874-03-07,Scotland,England,2,1,Friendly,FALSE,20,1486.6225,1513.3775
1875-03-06,England,Scotland,2,2,Friendly,FALSE,20,1505.4549,1494.5451
1876-03-04,Scotland,England,3,0,Friendly,FALSE,20,1497.6331,1502.3669
1876-03-25,Scotland,Wales,4,0,Friendly,FALSE,20,1510.4514,1500.0000
1877-03-03,England,Scotland,1,3,Friendly,FALSE,20,1489.5486,1523.4337
1877-03-05,Wales,Scotland,0,2,Friendly,FALSE,20,1487.0177,1541.2541
1878-03-02,Scotland,England,7,2,Friendly,FALSE,20,1558.2186,1471.7282
1878-03-23,Scotland,Wales,9,0,Friendly,FALSE,20,1568.4079,1470.0533
1879-01-18,England,Wales,2,1,Friendly,FALSE,20,1461.5388,1457.9540
1879-04-05,England,Scotland,5,4,Friendly,FALSE,20,1468.6427,1580.5072
1879-04-07,Wales,Scotland,0,3,Friendly,FALSE,20,1450.8501,1570.1658
1880-03-13,Scotland,England,5,4,Friendly,FALSE,20,1586.6939,1478.9841
1880-03-15,Wales,England,2,3,Friendly,FALSE,20,1434.3220,1474.3392
1880-03-27,Scotland,Wales,5,1,Friendly,FALSE,20,1591.3388,1422.6125
1881-02-26,England,Wales,0,1,Friendly,FALSE,20,1486.0487,1416.0300
1881-03-12,England,Scotland,1,6,Friendly,FALSE,20,1471.5116,1597.9213
1881-03-14,Wales,Scotland,1,5,Friendly,FALSE,20,1430.5671,1616.4040
1882-02-18,Northern Ireland,England,0,13,Friendly,FALSE,20,1500.0000,1453.0290
1882-02-25,Wales,Northern Ireland,7,1,Friendly,FALSE,20,1416.3574,1458.0159
1882-03-11,Scotland,England,5,1,Friendly,FALSE,20,1630.6136,1495.0130
1882-03-13,Wales,England,5,3,Friendly,FALSE,20,1434.0723,1487.3310
1882-03-25,Scotland,Wales,5,0,Friendly,FALSE,20,1638.2957,1447.0664
1883-02-03,England,Wales,5,0,Friendly,FALSE,20,1474.3369,1440.7637
1883-02-24,England,Northern Ireland,7,0,Friendly,FALSE,20,1487.0055,1440.3011
1883-03-10,England,Scotland,2,3,Friendly,FALSE,20,1500.5320,1644.5983
1883-03-12,Wales,Scotland,0,3,Friendly,FALSE,20,1428.0951,1653.3367
1883-03-17,Northern Ireland,Wales,1,1,Friendly,FALSE,20,1426.7746,1416.6437
1884-01-26,Northern Ireland,Scotland,0,5,British Home Championship,FALSE,30,1423.7069,1664.7882
1884-02-09,Wales,Northern Ireland,6,0,British Home Championship,FALSE,30,1419.7114,1405.2606
1884-02-23,Northern Ireland,England,1,8,British Home Championship,FALSE,30,1383.5218,1491.7935
1884-03-15,Scotland,England,1,0,British Home Championship,FALSE,30,1683.2344,1524.7402
1884-03-17,Wales,England,0,4,British Home Championship,FALSE,30,1441.4503,1519.2136
1884-03-29,Scotland,Wales,4,1,British Home Championship,FALSE,30,1688.7610,1411.5277
1885-02-28,England,Northern Ireland,4,0,British Home Championship,FALSE,30,1549.1362,1350.5751
1885-03-14,England,Wales,1,1,British Home Championship,FALSE,30,1557.6887,1406.1550
1885-03-14,Scotland,Northern Ireland,8,2,British Home Championship,FALSE,30,1694.1337,1342.0226
1885-03-21,England,Scotland,1,1,British Home Championship,FALSE,30,1548.3982,1698.5307
1885-03-23,Wales,Scotland,1,8,British Home Championship,FALSE,30,1415.4455,1696.3812
1885-04-11,Northern Ireland,Wales,2,8,British Home Championship,FALSE,30,1337.6255,1397.8380
1885-11-28,United States,Canada,0,1,Friendly,FALSE,20,1500.0000,1500.0000
1886-02-27,Wales,Northern Ireland,5,0,British Home Championship,FALSE,30,1433.3474,1302.1162
1886-03-13,Northern Ireland,England,1,6,British Home Championship,FALSE,30,1289.5773,1550.5477
1886-03-20,Northern Ireland,Scotland,2,7,British Home Championship,FALSE,30,1272.5606,1713.9887
1886-03-27,Scotland,England,1,1,British Home Championship,FALSE,30,1721.3616,1567.5644
1886-03-29,Wales,England,1,3,British Home Championship,FALSE,30,1445.8863,1576.9148
1886-04-10,Scotland,Wales,4,1,British Home Championship,FALSE,30,1712.0112,1425.3904
1886-11-25,United States,Canada,3,2,Friendly,FALSE,20,1487.1987,1512.8013
1887-02-05,England,Northern Ireland,7,0,British Home Championship,FALSE,30,1597.4107,1265.1877
1887-02-19,Scotland,Northern Ireland,4,1,British Home Championship,FALSE,30,1717.1287,1260.0106
1887-02-26,England,Wales,4,0,British Home Championship,FALSE,30,1602.5879,1420.2728
1887-03-12,Northern Ireland,Wales,4,1,British Home Championship,FALSE,30,1257.9682,1411.0198
1887-03-19,England,Scotland,2,3,British Home Championship,FALSE,30,1611.8409,1719.1711
1887-03-21,Wales,Scotland,0,2,British Home Championship,FALSE,30,1380.7924,1733.8547
1888-02-04,England,Wales,5,1,British Home Championship,FALSE,30,1597.1573,1372.2890
1888-03-03,Wales,Northern Ireland,11,0,British Home Championship,FALSE,30,1364.7779,1288.1956
1888-03-10,Scotland,Wales,5,1,British Home Championship,FALSE,30,1742.3581,1386.6991
1888-03-17,Scotland,England,0,5,British Home Championship,FALSE,30,1746.1648,1604.6684
1888-03-24,Northern Ireland,Scotland,2,10,British Home Championship,FALSE,30,1266.2744,1698.1277
1888-04-07,Northern Ireland,England,1,5,British Home Championship,FALSE,30,1257.0869,1652.7055
1888-09-19,Scotland,Canada,4,0,Friendly,FALSE,20,1707.3152,1504.9105
1889-02-23,England,Wales,4,1,British Home Championship,FALSE,30,1661.3816,1382.8924
1889-03-02,England,Northern Ireland,6,1,British Home Championship,FALSE,30,1666.7195,1248.4108
1889-03-09,Scotland,Northern Ireland,7,0,British Home Championship,FALSE,30,1712.9107,1245.5206
1889-04-13,England,Scotland,2,3,British Home Championship,FALSE,30,1669.6098,1715.3913
1889-04-15,Wales,Scotland,0,0,British Home Championship,FALSE,30,1377.5545,1732.7133
1889-04-27,Northern Ireland,Wales,1,3,British Home Championship,FALSE,30,1243.0399,1386.9408
1890-02-08,Wales,Northern Ireland,5,2,British Home Championship,TRUE,30,1406.6128,1223.3679
1890-03-15,Northern Ireland,England,1,9,British Home Championship,FALSE,30,1209.8073,1652.2878
1890-03-15,Wales,England,1,3,British Home Championship,FALSE,30,1420.1734,1660.9967
1890-03-22,Scotland,Wales,5,0,British Home Championship,FALSE,30,1723.3270,1406.3245
1890-03-29,Northern Ireland,Scotland,1,4,British Home Championship,FALSE,30,1201.0984,1728.3153
1890-04-05,Scotland,England,1,1,British Home Championship,FALSE,30,1732.4504,1674.8456
1891-02-07,Northern Ireland,Wales,7,2,British Home Championship,FALSE,30,1196.9633,1401.3362
1891-03-07,England,Wales,4,1,British Home Championship,FALSE,30,1681.2187,1362.5856
1891-03-07,England,Northern Ireland,6,1,British Home Championship,FALSE,30,1685.5460,1235.7139
1891-03-21,Wales,Scotland,3,4,British Home Championship,FALSE,30,1358.2583,1726.0773
1891-03-28,Scotland,Northern Ireland,2,1,British Home Championship,FALSE,30,1731.3660,1233.2839
1891-04-04,England,Scotland,2,1,British Home Championship,FALSE,30,1687.9760,1732.2955
1892-02-27,Wales,Northern Ireland,1,1,British Home Championship,FALSE,30,1352.9696,1232.3544
1892-03-05,Northern Ireland,England,0,2,British Home Championship,FALSE,30,1240.7765,1700.5925
1892-03-05,Wales,England,0,2,British Home Championship,FALSE,30,1344.5475,1705.6289
1892-03-19,Northern Ireland,Scotland,2,3,British Home Championship,FALSE,30,1235.7400,1719.6790
1892-03-26,Scotland,Wales,6,1,British Home Championship,FALSE,30,1722.6444,1336.3579
1892-04-02,Scotland,England,1,4,British Home Championship,FALSE,30,1726.0861,1713.8186
1893-02-25,England,Northern Ireland,6,1,British Home Championship,FALSE,30,1748.2674,1232.7747
1893-03-13,England,Wales,6,0,British Home Championship,FALSE,30,1749.9541,1332.9161
1893-03-18,Wales,Scotland,0,8,British Home Championship,FALSE,30,1329.8237,1691.6373
1893-03-25,Scotland,Northern Ireland,6,1,British Home Championship,FALSE,30,1704.5596,1231.0880
1893-04-01,England,Scotland,5,2,British Home Championship,FALSE,30,1753.0465,1706.6915
1894-02-24,Wales,Northern Ireland,4,1,British Home Championship,FALSE,30,1316.9014,1228.9561
1894-03-03,Northern Ireland,England,2,2,British Home Championship,FALSE,30,1215.6659,1768.8496
1894-03-12,Wales,England,1,5,British Home Championship,FALSE,30,1330.1916,1755.9069
1894-03-24,Scotland,Wales,5,2,British Home Championship,FALSE,30,1690.8884,1322.7122
1894-03-31,Northern Ireland,Scotland,1,2,British Home Championship,FALSE,30,1228.6086,1694.2099
1894-04-07,Scotland,England,2,2,British Home Championship,FALSE,30,1697.4695,1763.3864
1895-03-09,England,Northern Ireland,9,0,British Home Championship,FALSE,30,1764.8532,1225.3490
1895-03-16,Northern Ireland,Wales,2,2,British Home Championship,FALSE,30,1223.5061,1319.3907
1895-03-18,England,Wales,1,1,British Home Championship,FALSE,30,1766.6960,1319.5683
1895-03-23,Wales,Scotland,2,2,British Home Championship,FALSE,30,1333.3350,1696.0027
1895-03-30,Scotland,Northern Ireland,3,1,British Home Championship,FALSE,30,1686.4218,1223.3284
1895-04-06,England,Scotland,3,0,British Home Championship,FALSE,30,1752.9293,1688.1155
1896-02-29,Wales,Northern Ireland,6,1,British Home Championship,FALSE,30,1342.9159,1221.6348
1896-03-07,Northern Ireland,England,0,2,British Home Championship,FALSE,30,1208.5183,1767.5840
1896-03-16,Wales,England,1,9,British Home Championship,FALSE,30,1356.0324,1770.5742
1896-03-21,Scotland,Wales,4,0,British Home Championship,FALSE,30,1673.4608,1346.0175
1896-03-28,Northern Ireland,Scotland,3,3,British Home Championship,FALSE,30,1205.5282,1677.8859
