event_id,date,match_slug,team_code,team_espn_abbr,home_away,goals,opponent_goals,fouls,yellow_cards,red_cards,offsides,corners,saves,possession_pct,total_shots,shots_on_target,blocked_shots,passes,pass_pct,interceptions,effective_tackles,clearances,venue,venue_city
760414,2026-06-11,KOR-CZE,KOR,KOR,home,2,1,9,1,0,2,4,3,61.5,15,6,4,541,0.9,9,4,32,Estadio Akron,Guadalajara
760414,2026-06-11,KOR-CZE,CZE,CZE,away,1,2,16,0,0,2,5,4,38.5,7,4,1,327,0.7,6,7,21,Estadio Akron,Guadalajara
760415,2026-06-11,MEX-RSA,MEX,MEX,home,2,0,12,1,1,1,3,2,60.5,16,4,5,520,0.9,8,6,15,Estadio Banorte,Mexico City
760415,2026-06-11,MEX-RSA,RSA,RSA,away,0,2,11,2,2,1,1,2,39.5,3,2,0,334,0.8,7,7,17,Estadio Banorte,Mexico City
760416,2026-06-12,CAN-BIH,CAN,CAN,home,1,1,10,2,0,1,9,2,61.1,13,4,4,421,0.7,4,15,21,BMO Field,Toronto
760416,2026-06-12,CAN-BIH,BIH,BIH,away,1,1,20,3,0,0,4,1,38.9,8,3,1,271,0.6,11,12,70,BMO Field,Toronto
760417,2026-06-12,USA-PAR,USA,USA,home,4,1,13,1,0,2,3,1,65.3,16,6,4,598,0.9,9,7,15,SoFi Stadium,"Inglewood, California"
760417,2026-06-12,USA-PAR,PAR,PAR,away,1,4,17,5,0,1,1,3,34.7,9,1,5,319,0.7,10,16,33,SoFi Stadium,"Inglewood, California"
760418,2026-06-13,HAI-SCO,HAI,HAI,home,0,1,23,1,0,3,4,1,53.7,15,2,4,431,0.9,6,7,20,Gillette Stadium,"Foxborough, Massachusetts"
760418,2026-06-13,HAI-SCO,SCO,SCO,away,1,0,21,3,0,1,3,2,46.3,9,2,2,374,0.8,6,5,17,Gillette Stadium,"Foxborough, Massachusetts"
760419,2026-06-13,BRA-MAR,BRA,BRA,home,1,1,16,2,0,0,6,2,51.4,12,5,3,514,0.9,5,13,23,MetLife Stadium,"East Rutherford, New Jersey"
760419,2026-06-13,BRA-MAR,MAR,MAR,away,1,1,14,0,0,1,2,4,48.6,14,3,6,486,0.9,5,18,17,MetLife Stadium,"East Rutherford, New Jersey"
