"match_id","competition_name","season_name","competition_stage","match_date","kick_off","referee_name","stadium_name","team_id","team_name","opponent_id","opponent_name","is_home","goals","opponent_goals","result","total_shots","shots_on_target","blocked_shots","xg_total","fouls_committed","fouls_won","yellow_cards","red_cards","corners","offsides","passes","passes_completed","pass_pct","clearances","interceptions"
"8650","FIFA World Cup 2018","2018","Quarter-finals","2018-07-06","18:00:00.000","Milorad Mažić","Ak Bars Arena",781,"Brazil",782,"Belgium",TRUE,1,2,"L",25,9,9,2.6092,20,17,2,0,8,0,532,459,86.3,7,9
"8650","FIFA World Cup 2018","2018","Quarter-finals","2018-07-06","18:00:00.000","Milorad Mažić","Ak Bars Arena",782,"Belgium",781,"Brazil",FALSE,2,1,"W",8,3,2,0.4053,18,20,2,0,4,0,385,310,80.5,36,3
"7584","FIFA World Cup 2018","2018","Round of 16","2018-07-02","18:00:00.000","Malang Diedhiou","Rostov Arena",782,"Belgium",778,"Japan",TRUE,3,2,"W",28,7,7,2.9178,13,10,0,0,8,1,618,524,84.8,10,5
"7584","FIFA World Cup 2018","2018","Round of 16","2018-07-02","18:00:00.000","Malang Diedhiou","Rostov Arena",778,"Japan",782,"Belgium",FALSE,2,3,"L",12,4,4,0.6938,11,12,1,0,4,0,457,363,79.4,33,12
"7554","FIFA World Cup 2018","2018","Group Stage","2018-06-24","12:00:00.000","Ghead Grisha","Stadion Nizhny Novgorod (Nizhniy Novgorod)",768,"England",798,"Panama",TRUE,6,1,"W",11,7,2,3.1683,14,12,1,0,3,0,607,552,90.9,12,5
"7554","FIFA World Cup 2018","2018","Group Stage","2018-06-24","12:00:00.000","Ghead Grisha","Stadion Nizhny Novgorod (Nizhniy Novgorod)",798,"Panama",768,"England",FALSE,1,6,"L",8,2,1,1.08,13,14,3,0,2,0,406,349,86,8,7
"7539","FIFA World Cup 2018","2018","Group Stage","2018-06-19","15:00:00.000","Nawaf Abdulla Ghayyath Shukralla","Otkritie Bank Arena",789,"Poland",787,"Senegal",TRUE,1,2,"L",10,3,1,1.0423,7,16,1,0,3,1,585,482,82.4,12,11
"7539","FIFA World Cup 2018","2018","Group Stage","2018-06-19","15:00:00.000","Nawaf Abdulla Ghayyath Shukralla","Otkritie Bank Arena",787,"Senegal",789,"Poland",FALSE,2,1,"W",7,1,3,1.4278,17,7,1,0,3,0,382,286,74.9,16,18
"7550","FIFA World Cup 2018","2018","Group Stage","2018-06-22","18:00:00.000","Felix Brych","Rostec Arena",786,"Serbia",773,"Switzerland",TRUE,1,2,"L",12,3,1,1.1535,20,13,4,0,3,0,347,263,75.8,12,13
"7550","FIFA World Cup 2018","2018","Group Stage","2018-06-22","18:00:00.000","Felix Brych","Rostec Arena",773,"Switzerland",786,"Serbia",FALSE,2,1,"W",19,5,6,1.5573,13,20,1,0,7,0,554,467,84.3,9,8
"7538","FIFA World Cup 2018","2018","Group Stage","2018-06-18","12:00:00.000","Joel Antonio Aguilar Chicas","Stadion Nizhny Novgorod (Nizhniy Novgorod)",790,"Sweden",791,"South Korea",TRUE,1,0,"W",16,4,8,2.0151,19,22,1,0,6,0,477,371,77.8,17,7
"7538","FIFA World Cup 2018","2018","Group Stage","2018-06-18","12:00:00.000","Joel Antonio Aguilar Chicas","Stadion Nizhny Novgorod (Nizhniy Novgorod)",791,"South Korea",790,"Sweden",FALSE,0,1,"L",5,0,3,0.4144,22,19,2,0,5,0,382,289,75.7,23,8
"7534","FIFA World Cup 2018","2018","Group Stage","2018-06-17","15:00:00.000","Alireza Faghani","Stadion Luzhniki",770,"Germany",794,"Mexico",TRUE,0,1,"L",26,9,8,2.2993,13,13,2,0,6,0,619,521,84.2,4,6
"7534","FIFA World Cup 2018","2018","Group Stage","2018-06-17","15:00:00.000","Alireza Faghani","Stadion Luzhniki",794,"Mexico",770,"Germany",FALSE,1,0,"W",12,4,2,0.9933,15,11,2,0,1,0,324,247,76.2,23,17
"7543","FIFA World Cup 2018","2018","Group Stage","2018-06-20","18:00:00.000","Andrés Cunha","Ak Bars Arena",797,"Iran",772,"Spain",TRUE,0,1,"L",6,0,0,0.4265,14,15,2,0,2,0,262,158,60.3,20,12
"7543","FIFA World Cup 2018","2018","Group Stage","2018-06-20","18:00:00.000","Andrés Cunha","Ak Bars Arena",772,"Spain",797,"Iran",FALSE,1,0,"W",18,3,9,2.197,15,14,0,0,6,0,816,719,88.1,10,6
"7544","FIFA World Cup 2018","2018","Group Stage","2018-06-20","15:00:00.000","Clément Turpin","Rostov Arena",783,"Uruguay",799,"Saudi Arabia",TRUE,1,0,"W",14,3,5,1.8074,13,12,0,0,3,1,511,429,84,13,10
"7544","FIFA World Cup 2018","2018","Group Stage","2018-06-20","15:00:00.000","Clément Turpin","Rostov Arena",799,"Saudi Arabia",783,"Uruguay",FALSE,0,1,"L",8,2,3,0.2735,12,11,0,0,2,0,584,499,85.4,8,18
"7546","FIFA World Cup 2018","2018","Group Stage","2018-06-21","15:00:00.000","Mohamed Abdulla Hassan Mohd","Ekaterinburg Arena",771,"France",784,"Peru",TRUE,1,0,"W",12,4,2,1.8624,11,14,2,0,5,0,435,332,76.3,12,24
