tournament,match_count,k_factor,category
Friendly,18384,20,Friendly
FIFA World Cup qualification,8771,40,World Cup & major-confederation qualifiers
UEFA Euro qualification,2824,40,World Cup & major-confederation qualifiers
African Cup of Nations qualification,2327,40,World Cup & major-confederation qualifiers
FIFA World Cup,1036,60,World Cup finals
Copa América,869,50,Continental championship finals / major intercontinental
African Cup of Nations,845,50,Continental championship finals / major intercontinental
AFC Asian Cup qualification,829,40,World Cup & major-confederation qualifiers
UEFA Nations League,658,50,Continental championship finals / major intercontinental
CECAFA Cup,620,30,All other tournaments (regional/minor/invitational/CONIFA)
CFU Caribbean Cup qualification,606,30,All other tournaments (regional/minor/invitational/CONIFA)
Merdeka Tournament,599,30,All other tournaments (regional/minor/invitational/CONIFA)
British Home Championship,523,30,All other tournaments (regional/minor/invitational/CONIFA)
CONCACAF Nations League,422,50,Continental championship finals / major intercontinental
AFC Asian Cup,421,50,Continental championship finals / major intercontinental
Gold Cup,420,50,Continental championship finals / major intercontinental
Gulf Cup,410,30,All other tournaments (regional/minor/invitational/CONIFA)
Island Games,394,30,All other tournaments (regional/minor/invitational/CONIFA)
UEFA Euro,388,50,Continental championship finals / major intercontinental
Asian Games,368,30,All other tournaments (regional/minor/invitational/CONIFA)
COSAFA Cup,354,30,All other tournaments (regional/minor/invitational/CONIFA)
AFF Championship,291,30,All other tournaments (regional/minor/invitational/CONIFA)
Nordic Championship,283,30,All other tournaments (regional/minor/invitational/CONIFA)
King's Cup,253,30,All other tournaments (regional/minor/invitational/CONIFA)
CFU Caribbean Cup,251,30,All other tournaments (regional/minor/invitational/CONIFA)
Amílcar Cabral Cup,235,30,All other tournaments (regional/minor/invitational/CONIFA)
Muratti Vase,220,30,All other tournaments (regional/minor/invitational/CONIFA)
South Pacific Games,205,30,All other tournaments (regional/minor/invitational/CONIFA)
Southeast Asian Games,182,30,All other tournaments (regional/minor/invitational/CONIFA)
Arab Cup,175,30,All other tournaments (regional/minor/invitational/CONIFA)
CONCACAF Championship,169,50,Continental championship finals / major intercontinental
UNCAF Cup,164,30,All other tournaments (regional/minor/invitational/CONIFA)
SAFF Cup,162,30,All other tournaments (regional/minor/invitational/CONIFA)
Korea Cup,155,30,All other tournaments (regional/minor/invitational/CONIFA)
CONCACAF Championship qualification,151,40,World Cup & major-confederation qualifiers
Confederations Cup,140,50,Continental championship finals / major intercontinental
