season_year,data_source,match_id,match_date,competition_stage,team_code,team_name,opponent_code,opponent_name,is_home,goals,opponent_goals,result,total_shots,shots_on_target,blocked_shots,xg_total,fouls_committed,fouls_won,yellow_cards,red_cards,corners,offsides,passes,passes_completed,pass_pct,clearances,interceptions,possession_pct,saves,effective_tackles,venue,venue_city,referee_name
2026,espn_boxscore,760414,2026-06-11,,KOR,South Korea,CZE,Czech Republic,True,2,1,W,15,6,4,,9,,1,0,4,2,541,,90.0,32,9,61.5,3,4,Estadio Akron,Guadalajara,
2026,espn_boxscore,760414,2026-06-11,,CZE,Czech Republic,KOR,South Korea,False,1,2,L,7,4,1,,16,,0,0,5,2,327,,70.0,21,6,38.5,4,7,Estadio Akron,Guadalajara,
2026,espn_boxscore,760415,2026-06-11,,MEX,Mexico,RSA,South Africa,True,2,0,W,16,4,5,,12,,1,1,3,1,520,,90.0,15,8,60.5,2,6,Estadio Banorte,Mexico City,
2026,espn_boxscore,760415,2026-06-11,,RSA,South Africa,MEX,Mexico,False,0,2,L,3,2,0,,11,,2,2,1,1,334,,80.0,17,7,39.5,2,7,Estadio Banorte,Mexico City,
2026,espn_boxscore,760416,2026-06-12,,CAN,Canada,BIH,Bosnia and Herzegovina,True,1,1,D,13,4,4,,10,,2,0,9,1,421,,70.0,21,4,61.1,2,15,BMO Field,Toronto,
2026,espn_boxscore,760416,2026-06-12,,BIH,Bosnia and Herzegovina,CAN,Canada,False,1,1,D,8,3,1,,20,,3,0,4,0,271,,60.0,70,11,38.9,1,12,BMO Field,Toronto,
2026,espn_boxscore,760417,2026-06-12,,USA,United States,PAR,Paraguay,True,4,1,W,16,6,4,,13,,1,0,3,2,598,,90.0,15,9,65.3,1,7,SoFi Stadium,"Inglewood, California",
2026,espn_boxscore,760417,2026-06-12,,PAR,Paraguay,USA,United States,False,1,4,L,9,1,5,,17,,5,0,1,1,319,,70.0,33,10,34.7,3,16,SoFi Stadium,"Inglewood, California",
2026,espn_boxscore,760418,2026-06-13,,HAI,Haiti,SCO,Scotland,True,0,1,L,15,2,4,,23,,1,0,4,3,431,,90.0,20,6,53.7,1,7,Gillette Stadium,"Foxborough, Massachusetts",
2026,espn_boxscore,760418,2026-06-13,,SCO,Scotland,HAI,Haiti,False,1,0,W,9,2,2,,21,,3,0,3,1,374,,80.0,17,6,46.3,2,5,Gillette Stadium,"Foxborough, Massachusetts",
2026,espn_boxscore,760419,2026-06-13,,BRA,Brazil,MAR,Morocco,True,1,1,D,12,5,3,,16,,2,0,6,0,514,,90.0,23,5,51.4,2,13,MetLife Stadium,"East Rutherford, New Jersey",
2026,espn_boxscore,760419,2026-06-13,,MAR,Morocco,BRA,Brazil,False,1,1,D,14,3,6,,14,,0,0,2,1,486,,90.0,17,5,48.6,4,18,MetLife Stadium,"East Rutherford, New Jersey",
2026,espn_boxscore,760420,2026-06-13,,QAT,Qatar,SUI,Switzerland,True,1,1,D,6,3,0,,12,,2,0,3,0,278,,70.0,31,11,32.0,5,9,Levi's Stadium,"Santa Clara, California",
2026,espn_boxscore,760420,2026-06-13,,SUI,Switzerland,QAT,Qatar,False,1,1,D,26,7,9,,11,,1,0,10,1,576,,90.0,13,7,68.0,3,6,Levi's Stadium,"Santa Clara, California",
2026,espn_boxscore,760421,2026-06-14,,AUS,Australia,TUR,Turkey,True,2,0,W,9,4,1,,12,,0,0,5,1,271,,70.0,55,7,28.4,8,5,BC Place,Vancouver,
2026,espn_boxscore,760421,2026-06-14,,TUR,Turkey,AUS,Australia,False,0,2,L,30,8,12,,4,,1,0,8,3,704,,90.0,29,4,71.6,2,8,BC Place,Vancouver,
2026,espn_boxscore,760422,2026-06-14,,GER,Germany,CUR,Curaçao,True,7,1,W,26,12,8,,18,,0,0,8,0,637,,90.0,8,12,64.6,1,13,NRG Stadium,"Houston, Texas",
2026,espn_boxscore,760422,2026-06-14,,CUR,Curaçao,GER,Germany,False,1,7,L,8,2,0,,11,,0,0,1,1,343,,80.0,25,16,35.4,4,8,NRG Stadium,"Houston, Texas",
2026,espn_boxscore,760423,2026-06-14,,CIV,Ivory Coast,ECU,Ecuador,True,1,0,W,15,4,3,,10,,3,0,3,0,470,,80.0,29,11,48.4,1,9,Lincoln Financial Field,"Philadelphia, Pennsylvania",
2026,espn_boxscore,760423,2026-06-14,,ECU,Ecuador,CIV,Ivory Coast,False,0,1,L,12,1,3,,13,,1,0,6,0,492,,90.0,18,13,51.6,3,15,Lincoln Financial Field,"Philadelphia, Pennsylvania",
2026,espn_boxscore,760424,2026-06-14,,SWE,Sweden,TUN,Tunisia,True,5,1,W,13,7,3,,10,,0,0,4,3,356,,80.0,23,6,48.7,1,9,Estadio BBVA,Guadalupe,
2026,espn_boxscore,760424,2026-06-14,,TUN,Tunisia,SWE,Sweden,False,1,5,L,6,2,1,,8,,1,0,2,6,371,,80.0,13,6,51.3,1,12,Estadio BBVA,Guadalupe,
2026,espn_boxscore,760425,2026-06-14,,NED,Netherlands,JPN,Japan,True,2,2,D,10,6,1,,7,,3,0,5,1,524,,90.0,23,7,59.8,1,5,AT&T Stadium,"Arlington, Texas",
2026,espn_boxscore,760425,2026-06-14,,JPN,Japan,NED,Netherlands,False,2,2,D,10,3,1,,7,,0,0,4,0,341,,80.0,32,4,40.2,4,10,AT&T Stadium,"Arlington, Texas",
2026,espn_boxscore,760426,2026-06-15,,BEL,Belgium,EGY,Egypt,True,1,1,D,15,3,5,,15,,2,0,2,0,455,,90.0,25,10,53.6,2,11,Lumen Field,"Seattle, Washington",
2026,espn_boxscore,760426,2026-06-15,,EGY,Egypt,BEL,Belgium,False,1,1,D,14,3,7,,15,,2,0,7,1,398,,80.0,17,16,46.4,3,17,Lumen Field,"Seattle, Washington",
2026,espn_boxscore,760427,2026-06-15,,IRN,Iran,NZL,New Zealand,True,2,2,D,17,4,5,,10,,1,0,4,2,409,,80.0,27,11,48.5,6,10,SoFi Stadium,"Inglewood, California",
2026,espn_boxscore,760427,2026-06-15,,NZL,New Zealand,IRN,Iran,False,2,2,D,14,8,2,,8,,0,0,1,0,446,,80.0,26,15,51.5,2,10,SoFi Stadium,"Inglewood, California",
2026,espn_boxscore,760428,2026-06-15,,ESP,Spain,CPV,Cape Verde,True,0,0,D,27,7,8,,10,,1,0,11,2,800,,90.0,7,6,74.3,1,12,Mercedes-Benz Stadium,"Atlanta, Georgia",
2026,espn_boxscore,760428,2026-06-15,,CPV,Cape Verde,ESP,Spain,False,0,0,D,6,1,2,,1,,1,0,1,3,278,,70.0,46,15,25.7,7,11,Mercedes-Benz Stadium,"Atlanta, Georgia",
2026,espn_boxscore,760429,2026-06-15,,SAU,Saudi Arabia,URU,Uruguay,True,1,1,D,7,3,1,,11,,1,0,4,0,322,,70.0,43,9,33.2,9,8,Hard Rock Stadium,"Miami Gardens, Florida",
2026,espn_boxscore,760429,2026-06-15,,URU,Uruguay,SAU,Saudi Arabia,False,1,1,D,27,10,7,,6,,0,0,14,6,612,,90.0,17,10,66.8,2,2,Hard Rock Stadium,"Miami Gardens, Florida",
2026,espn_boxscore,760430,2026-06-16,,IRQ,Iraq,NOR,Norway,True,1,4,L,11,1,2,,12,,1,0,2,1,334,,80.0,20,5,38.7,2,13,Gillette Stadium,"Foxborough, Massachusetts",
2026,espn_boxscore,760430,2026-06-16,,NOR,Norway,IRQ,Iraq,False,4,1,W,12,5,3,,13,,0,0,5,0,537,,90.0,22,2,61.3,0,10,Gillette Stadium,"Foxborough, Massachusetts",
2026,espn_boxscore,760432,2026-06-16,,FRA,France,SEN,Senegal,True,3,1,W,11,8,2,,5,,0,0,6,1,575,,90.0,14,7,53.4,2,14,MetLife Stadium,"East Rutherford, New Jersey",
2026,espn_boxscore,760432,2026-06-16,,SEN,Senegal,FRA,France,False,1,3,L,6,2,1,,9,,0,0,4,3,502,,90.0,17,8,46.6,5,10,MetLife Stadium,"East Rutherford, New Jersey",
2026,espn_boxscore,760433,2026-06-16,,ARG,Argentina,ALG,Algeria,True,3,0,W,10,6,1,,13,,0,0,2,3,561,,90.0,17,10,47.8,0,19,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",
2026,espn_boxscore,760433,2026-06-16,,ALG,Algeria,ARG,Argentina,False,0,3,L,7,1,3,,8,,0,0,2,1,609,,90.0,12,8,52.2,3,10,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",
2026,espn_boxscore,760431,2026-06-17,,AUT,Austria,JOR,Jordan,True,3,1,W,11,4,1,,12,,1,0,4,3,580,,80.0,24,15,63.2,3,7,Levi's Stadium,"Santa Clara, California",
2026,espn_boxscore,760431,2026-06-17,,JOR,Jordan,AUT,Austria,False,1,3,L,11,4,2,,7,,0,0,3,1,332,,70.0,39,12,36.8,1,6,Levi's Stadium,"Santa Clara, California",
2026,espn_boxscore,760434,2026-06-17,,GHA,Ghana,PAN,Panama,True,1,0,W,7,2,1,,9,,1,0,2,4,352,,80.0,28,8,38.0,4,9,BMO Field,Toronto,
2026,espn_boxscore,760434,2026-06-17,,PAN,Panama,GHA,Ghana,False,0,1,L,11,4,2,,11,,2,0,2,1,583,,90.0,17,5,62.0,2,11,BMO Field,Toronto,
2026,espn_boxscore,760435,2026-06-17,,POR,Portugal,CDR,DR Congo,True,1,1,D,7,1,2,,9,,3,0,5,3,783,,90.0,10,3,75.4,1,6,NRG Stadium,"Houston, Texas",
2026,espn_boxscore,760435,2026-06-17,,CDR,DR Congo,POR,Portugal,False,1,1,D,8,2,3,,10,,1,0,4,2,249,,80.0,27,5,24.6,0,9,NRG Stadium,"Houston, Texas",
2026,espn_boxscore,760436,2026-06-17,,UZB,Uzbekistan,COL,Colombia,True,1,3,L,8,2,2,,14,,1,0,3,0,319,,80.0,24,7,38.6,1,7,Estadio Banorte,Mexico City,
2026,espn_boxscore,760436,2026-06-17,,COL,Colombia,UZB,Uzbekistan,False,3,1,W,15,4,4,,11,,1,0,4,3,519,,90.0,20,6,61.4,1,3,Estadio Banorte,Mexico City,
2026,espn_boxscore,760437,2026-06-17,,ENG,England,CRO,Croatia,True,4,2,W,22,11,5,,10,,0,0,8,0,474,,90.0,16,7,51.7,3,7,AT&T Stadium,"Arlington, Texas",
2026,espn_boxscore,760437,2026-06-17,,CRO,Croatia,ENG,England,False,2,4,L,10,5,2,,12,,0,0,2,1,443,,90.0,17,9,48.3,7,8,AT&T Stadium,"Arlington, Texas",
2026,espn_boxscore,760438,2026-06-18,,CZE,Czech Republic,RSA,South Africa,True,1,1,D,14,3,3,,12,,1,0,5,2,341,,80.0,22,9,38.3,3,4,Mercedes-Benz Stadium,"Atlanta, Georgia",
2026,espn_boxscore,760438,2026-06-18,,RSA,South Africa,CZE,Czech Republic,False,1,1,D,17,4,8,,10,,2,0,5,3,563,,90.0,24,9,61.7,2,11,Mercedes-Benz Stadium,"Atlanta, Georgia",
2026,espn_boxscore,760439,2026-06-18,,SUI,Switzerland,BIH,Bosnia and Herzegovina,True,4,1,W,13,7,3,,7,,1,0,7,3,586,,90.0,17,5,62.3,2,13,SoFi Stadium,"Inglewood, California",
2026,espn_boxscore,760439,2026-06-18,,BIH,Bosnia and Herzegovina,SUI,Switzerland,False,1,4,L,5,3,1,,18,,2,1,3,1,354,,80.0,36,11,37.7,3,3,SoFi Stadium,"Inglewood, California",
2026,espn_boxscore,760440,2026-06-18,,CAN,Canada,QAT,Qatar,True,6,0,W,32,10,14,,9,,1,0,19,1,567,,90.0,3,6,79.0,0,5,BC Place,Vancouver,
2026,espn_boxscore,760440,2026-06-18,,QAT,Qatar,CAN,Canada,False,0,6,L,2,0,1,,10,,1,2,1,1,162,,60.0,61,10,21.0,4,10,BC Place,Vancouver,
2026,espn_boxscore,760441,2026-06-18,,MEX,Mexico,KOR,South Korea,True,1,0,W,8,4,1,,9,,0,0,1,3,427,,80.0,20,6,42.4,2,7,Estadio Akron,Guadalajara,
2026,espn_boxscore,760441,2026-06-18,,KOR,South Korea,MEX,Mexico,False,0,1,L,9,2,3,,7,,2,0,2,6,578,,80.0,12,5,57.6,3,10,Estadio Akron,Guadalajara,
2026,espn_boxscore,760442,2026-06-19,,USA,United States,AUS,Australia,True,2,0,W,10,2,6,,12,,3,0,7,1,523,,80.0,31,20,61.9,2,8,Lumen Field,"Seattle, Washington",
2026,espn_boxscore,760442,2026-06-19,,AUS,Australia,USA,United States,False,0,2,L,5,2,0,,16,,4,0,4,0,310,,70.0,24,6,38.1,1,11,Lumen Field,"Seattle, Washington",
2026,espn_boxscore,760443,2026-06-19,,TUR,Turkey,PAR,Paraguay,True,0,1,L,32,5,12,,14,,1,0,12,2,629,,90.0,29,6,78.5,1,11,Levi's Stadium,"Santa Clara, California",
2026,espn_boxscore,760443,2026-06-19,,PAR,Paraguay,TUR,Turkey,False,1,0,W,7,2,2,,15,,1,1,0,3,178,,50.0,48,9,21.5,5,15,Levi's Stadium,"Santa Clara, California",
2026,espn_boxscore,760444,2026-06-19,,BRA,Brazil,HAI,Haiti,True,3,0,W,8,5,1,,13,,1,0,4,8,525,,90.0,14,10,56.7,3,10,Lincoln Financial Field,"Philadelphia, Pennsylvania",
2026,espn_boxscore,760444,2026-06-19,,HAI,Haiti,BRA,Brazil,False,0,3,L,7,3,1,,14,,3,0,4,4,399,,80.0,22,9,43.3,2,10,Lincoln Financial Field,"Philadelphia, Pennsylvania",
2026,espn_boxscore,760445,2026-06-19,,SCO,Scotland,MAR,Morocco,True,0,1,L,6,0,3,,11,,1,0,2,1,456,,90.0,17,9,41.1,1,12,Gillette Stadium,"Foxborough, Massachusetts",
2026,espn_boxscore,760445,2026-06-19,,MAR,Morocco,SCO,Scotland,False,1,0,W,12,2,4,,8,,1,0,5,0,670,,90.0,14,5,58.9,0,6,Gillette Stadium,"Foxborough, Massachusetts",
2026,espn_boxscore,760446,2026-06-20,,ECU,Ecuador,CUR,Curaçao,True,0,0,D,27,15,2,,7,,1,0,9,1,644,,90.0,17,7,74.6,3,11,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",
2026,espn_boxscore,760446,2026-06-20,,CUR,Curaçao,ECU,Ecuador,False,0,0,D,10,3,3,,10,,5,0,0,2,227,,70.0,32,8,25.4,15,7,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",
2026,espn_boxscore,760447,2026-06-20,,NED,Netherlands,SWE,Sweden,True,5,1,W,10,7,1,,9,,0,0,2,3,449,,90.0,24,8,50.9,7,8,NRG Stadium,"Houston, Texas",
2026,espn_boxscore,760447,2026-06-20,,SWE,Sweden,NED,Netherlands,False,1,5,L,16,8,3,,12,,3,0,5,3,425,,80.0,14,5,49.1,2,9,NRG Stadium,"Houston, Texas",
2026,espn_boxscore,760448,2026-06-20,,GER,Germany,CIV,Ivory Coast,True,2,1,W,16,7,4,,5,,0,0,8,0,624,,90.0,14,8,59.5,1,17,BMO Field,Toronto,
2026,espn_boxscore,760448,2026-06-20,,CIV,Ivory Coast,GER,Germany,False,1,2,L,9,2,5,,7,,0,0,3,1,431,,90.0,26,13,40.5,5,11,BMO Field,Toronto,
2026,espn_boxscore,760449,2026-06-21,,TUN,Tunisia,JPN,Japan,True,0,4,L,2,0,1,,8,,0,0,3,1,354,,80.0,23,14,37.9,1,16,Estadio BBVA,Guadalupe,
2026,espn_boxscore,760449,2026-06-21,,JPN,Japan,TUN,Tunisia,False,4,0,W,11,5,3,,15,,0,0,5,1,583,,90.0,25,7,62.1,0,12,Estadio BBVA,Guadalupe,
2026,espn_boxscore,760450,2026-06-21,,URU,Uruguay,CPV,Cape Verde,True,2,2,D,17,2,7,,11,,2,0,11,3,511,,80.0,11,7,65.2,2,8,Hard Rock Stadium,"Miami Gardens, Florida",
