date,event_id,team_code,team_name,opponent_code,opponent_name,goals,opponent_goals,neutral,true_home_advantage,elo_pre,elo_post
2026-06-11,760414,CZE,Czech Republic,KOR,South Korea,1,2,True,False,1806.3989,1782.6588
2026-06-11,760414,KOR,South Korea,CZE,Czech Republic,2,1,True,False,1879.9769,1903.717
2026-06-11,760415,MEX,Mexico,RSA,South Africa,2,0,False,True,1984.7936,1992.1012
2026-06-11,760415,RSA,South Africa,MEX,Mexico,0,2,False,False,1663.3169,1656.0093
2026-06-12,760416,BIH,Bosnia and Herzegovina,CAN,Canada,1,1,False,False,1652.8208,1675.7308
2026-06-12,760416,CAN,Canada,BIH,Bosnia and Herzegovina,1,1,False,True,1901.9781,1879.0681
2026-06-12,760417,PAR,Paraguay,USA,United States,1,4,False,False,1917.7456,1866.7189
2026-06-12,760417,USA,United States,PAR,Paraguay,4,1,False,True,1827.4984,1878.5251
2026-06-13,760418,HAI,Haiti,SCO,Scotland,0,1,True,False,1717.2284,1698.3261
2026-06-13,760418,SCO,Scotland,HAI,Haiti,1,0,True,False,1852.1502,1871.0525
2026-06-13,760419,BRA,Brazil,MAR,Morocco,1,1,True,False,2068.632,2061.5346
2026-06-13,760419,MAR,Morocco,BRA,Brazil,1,1,True,False,1984.8491,1991.9465
2026-06-13,760420,QAT,Qatar,SUI,Switzerland,1,1,True,False,1564.5424,1588.7127
2026-06-13,760420,SUI,Switzerland,QAT,Qatar,1,1,True,False,1951.7868,1927.6165
2026-06-14,760421,AUS,Australia,TUR,Turkey,2,0,True,False,1900.7948,1955.1932
2026-06-14,760421,TUR,Turkey,AUS,Australia,0,2,True,False,1974.4414,1920.043
2026-06-14,760422,CUR,Curaçao,GER,Germany,1,7,True,False,1611.4457,1599.1608
2026-06-14,760422,GER,Germany,CUR,Curaçao,7,1,True,False,2000.3014,2012.5863
2026-06-14,760423,CIV,Ivory Coast,ECU,Ecuador,1,0,True,False,1814.7168,1861.1277
2026-06-14,760423,ECU,Ecuador,CIV,Ivory Coast,0,1,True,False,2028.0889,1981.678
2026-06-14,760424,SWE,Sweden,TUN,Tunisia,5,1,True,False,1775.251,1825.4053
2026-06-14,760424,TUN,Tunisia,SWE,Sweden,1,5,True,False,1737.4518,1687.2975
2026-06-14,760425,JPN,Japan,NED,Netherlands,2,2,True,False,1992.7287,1994.1568
2026-06-14,760425,NED,Netherlands,JPN,Japan,2,2,True,False,2009.2805,2007.8524
2026-06-15,760426,BEL,Belgium,EGY,Egypt,1,1,True,False,1944.7165,1933.6156
2026-06-15,760426,EGY,Egypt,BEL,Belgium,1,1,True,False,1809.7527,1820.8536
2026-06-15,760427,IRN,Iran,NZL,New Zealand,2,2,True,False,1894.4322,1881.2676
