date,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,elo_home_pre,elo_away_pre
1872-11-30,Scotland,England,0,0,Friendly,FALSE,20,1500.0000,1500.0000
1873-03-08,England,Scotland,4,2,Friendly,FALSE,20,1502.8013,1497.1987
1874-03-07,Scotland,England,2,1,Friendly,FALSE,20,1486.6225,1513.3775
1875-03-06,England,Scotland,2,2,Friendly,FALSE,20,1505.4549,1494.5451
1876-03-04,Scotland,England,3,0,Friendly,FALSE,20,1497.6331,1502.3669
1877-03-03,England,Scotland,1,3,Friendly,FALSE,20,1489.5486,1523.4337
1878-03-02,Scotland,England,7,2,Friendly,FALSE,20,1558.2186,1471.7282
1879-01-18,England,Wales,2,1,Friendly,FALSE,20,1461.5388,1457.9540
1879-04-05,England,Scotland,5,4,Friendly,FALSE,20,1468.6427,1580.5072
1880-03-13,Scotland,England,5,4,Friendly,FALSE,20,1586.6939,1478.9841
1880-03-15,Wales,England,2,3,Friendly,FALSE,20,1434.3220,1474.3392
1881-02-26,England,Wales,0,1,Friendly,FALSE,20,1486.0487,1416.0300
1881-03-12,England,Scotland,1,6,Friendly,FALSE,20,1471.5116,1597.9213
1882-02-18,Northern Ireland,England,0,13,Friendly,FALSE,20,1500.0000,1453.0290
1882-03-11,Scotland,England,5,1,Friendly,FALSE,20,1630.6136,1495.0130
1882-03-13,Wales,England,5,3,Friendly,FALSE,20,1434.0723,1487.3310
1883-02-03,England,Wales,5,0,Friendly,FALSE,20,1474.3369,1440.7637
1883-02-24,England,Northern Ireland,7,0,Friendly,FALSE,20,1487.0055,1440.3011
1883-03-10,England,Scotland,2,3,Friendly,FALSE,20,1500.5320,1644.5983
1884-02-23,Northern Ireland,England,1,8,British Home Championship,FALSE,30,1383.5218,1491.7935
1884-03-15,Scotland,England,1,0,British Home Championship,FALSE,30,1683.2344,1524.7402
1884-03-17,Wales,England,0,4,British Home Championship,FALSE,30,1441.4503,1519.2136
1885-02-28,England,Northern Ireland,4,0,British Home Championship,FALSE,30,1549.1362,1350.5751
1885-03-14,England,Wales,1,1,British Home Championship,FALSE,30,1557.6887,1406.1550
1885-03-21,England,Scotland,1,1,British Home Championship,FALSE,30,1548.3982,1698.5307
1886-03-13,Northern Ireland,England,1,6,British Home Championship,FALSE,30,1289.5773,1550.5477
1886-03-27,Scotland,England,1,1,British Home Championship,FALSE,30,1721.3616,1567.5644
1886-03-29,Wales,England,1,3,British Home Championship,FALSE,30,1445.8863,1576.9148
1887-02-05,England,Northern Ireland,7,0,British Home Championship,FALSE,30,1597.4107,1265.1877
1887-02-26,England,Wales,4,0,British Home Championship,FALSE,30,1602.5879,1420.2728
1887-03-19,England,Scotland,2,3,British Home Championship,FALSE,30,1611.8409,1719.1711
1888-02-04,England,Wales,5,1,British Home Championship,FALSE,30,1597.1573,1372.2890
1888-03-17,Scotland,England,0,5,British Home Championship,FALSE,30,1746.1648,1604.6684
1888-04-07,Northern Ireland,England,1,5,British Home Championship,FALSE,30,1257.0869,1652.7055
1889-02-23,England,Wales,4,1,British Home Championship,FALSE,30,1661.3816,1382.8924
1889-03-02,England,Northern Ireland,6,1,British Home Championship,FALSE,30,1666.7195,1248.4108
1889-04-13,England,Scotland,2,3,British Home Championship,FALSE,30,1669.6098,1715.3913
1890-03-15,Northern Ireland,England,1,9,British Home Championship,FALSE,30,1209.8073,1652.2878
1890-03-15,Wales,England,1,3,British Home Championship,FALSE,30,1420.1734,1660.9967
1890-04-05,Scotland,England,1,1,British Home Championship,FALSE,30,1732.4504,1674.8456
1891-03-07,England,Wales,4,1,British Home Championship,FALSE,30,1681.2187,1362.5856
1891-03-07,England,Northern Ireland,6,1,British Home Championship,FALSE,30,1685.5460,1235.7139
1891-04-04,England,Scotland,2,1,British Home Championship,FALSE,30,1687.9760,1732.2955
1892-03-05,Northern Ireland,England,0,2,British Home Championship,FALSE,30,1240.7765,1700.5925
1892-03-05,Wales,England,0,2,British Home Championship,FALSE,30,1344.5475,1705.6289
1892-04-02,Scotland,England,1,4,British Home Championship,FALSE,30,1726.0861,1713.8186
1893-02-25,England,Northern Ireland,6,1,British Home Championship,FALSE,30,1748.2674,1232.7747
1893-03-13,England,Wales,6,0,British Home Championship,FALSE,30,1749.9541,1332.9161
1893-04-01,England,Scotland,5,2,British Home Championship,FALSE,30,1753.0465,1706.6915
1894-03-03,Northern Ireland,England,2,2,British Home Championship,FALSE,30,1215.6659,1768.8496
1894-03-12,Wales,England,1,5,British Home Championship,FALSE,30,1330.1916,1755.9069
1894-04-07,Scotland,England,2,2,British Home Championship,FALSE,30,1697.4695,1763.3864
1895-03-09,England,Northern Ireland,9,0,British Home Championship,FALSE,30,1764.8532,1225.3490
1895-03-18,England,Wales,1,1,British Home Championship,FALSE,30,1766.6960,1319.5683
1895-04-06,England,Scotland,3,0,British Home Championship,FALSE,30,1752.9293,1688.1155
1896-03-07,Northern Ireland,England,0,2,British Home Championship,FALSE,30,1208.5183,1767.5840
1896-03-16,Wales,England,1,9,British Home Championship,FALSE,30,1356.0324,1770.5742
1896-04-04,Scotland,England,2,1,British Home Championship,FALSE,30,1666.0342,1780.5890
1897-02-20,England,Northern Ireland,6,0,British Home Championship,FALSE,30,1764.9610,1217.3799
1897-03-29,England,Wales,4,0,British Home Championship,FALSE,30,1766.4580,1334.8974
1897-04-03,England,Scotland,1,2,British Home Championship,FALSE,30,1768.9775,1674.6510
1898-03-05,Northern Ireland,England,2,3,British Home Championship,FALSE,30,1252.4691,1746.3655
1898-03-28,Wales,England,0,3,British Home Championship,FALSE,30,1306.5105,1749.1811
1898-04-02,Scotland,England,1,3,British Home Championship,FALSE,30,1706.4090,1755.5920
1899-02-18,England,Northern Ireland,13,2,British Home Championship,FALSE,30,1781.3597,1243.4949
1899-03-20,England,Wales,4,0,British Home Championship,FALSE,30,1783.4056,1276.9544
1899-04-08,England,Scotland,2,1,British Home Championship,FALSE,30,1785.0689,1693.6796
1900-03-17,Northern Ireland,England,0,2,British Home Championship,FALSE,30,1230.4881,1792.5514
1900-03-26,Wales,England,1,1,British Home Championship,FALSE,30,1287.6179,1795.4937
1900-04-07,Scotland,England,4,1,British Home Championship,FALSE,30,1694.9381,1783.1106
1901-03-09,England,Northern Ireland,3,0,British Home Championship,FALSE,30,1757.7539,1224.9126
1901-03-18,England,Wales,6,0,British Home Championship,FALSE,30,1759.0930,1310.9561
1901-03-30,England,Scotland,2,2,British Home Championship,FALSE,30,1761.6992,1711.9730
1902-03-03,Wales,England,0,0,British Home Championship,FALSE,30,1283.2539,1755.6076
1902-03-22,Northern Ireland,England,0,1,British Home Championship,FALSE,30,1242.6756,1743.7559
1902-05-03,England,Scotland,2,2,British Home Championship,FALSE,30,1746.4678,1726.6143
1902-07-20,Uruguay,Argentina,0,6,Friendly,FALSE,20,1500.0000,1500.0000
1903-02-14,England,Northern Ireland,4,0,British Home Championship,FALSE,30,1741.4893,1239.9637
1903-03-02,England,Wales,2,1,British Home Championship,FALSE,30,1743.1989,1292.5496
1903-04-04,England,Scotland,1,2,British Home Championship,FALSE,30,1744.4085,1691.7036
1903-09-13,Argentina,Uruguay,2,3,Friendly,FALSE,20,1527.2028,1472.7972
1904-02-29,Wales,England,2,2,British Home Championship,FALSE,30,1271.0881,1723.2098
1904-03-12,Northern Ireland,England,1,3,British Home Championship,FALSE,30,1298.3954,1711.7017
1904-04-09,Scotland,England,0,1,British Home Championship,FALSE,30,1689.0602,1718.0657
1905-02-25,England,Northern Ireland,1,1,British Home Championship,FALSE,30,1736.0888,1321.5955
1905-03-27,England,Wales,3,1,British Home Championship,FALSE,30,1722.5645,1314.8839
1905-04-01,England,Scotland,1,0,British Home Championship,FALSE,30,1724.8619,1638.1972
1905-08-15,Argentina,Uruguay,0,0,Copa Lipton,FALSE,30,1513.0298,1486.9702
1906-02-17,Northern Ireland,England,0,5,British Home Championship,FALSE,30,1325.0673,1732.4982
1906-03-19,Wales,England,0,1,British Home Championship,FALSE,30,1358.6500,1741.2329
1906-04-07,Scotland,England,2,1,British Home Championship,FALSE,30,1597.4710,1746.1615
1906-07-09,Argentina,South Africa,0,1,Friendly,FALSE,20,1507.8142,1500.0000
1906-08-15,Uruguay,Argentina,0,2,Copa Lipton,FALSE,30,1492.1858,1494.8070
1906-10-21,Argentina,Uruguay,2,1,Copa Newton,FALSE,30,1523.4532,1463.5396
1907-02-16,England,Northern Ireland,1,0,British Home Championship,FALSE,30,1729.0730,1314.1794
1907-03-18,England,Wales,1,1,British Home Championship,FALSE,30,1730.5454,1386.6200
1907-04-06,England,Scotland,1,1,British Home Championship,FALSE,30,1717.7073,1598.3027
1908-02-15,Northern Ireland,England,1,3,British Home Championship,FALSE,30,1290.1273,1709.3210
1908-03-16,Wales,England,1,7,British Home Championship,FALSE,30,1395.0865,1715.5021
1908-04-04,Scotland,England,1,1,British Home Championship,FALSE,30,1623.8362,1729.4927
1908-06-06,Austria,England,1,6,Friendly,FALSE,20,1514.0151,1729.2485
1908-06-08,Austria,England,1,11,Friendly,FALSE,20,1507.2983,1742.8481
1908-06-10,Hungary,England,0,7,Friendly,FALSE,20,1505.5746,1759.3466
1908-06-13,Czechoslovakia,England,0,4,Friendly,FALSE,20,1480.4103,1772.4913
1908-08-15,Uruguay,Argentina,2,2,Copa Lipton,FALSE,30,1454.9941,1531.9986
1908-09-13,Argentina,Uruguay,2,1,Copa Newton,FALSE,30,1532.9900,1454.0028
1908-10-04,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,FALSE,30,1540.8806,1446.1122
1909-02-13,England,Northern Ireland,4,0,British Home Championship,FALSE,30,1781.8166,1294.2714
1909-03-15,England,Wales,2,0,British Home Championship,FALSE,30,1783.6648,1379.6653
1909-04-03,England,Scotland,2,0,British Home Championship,FALSE,30,1786.0089,1607.5865
1909-05-29,Hungary,England,2,4,Friendly,FALSE,20,1512.2546,1793.5509
