date,team,side,opponent,rest_days
1872-11-30,England,away,Scotland,
1873-03-08,England,home,Scotland,98
1874-03-07,England,away,Scotland,364
1875-03-06,England,home,Scotland,364
1876-03-04,England,away,Scotland,364
1877-03-03,England,home,Scotland,364
1878-03-02,England,away,Scotland,364
1879-01-18,England,home,Wales,322
1879-04-05,England,home,Scotland,77
1880-03-13,England,away,Scotland,343
1880-03-15,England,away,Wales,2
1881-02-26,England,home,Wales,348
1881-03-12,England,home,Scotland,14
1882-02-18,England,away,Northern Ireland,343
1882-03-11,England,away,Scotland,21
1882-03-13,England,away,Wales,2
1883-02-03,England,home,Wales,327
1883-02-24,England,home,Northern Ireland,21
1883-03-10,England,home,Scotland,14
1884-02-23,England,away,Northern Ireland,350
1884-03-15,England,away,Scotland,21
1884-03-17,England,away,Wales,2
1885-02-28,England,home,Northern Ireland,348
1885-03-14,England,home,Wales,14
1885-03-21,England,home,Scotland,7
1886-03-13,England,away,Northern Ireland,357
1886-03-27,England,away,Scotland,14
1886-03-29,England,away,Wales,2
1887-02-05,England,home,Northern Ireland,313
1887-02-26,England,home,Wales,21
1887-03-19,England,home,Scotland,21
1888-02-04,England,home,Wales,322
1888-03-17,England,away,Scotland,42
1888-04-07,England,away,Northern Ireland,21
1889-02-23,England,home,Wales,322
1889-03-02,England,home,Northern Ireland,7
1889-04-13,England,home,Scotland,42
1890-03-15,England,away,Northern Ireland,336
1890-03-15,England,away,Wales,0
1890-04-05,England,away,Scotland,21
1891-03-07,England,home,Wales,336
1891-03-07,England,home,Northern Ireland,0
1891-04-04,England,home,Scotland,28
1892-03-05,England,away,Northern Ireland,336
1892-03-05,England,away,Wales,0
1892-04-02,England,away,Scotland,28
1893-02-25,England,home,Northern Ireland,329
1893-03-13,England,home,Wales,16
1893-04-01,England,home,Scotland,19
1894-03-03,England,away,Northern Ireland,336
1894-03-12,England,away,Wales,9
1894-04-07,England,away,Scotland,26
1895-03-09,England,home,Northern Ireland,336
1895-03-18,England,home,Wales,9
1895-04-06,England,home,Scotland,19
1896-03-07,England,away,Northern Ireland,336
1896-03-16,England,away,Wales,9
1896-04-04,England,away,Scotland,19
1897-02-20,England,home,Northern Ireland,322
1897-03-29,England,home,Wales,37
1897-04-03,England,home,Scotland,5
1898-03-05,England,away,Northern Ireland,336
1898-03-28,England,away,Wales,23
1898-04-02,England,away,Scotland,5
1899-02-18,England,home,Northern Ireland,322
1899-03-20,England,home,Wales,30
1899-04-08,England,home,Scotland,19
1900-03-17,England,away,Northern Ireland,343
1900-03-26,England,away,Wales,9
1900-04-07,England,away,Scotland,12
1901-03-09,England,home,Northern Ireland,336
1901-03-18,England,home,Wales,9
1901-03-30,England,home,Scotland,12
1902-03-03,England,away,Wales,338
1902-03-22,England,away,Northern Ireland,19
1902-05-03,England,home,Scotland,42
1902-07-20,Argentina,away,Uruguay,
1903-02-14,England,home,Northern Ireland,287
1903-03-02,England,home,Wales,16
1903-04-04,England,home,Scotland,33
1903-09-13,Argentina,home,Uruguay,420
1904-02-29,England,away,Wales,331
1904-03-12,England,away,Northern Ireland,12
1904-04-09,England,away,Scotland,28
1905-02-25,England,home,Northern Ireland,322
1905-03-27,England,home,Wales,30
1905-04-01,England,home,Scotland,5
1905-08-15,Argentina,home,Uruguay,702
1906-02-17,England,away,Northern Ireland,322
1906-03-19,England,away,Wales,30
1906-04-07,England,away,Scotland,19
1906-07-09,Argentina,home,South Africa,328
1906-08-15,Argentina,away,Uruguay,37
1906-10-21,Argentina,home,Uruguay,67
1907-02-16,England,home,Northern Ireland,315
1907-03-18,England,home,Wales,30
1907-04-06,England,home,Scotland,19
