date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,data_source
1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1873-03-08,England,Scotland,4,2,Friendly,London,England,FALSE,data/international_results/results.csv
1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1875-03-06,England,Scotland,2,2,Friendly,London,England,FALSE,data/international_results/results.csv
1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1877-03-03,England,Scotland,1,3,Friendly,London,England,FALSE,data/international_results/results.csv
1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1879-01-18,England,Wales,2,1,Friendly,London,England,FALSE,data/international_results/results.csv
1879-04-05,England,Scotland,5,4,Friendly,London,England,FALSE,data/international_results/results.csv
1880-03-13,Scotland,England,5,4,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1880-03-15,Wales,England,2,3,Friendly,Wrexham,Wales,FALSE,data/international_results/results.csv
1881-02-26,England,Wales,0,1,Friendly,Blackburn,England,FALSE,data/international_results/results.csv
1881-03-12,England,Scotland,1,6,Friendly,London,England,FALSE,data/international_results/results.csv
1882-02-18,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,FALSE,data/international_results/results.csv
1882-03-11,Scotland,England,5,1,Friendly,Glasgow,Scotland,FALSE,data/international_results/results.csv
1882-03-13,Wales,England,5,3,Friendly,Wrexham,Wales,FALSE,data/international_results/results.csv
1883-02-03,England,Wales,5,0,Friendly,London,England,FALSE,data/international_results/results.csv
1883-02-24,England,Northern Ireland,7,0,Friendly,Liverpool,England,FALSE,data/international_results/results.csv
1883-03-10,England,Scotland,2,3,Friendly,Sheffield,England,FALSE,data/international_results/results.csv
1884-02-23,Northern Ireland,England,1,8,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1884-03-15,Scotland,England,1,0,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1884-03-17,Wales,England,0,4,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1885-02-28,England,Northern Ireland,4,0,British Home Championship,Manchester,England,FALSE,data/international_results/results.csv
1885-03-14,England,Wales,1,1,British Home Championship,Blackburn,England,FALSE,data/international_results/results.csv
1885-03-21,England,Scotland,1,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
1886-03-13,Northern Ireland,England,1,6,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1886-03-27,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1886-03-29,Wales,England,1,3,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1887-02-05,England,Northern Ireland,7,0,British Home Championship,Sheffield,England,FALSE,data/international_results/results.csv
1887-02-26,England,Wales,4,0,British Home Championship,London,England,FALSE,data/international_results/results.csv
1887-03-19,England,Scotland,2,3,British Home Championship,Blackburn,England,FALSE,data/international_results/results.csv
1888-02-04,England,Wales,5,1,British Home Championship,Crewe,England,FALSE,data/international_results/results.csv
1888-03-17,Scotland,England,0,5,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1888-04-07,Northern Ireland,England,1,5,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1889-02-23,England,Wales,4,1,British Home Championship,Stoke-on-Trent,England,FALSE,data/international_results/results.csv
1889-03-02,England,Northern Ireland,6,1,British Home Championship,Liverpool,England,FALSE,data/international_results/results.csv
1889-04-13,England,Scotland,2,3,British Home Championship,London,England,FALSE,data/international_results/results.csv
1890-03-15,Northern Ireland,England,1,9,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1890-03-15,Wales,England,1,3,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1890-04-05,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1891-03-07,England,Wales,4,1,British Home Championship,Sunderland,England,FALSE,data/international_results/results.csv
1891-03-07,England,Northern Ireland,6,1,British Home Championship,Wolverhampton,England,FALSE,data/international_results/results.csv
1891-04-04,England,Scotland,2,1,British Home Championship,Blackburn,England,FALSE,data/international_results/results.csv
1892-03-05,Northern Ireland,England,0,2,British Home Championship,Belfast,Ireland,FALSE,data/international_results/results.csv
1892-03-05,Wales,England,0,2,British Home Championship,Wrexham,Wales,FALSE,data/international_results/results.csv
1892-04-02,Scotland,England,1,4,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1893-02-25,England,Northern Ireland,6,1,British Home Championship,Birmingham,England,FALSE,data/international_results/results.csv
1893-03-13,England,Wales,6,0,British Home Championship,Stoke-on-Trent,England,FALSE,data/international_results/results.csv
