question,source,match_id,date,team_a,team_b,n_prior,predicted_rate,actual,brier_wf,brier_naive
q5_goal_each_half,AFCON2023,3920393,2024-01-16,Tunisia,Namibia,7,0.8571428571428571,0,0.7346938775510203,0.25
q5_goal_each_half,AFCON2023,3920392,2024-01-16,Burkina Faso,Mauritania,7,0.8571428571428571,0,0.7346938775510203,0.25
q5_goal_each_half,AFCON2023,3920391,2024-01-16,Mali,South Africa,7,0.8571428571428571,0,0.7346938775510203,0.25
q5_goal_each_half,AFCON2023,3920395,2024-01-17,Congo DR,Zambia,10,0.6,0,0.36,0.25
q5_goal_each_half,AFCON2023,3920394,2024-01-17,Morocco,Tanzania,10,0.6,1,0.16000000000000003,0.25
q5_goal_each_half,AFCON2023,3920397,2024-01-18,Equatorial Guinea,Guinea-Bissau,12,0.5833333333333334,1,0.17361111111111108,0.25
q5_goal_each_half,AFCON2023,3920396,2024-01-18,Egypt,Ghana,12,0.5833333333333334,1,0.17361111111111108,0.25
q5_goal_each_half,AFCON2023,3920398,2024-01-18,Côte d'Ivoire,Nigeria,12,0.5833333333333334,0,0.34027777777777785,0.25
q5_goal_each_half,AFCON2023,3920399,2024-01-19,Cape Verde Islands,Mozambique,15,0.6,1,0.16000000000000003,0.25
q5_goal_each_half,AFCON2023,3920400,2024-01-19,Senegal,Cameroon,15,0.6,1,0.16000000000000003,0.25
q5_goal_each_half,AFCON2023,3920401,2024-01-19,Guinea,Gambia,15,0.6,0,0.36,0.25
q5_goal_each_half,AFCON2023,3920404,2024-01-20,Tunisia,Mali,18,0.6111111111111112,0,0.37345679012345684,0.25
q5_goal_each_half,AFCON2023,3920403,2024-01-20,Mauritania,Angola,18,0.6111111111111112,1,0.15123456790123452,0.25
q5_goal_each_half,AFCON2023,3920402,2024-01-20,Algeria,Burkina Faso,18,0.6111111111111112,1,0.15123456790123452,0.25
q5_goal_each_half,AFCON2023,3920407,2024-01-21,South Africa,Namibia,21,0.6190476190476191,1,0.14512471655328796,0.25
q5_goal_each_half,AFCON2023,3920405,2024-01-21,Morocco,Congo DR,21,0.6190476190476191,1,0.14512471655328796,0.25
q5_goal_each_half,AFCON2023,3920406,2024-01-21,Zambia,Tanzania,21,0.6190476190476191,1,0.14512471655328796,0.25
q5_goal_each_half,AFCON2023,3920409,2024-01-22,Guinea-Bissau,Nigeria,24,0.6666666666666666,0,0.4444444444444444,0.25
q5_goal_each_half,AFCON2023,3920408,2024-01-22,Equatorial Guinea,Côte d'Ivoire,24,0.6666666666666666,1,0.11111111111111113,0.25
q5_goal_each_half,AFCON2023,3920410,2024-01-22,Mozambique,Ghana,24,0.6666666666666666,1,0.11111111111111113,0.25
q5_goal_each_half,AFCON2023,3920411,2024-01-22,Cape Verde Islands,Egypt,24,0.6666666666666666,1,0.11111111111111113,0.25
q5_goal_each_half,AFCON2023,3920413,2024-01-23,Gambia,Cameroon,28,0.6785714285714286,0,0.46045918367346944,0.25
q5_goal_each_half,AFCON2023,3920412,2024-01-23,Guinea,Senegal,28,0.6785714285714286,0,0.46045918367346944,0.25
q5_goal_each_half,AFCON2023,3920415,2024-01-23,Mauritania,Algeria,28,0.6785714285714286,0,0.46045918367346944,0.25
q5_goal_each_half,AFCON2023,3920414,2024-01-23,Angola,Burkina Faso,28,0.6785714285714286,1,0.10331632653061222,0.25
q5_goal_each_half,AFCON2023,3920417,2024-01-24,Namibia,Mali,32,0.625,0,0.390625,0.25
q5_goal_each_half,AFCON2023,3920416,2024-01-24,South Africa,Tunisia,32,0.625,0,0.390625,0.25
q5_goal_each_half,AFCON2023,3920419,2024-01-24,Zambia,Morocco,32,0.625,0,0.390625,0.25
q5_goal_each_half,AFCON2023,3920418,2024-01-24,Tanzania,Congo DR,32,0.625,0,0.390625,0.25
