match_id,competition,date,stage,stage_bucket,is_sf_or_final,team_a,team_b,n_goals_regulation,n_cards_regulation,q5_goal_each_half,q7_stoppage_goal,q8_both_carded,q10_card_before_goal,has_goal,has_card
3920384,AFCON2023,2024-01-13,Group Stage,group,False,Côte d'Ivoire,Guinea-Bissau,2,3,True,False,True,False,True,True
3920386,AFCON2023,2024-01-14,Group Stage,group,False,Nigeria,Equatorial Guinea,2,3,False,False,True,True,True,True
3920385,AFCON2023,2024-01-14,Group Stage,group,False,Egypt,Mozambique,4,4,True,True,True,False,True,True
3920387,AFCON2023,2024-01-14,Group Stage,group,False,Ghana,Cape Verde Islands,3,6,True,True,True,True,True,True
3920389,AFCON2023,2024-01-15,Group Stage,group,False,Cameroon,Guinea,2,4,True,False,True,False,True,True
3920390,AFCON2023,2024-01-15,Group Stage,group,False,Algeria,Angola,2,5,True,False,True,False,True,True
3920388,AFCON2023,2024-01-15,Group Stage,group,False,Senegal,Gambia,3,3,True,False,True,False,True,True
3920393,AFCON2023,2024-01-16,Group Stage,group,False,Tunisia,Namibia,1,0,False,False,False,False,True,False
3920392,AFCON2023,2024-01-16,Group Stage,group,False,Burkina Faso,Mauritania,1,5,False,True,True,True,True,True
3920391,AFCON2023,2024-01-16,Group Stage,group,False,Mali,South Africa,2,5,False,False,True,True,True,True
3920395,AFCON2023,2024-01-17,Group Stage,group,False,Congo DR,Zambia,2,2,False,False,True,False,True,True
3920394,AFCON2023,2024-01-17,Group Stage,group,False,Morocco,Tanzania,3,7,True,False,True,True,True,True
3920397,AFCON2023,2024-01-18,Group Stage,group,False,Equatorial Guinea,Guinea-Bissau,6,2,True,True,False,False,True,True
3920396,AFCON2023,2024-01-18,Group Stage,group,False,Egypt,Ghana,4,1,True,True,False,True,True,True
3920398,AFCON2023,2024-01-18,Group Stage,group,False,Côte d'Ivoire,Nigeria,1,1,False,False,False,False,True,True
3920399,AFCON2023,2024-01-19,Group Stage,group,False,Cape Verde Islands,Mozambique,3,1,True,False,False,False,True,True
3920400,AFCON2023,2024-01-19,Group Stage,group,False,Senegal,Cameroon,4,4,True,True,True,False,True,True
3920401,AFCON2023,2024-01-19,Group Stage,group,False,Guinea,Gambia,1,4,False,False,True,True,True,True
3920404,AFCON2023,2024-01-20,Group Stage,group,False,Tunisia,Mali,2,2,False,False,False,False,True,True
3920403,AFCON2023,2024-01-20,Group Stage,group,False,Mauritania,Angola,5,3,True,False,True,True,True,True
3920402,AFCON2023,2024-01-20,Group Stage,group,False,Algeria,Burkina Faso,4,7,True,True,True,True,True,True
3920407,AFCON2023,2024-01-21,Group Stage,group,False,South Africa,Namibia,4,1,True,False,False,False,True,True
3920405,AFCON2023,2024-01-21,Group Stage,group,False,Morocco,Congo DR,2,4,True,False,True,False,True,True
3920406,AFCON2023,2024-01-21,Group Stage,group,False,Zambia,Tanzania,2,3,True,False,False,False,True,True
3920409,AFCON2023,2024-01-22,Group Stage,group,False,Guinea-Bissau,Nigeria,1,3,False,False,False,False,True,True
3920408,AFCON2023,2024-01-22,Group Stage,group,False,Equatorial Guinea,Côte d'Ivoire,4,5,True,False,True,True,True,True
3920410,AFCON2023,2024-01-22,Group Stage,group,False,Mozambique,Ghana,4,9,True,True,True,False,True,True
3920411,AFCON2023,2024-01-22,Group Stage,group,False,Cape Verde Islands,Egypt,4,3,True,True,True,False,True,True
3920413,AFCON2023,2024-01-23,Group Stage,group,False,Gambia,Cameroon,5,4,False,True,False,False,True,True
3920412,AFCON2023,2024-01-23,Group Stage,group,False,Guinea,Senegal,2,4,False,False,True,True,True,True
3920415,AFCON2023,2024-01-23,Group Stage,group,False,Mauritania,Algeria,1,6,False,False,True,True,True,True
3920414,AFCON2023,2024-01-23,Group Stage,group,False,Angola,Burkina Faso,2,4,True,True,True,True,True,True
3920417,AFCON2023,2024-01-24,Group Stage,group,False,Namibia,Mali,0,1,False,False,False,True,False,True
3920416,AFCON2023,2024-01-24,Group Stage,group,False,South Africa,Tunisia,0,0,False,False,False,False,False,False
3920419,AFCON2023,2024-01-24,Group Stage,group,False,Zambia,Morocco,1,1,False,False,False,False,True,True
3920418,AFCON2023,2024-01-24,Group Stage,group,False,Tanzania,Congo DR,0,1,False,False,False,True,False,True
3922237,AFCON2023,2024-01-27,Round of 16,knockout_core,False,Angola,Namibia,3,4,True,False,True,True,True,True
3922238,AFCON2023,2024-01-27,Round of 16,knockout_core,False,Nigeria,Cameroon,2,4,True,False,True,False,True,True
3922240,AFCON2023,2024-01-28,Round of 16,knockout_core,False,Egypt,Congo DR,2,4,False,True,True,False,True,True
3922239,AFCON2023,2024-01-28,Round of 16,knockout_core,False,Equatorial Guinea,Guinea,1,2,False,True,True,True,True,True
3922242,AFCON2023,2024-01-29,Round of 16,knockout_core,False,Senegal,Côte d'Ivoire,2,6,True,False,True,False,True,True
3922241,AFCON2023,2024-01-29,Round of 16,knockout_core,False,Cape Verde Islands,Mauritania,1,2,False,False,True,True,True,True
3922244,AFCON2023,2024-01-30,Round of 16,knockout_core,False,Mali,Burkina Faso,3,4,True,False,True,False,True,True
3922243,AFCON2023,2024-01-30,Round of 16,knockout_core,False,Morocco,South Africa,2,5,False,True,True,True,True,True
3922356,AFCON2023,2024-02-02,Quarter-finals,knockout_core,False,Congo DR,Guinea,4,3,True,False,True,False,True,True
3922321,AFCON2023,2024-02-02,Quarter-finals,knockout_core,False,Nigeria,Angola,1,4,False,False,True,False,True,True
3922658,AFCON2023,2024-02-03,Quarter-finals,knockout_core,False,Cape Verde Islands,South Africa,0,1,False,False,False,True,False,True
3922659,AFCON2023,2024-02-03,Quarter-finals,knockout_core,False,Mali,Côte d'Ivoire,2,8,False,False,True,True,True,True
3922838,AFCON2023,2024-02-07,Semi-finals,knockout_core,True,Côte d'Ivoire,Congo DR,1,0,False,False,False,False,True,False
3922837,AFCON2023,2024-02-07,Semi-finals,knockout_core,True,Nigeria,South Africa,2,0,False,False,False,False,True,False
3923880,AFCON2023,2024-02-10,3rd Place Final,third_place,False,South Africa,Congo DR,0,1,False,False,False,True,False,True
3923881,AFCON2023,2024-02-11,Final,knockout_core,True,Nigeria,Côte d'Ivoire,3,5,True,False,True,False,True,True
3930158,Euro2024,2024-06-14,Group Stage,group,False,Germany,Scotland,6,4,True,True,True,False,True,True
3930159,Euro2024,2024-06-15,Group Stage,group,False,Hungary,Switzerland,4,4,True,True,True,True,True,True
