date,team,side,opponent,rest_days
1904-05-01,Belgium,home,France,
1904-05-01,France,away,Belgium,
1905-02-12,France,home,Switzerland,287
1905-02-12,Switzerland,away,France,
1905-05-07,Belgium,home,France,7
1905-05-07,France,away,Belgium,84
1906-04-22,France,home,Belgium,350
1906-04-22,Belgium,away,France,343
1907-04-21,Belgium,home,France,7
1907-04-21,France,away,Belgium,364
1908-03-08,Switzerland,home,France,1120
1908-03-08,France,away,Switzerland,322
1908-04-12,France,home,Belgium,35
1908-04-12,Belgium,away,France,14
1908-05-10,Netherlands,home,France,14
1908-05-10,France,away,Netherlands,28
1908-10-22,France,home,Denmark,165
1908-10-22,Denmark,away,France,
1909-05-09,Belgium,home,France,14
1909-05-09,France,away,Belgium,199
1910-04-03,France,home,Belgium,329
1910-04-03,Belgium,away,France,21
1910-05-15,Italy,home,France,
1910-05-15,France,away,Italy,42
1911-01-01,France,home,Hungary,231
1911-01-01,Hungary,away,France,56
1911-04-09,France,home,Italy,98
1911-04-09,Italy,away,France,93
1911-04-23,Switzerland,home,France,28
1911-04-23,France,away,Switzerland,14
1911-04-30,Belgium,home,France,7
1911-04-30,France,away,Belgium,7
1911-10-29,Luxembourg,home,France,
1911-10-29,France,away,Luxembourg,182
1912-01-28,France,home,Belgium,91
1912-01-28,Belgium,away,France,273
1912-02-10,France,home,Catalonia,13
1912-02-10,Catalonia,away,France,
1912-02-18,France,home,Switzerland,8
1912-02-18,Switzerland,away,France,112
1912-03-17,Italy,home,France,301
1912-03-17,France,away,Italy,28
1912-12-01,Catalonia,home,France,295
1912-12-01,France,away,Catalonia,259
1913-01-12,France,home,Italy,42
1913-01-12,Italy,away,France,21
1913-02-16,Belgium,home,France,294
1913-02-16,France,away,Belgium,35
1913-03-09,Switzerland,home,France,308
1913-03-09,France,away,Switzerland,21
1913-04-20,France,home,Luxembourg,42
1913-04-20,Luxembourg,away,France,539
1914-01-25,France,home,Belgium,280
1914-01-25,Belgium,away,France,63
1914-02-08,Luxembourg,home,France,294
1914-02-08,France,away,Luxembourg,14
1914-03-08,France,home,Switzerland,28
1914-03-08,Switzerland,away,France,126
1914-03-29,Italy,home,France,77
1914-03-29,France,away,Italy,21
1914-05-31,Hungary,home,France,28
1914-05-31,France,away,Hungary,63
1919-03-09,Belgium,home,France,1778
1919-03-09,France,away,Belgium,1743
1919-06-24,France,home,Romania,107
1919-06-24,Romania,away,France,
1919-06-26,France,home,Greece,2
1919-06-26,Greece,away,France,1
1919-06-28,France,home,Italy,2
1919-06-28,Italy,away,France,2
1919-06-29,France,home,Czechoslovakia,1
1919-06-29,Czechoslovakia,away,France,1
1920-01-18,Italy,home,France,204
1920-01-18,France,away,Italy,203
1920-02-29,Switzerland,home,France,658
1920-02-29,France,away,Switzerland,42
1920-03-28,France,home,Belgium,28
1920-03-28,Belgium,away,France,274
1920-08-28,Spain,home,Denmark,
1920-08-28,Denmark,away,Spain,76
1920-08-29,France,home,Italy,154
1920-08-29,Italy,away,France,1
1920-08-29,Belgium,home,Spain,154
1920-08-29,Spain,away,Belgium,1
1920-08-31,France,home,Czechoslovakia,2
1920-08-31,Czechoslovakia,away,France,2
1920-09-01,Spain,home,Sweden,3
1920-09-01,Sweden,away,Spain,3
1920-09-02,Spain,home,Italy,1
1920-09-02,Italy,away,Spain,2
1920-09-05,Spain,home,Netherlands,3
1920-09-05,Netherlands,away,Spain,5
1921-02-20,France,home,Italy,173
1921-02-20,Italy,away,France,171
