team,venue_city,venue_country,distance_km
France,Mexico City,Mexico,9208.3
France,Guadalajara,Mexico,9380.9
France,Monterrey,Mexico,8745.0
France,Atlanta,USA,7037.8
France,Kansas City,USA,7290.9
France,Toronto,Canada,6004.3
France,Dallas,USA,7955.6
France,Vancouver,Canada,7921.2
France,Seattle,USA,8042.6
France,Los Angeles,USA,9099.6
France,San Francisco Bay Area,USA,8966.2
France,Boston,USA,5562.0
France,New York/New Jersey,USA,5835.2
France,Philadelphia,USA,5970.1
France,Houston,USA,8094.8
France,Miami,USA,7344.5
Spain,Mexico City,Mexico,9073.4
Spain,Guadalajara,Mexico,9316.8
Spain,Monterrey,Mexico,8707.5
Spain,Atlanta,USA,6943.8
Spain,Kansas City,USA,7383.1
Spain,Toronto,Canada,6039.5
Spain,Dallas,USA,7980.5
Spain,Vancouver,Canada,8414.5
Spain,Seattle,USA,8511.1
Spain,Los Angeles,USA,9376.8
Spain,San Francisco Bay Area,USA,9322.0
Spain,Boston,USA,5497.5
Spain,New York/New Jersey,USA,5768.7
Spain,Philadelphia,USA,5895.4
Spain,Houston,USA,8057.3
Spain,Miami,USA,7082.4
