date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1904-05-01,Belgium,France,3,3,Évence Coppée Trophy,Brussels,Belgium,FALSE
1905-02-12,France,Switzerland,1,0,Friendly,Paris,France,FALSE
1905-05-07,Belgium,France,7,0,Friendly,Brussels,Belgium,FALSE
1906-04-22,France,Belgium,0,5,Friendly,Saint-Cloud,France,FALSE
1907-04-21,Belgium,France,1,2,Friendly,Brussels,Belgium,FALSE
1908-03-08,Switzerland,France,1,2,Friendly,Geneva,Switzerland,FALSE
1908-04-12,France,Belgium,1,2,Friendly,Colombes,France,FALSE
1908-05-10,Netherlands,France,4,1,Friendly,Rotterdam,Netherlands,FALSE
1908-10-22,France,Denmark,1,17,Olympic Games,London,England,TRUE
1909-05-09,Belgium,France,5,2,Friendly,Brussels,Belgium,FALSE
1910-04-03,France,Belgium,0,4,Friendly,Gentilly,France,FALSE
1910-05-15,Italy,France,6,2,Friendly,Milan,Italy,FALSE
1911-01-01,France,Hungary,0,3,Friendly,Maisons-Alfort,France,FALSE
1911-04-09,France,Italy,2,2,Friendly,Saint-Ouen-l'Aumône,France,FALSE
1911-04-23,Switzerland,France,5,2,Friendly,Geneva,Switzerland,FALSE
1911-04-30,Belgium,France,7,1,Friendly,Uccle,Belgium,FALSE
1911-10-29,Luxembourg,France,1,4,Friendly,Luxembourg,Luxembourg,FALSE
1912-01-28,France,Belgium,1,1,Friendly,Saint-Ouen-l'Aumône,France,FALSE
1912-02-10,France,Catalonia,7,0,Friendly,Paris,France,FALSE
1912-02-18,France,Switzerland,4,1,Friendly,Saint-Ouen-l'Aumône,France,FALSE
1912-03-17,Italy,France,3,4,Friendly,Turin,Italy,FALSE
1912-12-01,Catalonia,France,1,0,Friendly,Barcelona,Spain,FALSE
1913-01-12,France,Italy,1,0,Friendly,Saint-Ouen-l'Aumône,France,FALSE
1913-02-16,Belgium,France,3,0,Friendly,Brussels,Belgium,FALSE
1913-03-09,Switzerland,France,1,4,Friendly,Geneva,Switzerland,FALSE
1913-04-20,France,Luxembourg,8,0,Friendly,Saint-Ouen-l'Aumône,France,FALSE
1914-01-25,France,Belgium,4,3,Friendly,Lille,France,FALSE
1914-02-08,Luxembourg,France,5,4,Friendly,Luxembourg,Luxembourg,FALSE
1914-03-08,France,Switzerland,2,2,Friendly,Saint-Ouen-l'Aumône,France,FALSE
1914-03-29,Italy,France,2,0,Friendly,Turin,Italy,FALSE
1914-05-31,Hungary,France,5,1,Friendly,Budapest,Hungary,FALSE
1919-03-09,Belgium,France,2,2,Friendly,Brussels,Belgium,FALSE
1919-06-24,France,Romania,4,0,Inter-Allied Games,Paris,France,FALSE
1919-06-26,France,Greece,11,0,Inter-Allied Games,Paris,France,FALSE
1919-06-28,France,Italy,2,0,Inter-Allied Games,Paris,France,FALSE
1919-06-29,France,Czechoslovakia,2,3,Inter-Allied Games,Paris,France,FALSE
1920-01-18,Italy,France,9,4,Friendly,Milan,Italy,FALSE
1920-02-29,Switzerland,France,0,2,Friendly,Geneva,Switzerland,FALSE
1920-03-28,France,Belgium,2,1,Friendly,Paris,France,FALSE
1920-08-28,Spain,Denmark,1,0,Olympic Games,Brussels,Belgium,TRUE
1920-08-29,France,Italy,3,1,Olympic Games,Antwerp,Belgium,TRUE
1920-08-29,Belgium,Spain,3,1,Olympic Games,Antwerp,Belgium,FALSE
1920-08-31,France,Czechoslovakia,1,4,Olympic Games,Antwerp,Belgium,TRUE
1920-09-01,Spain,Sweden,2,1,Olympic Games,Antwerp,Belgium,TRUE
1920-09-02,Spain,Italy,2,0,Olympic Games,Antwerp,Belgium,TRUE
1920-09-05,Spain,Netherlands,3,1,Olympic Games,Antwerp,Belgium,TRUE
1921-02-20,France,Italy,1,2,Friendly,Marseille,France,FALSE
1921-03-06,Belgium,France,3,1,Friendly,Forest,Belgium,FALSE
1921-11-13,France,Netherlands,0,5,Friendly,Vincennes,France,FALSE
1921-12-18,Spain,Portugal,3,1,Friendly,Madrid,Spain,FALSE
1922-01-15,France,Belgium,2,1,Friendly,Colombes,France,FALSE
1922-04-30,France,Spain,0,4,Friendly,Le Bouscat,France,FALSE
1922-06-11,Norway,France,7,0,Friendly,Kristiania,Norway,FALSE
1922-12-17,Portugal,Spain,1,2,Friendly,Lisbon,Portugal,FALSE
1923-01-28,Spain,France,3,0,Friendly,San Sebastián,Spain,FALSE
1923-02-04,Belgium,Spain,1,0,Friendly,Antwerp,Belgium,FALSE
1923-02-25,Belgium,France,4,1,Friendly,Forest,Belgium,FALSE
1923-04-02,Netherlands,France,8,1,Friendly,Amsterdam,Netherlands,FALSE
1923-04-22,France,Switzerland,2,2,Friendly,Vincennes,France,FALSE
1923-05-10,France,England,1,4,Friendly,Vincennes,France,FALSE
1923-10-28,France,Norway,0,2,Friendly,Paris,France,FALSE
1923-12-16,Spain,Portugal,3,0,Friendly,Seville,Spain,FALSE
1924-01-13,France,Belgium,2,0,Friendly,Montrouge,France,FALSE
1924-03-09,Italy,Spain,0,0,Friendly,Milan,Italy,FALSE
1924-03-13,Catalonia,Spain,0,7,Friendly,Barcelona,Spain,FALSE
1924-03-23,Switzerland,France,3,0,Friendly,Geneva,Switzerland,FALSE
1924-05-17,France,England,1,3,Friendly,Vincennes,France,FALSE
1924-05-25,Italy,Spain,1,0,Olympic Games,Colombes,France,TRUE
1924-05-27,France,Latvia,7,0,Olympic Games,Paris,France,FALSE
1924-06-01,France,Uruguay,1,5,Olympic Games,Colombes,France,FALSE
1924-06-04,France,Hungary,0,1,Friendly,Le Havre,France,FALSE
1924-11-11,Belgium,France,3,0,Friendly,Brussels,Belgium,FALSE
1924-12-21,Spain,Austria,2,1,Friendly,Barcelona,Spain,FALSE
1925-03-22,Italy,France,7,0,Friendly,Turin,Italy,FALSE
1925-04-19,France,Austria,0,4,Friendly,Vincennes,France,FALSE
1925-05-21,France,England,2,3,Friendly,Colombes,France,FALSE
1925-06-01,Switzerland,Spain,0,3,Friendly,Bern,Switzerland,FALSE
1925-06-14,Spain,Italy,1,0,Friendly,Valencia,Spain,FALSE
1925-09-27,Austria,Spain,0,1,Friendly,Vienna,Austria,FALSE
1925-10-04,Hungary,Spain,0,1,Friendly,Budapest,Hungary,FALSE
1926-04-11,France,Belgium,4,3,Friendly,Vincennes,France,FALSE
1926-04-18,France,Portugal,4,2,Friendly,Toulouse,France,FALSE
1926-04-25,France,Switzerland,1,0,Friendly,Colombes,France,FALSE
1926-05-30,Austria,France,4,1,Friendly,Vienna,Austria,FALSE
1926-06-13,France,Yugoslavia,4,1,Friendly,Colombes,France,FALSE
1926-06-20,Belgium,France,2,2,Friendly,Brussels,Belgium,FALSE
1926-12-19,Spain,Hungary,4,2,Friendly,Vigo,Spain,FALSE
1927-03-16,Portugal,France,4,0,Friendly,Lisbon,Portugal,FALSE
1927-04-17,Spain,Switzerland,1,0,Friendly,Santander,Spain,FALSE
1927-04-24,France,Italy,3,3,Friendly,Colombes,France,FALSE
1927-05-22,France,Spain,1,4,Friendly,Colombes,France,FALSE
1927-05-26,France,England,0,6,Friendly,Colombes,France,FALSE
1927-05-29,Italy,Spain,2,0,Friendly,Bologna,Italy,FALSE
1927-06-12,Hungary,France,13,1,Friendly,Budapest,Hungary,FALSE
1928-01-08,Portugal,Spain,2,2,Friendly,Lisbon,Portugal,FALSE
1928-02-21,France,Northern Ireland,4,0,Friendly,Montrouge,France,FALSE
1928-03-11,Switzerland,France,4,3,Friendly,Lausanne,Switzerland,FALSE
1928-04-15,France,Belgium,2,3,Friendly,Colombes,France,FALSE
1928-04-22,Spain,Italy,1,1,Friendly,Gijón,Spain,FALSE
1928-04-29,France,Portugal,1,1,Friendly,Paris,France,FALSE
1928-05-13,France,Czechoslovakia,0,2,Friendly,Colombes,France,FALSE
1928-05-17,France,England,1,5,Friendly,Colombes,France,FALSE
1928-05-29,Italy,France,4,3,Olympic Games,Amsterdam,Netherlands,TRUE
1928-05-30,Spain,Mexico,7,1,Olympic Games,Amsterdam,Netherlands,TRUE
1928-06-01,Italy,Spain,1,1,Olympic Games,Amsterdam,Netherlands,TRUE
1928-06-04,Italy,Spain,7,1,Olympic Games,Amsterdam,Netherlands,TRUE
1929-02-24,France,Hungary,3,0,Friendly,Colombes,France,FALSE
1929-03-17,Spain,Portugal,5,0,Friendly,Seville,Spain,FALSE
1929-03-24,France,Portugal,2,0,Friendly,Colombes,France,FALSE
1929-04-14,Spain,France,8,1,Friendly,Zaragoza,Spain,FALSE
1929-05-09,France,England,1,4,Friendly,Colombes,France,FALSE
1929-05-15,Spain,England,4,3,Friendly,Madrid,Spain,FALSE
1929-05-19,France,Yugoslavia,1,3,Friendly,Colombes,France,FALSE
1929-05-26,Belgium,France,4,1,Friendly,Liège,Belgium,FALSE
1930-01-01,Spain,Czechoslovakia,1,0,Friendly,Barcelona,Spain,FALSE
1930-02-23,Portugal,France,2,0,Friendly,Porto,Portugal,FALSE
1930-03-23,France,Switzerland,3,3,Friendly,Colombes,France,FALSE
1930-04-13,France,Belgium,1,6,Friendly,Colombes,France,FALSE
1930-05-11,France,Czechoslovakia,2,3,Friendly,Colombes,France,FALSE
1930-05-18,France,Scotland,0,2,Friendly,Colombes,France,FALSE
1930-05-25,Belgium,France,1,2,Friendly,Liège,Belgium,FALSE
1930-06-14,Czechoslovakia,Spain,2,0,Friendly,Prague,Czechoslovakia,FALSE
1930-06-22,Italy,Spain,2,3,Friendly,Bologna,Italy,FALSE
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,TRUE
1930-07-15,Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,TRUE
1930-07-19,Chile,France,1,0,FIFA World Cup,Montevideo,Uruguay,TRUE
1930-08-01,Brazil,France,3,2,Friendly,Rio de Janeiro,Brazil,FALSE
1930-11-30,Portugal,Spain,0,1,Friendly,Porto,Portugal,FALSE
1930-12-07,France,Belgium,2,2,Friendly,Montrouge,France,FALSE
1931-01-25,Italy,France,5,0,Friendly,Bologna,Italy,FALSE
1931-02-15,France,Czechoslovakia,1,2,Friendly,Colombes,France,FALSE
1931-03-15,France,Germany,1,0,Friendly,Colombes,France,FALSE
1931-04-19,Spain,Italy,0,0,Friendly,Bilbao,Spain,FALSE
1931-04-26,Spain,Republic of Ireland,1,1,Friendly,Barcelona,Spain,FALSE
1931-05-14,France,England,5,2,Friendly,Colombes,France,FALSE
1931-11-29,France,Netherlands,3,4,Friendly,Colombes,France,FALSE
1931-12-09,England,Spain,7,1,Friendly,London,England,FALSE
1931-12-13,Republic of Ireland,Spain,0,5,Friendly,Dublin,Irish Free State,FALSE
1932-03-20,Switzerland,France,3,3,Friendly,Bern,Switzerland,FALSE
1932-04-10,France,Italy,1,2,Friendly,Colombes,France,FALSE
1932-04-24,Spain,Yugoslavia,2,1,Friendly,Oviedo,Spain,FALSE
1932-05-01,Belgium,France,5,2,Friendly,Brussels,Belgium,FALSE
1932-05-08,France,Scotland,1,3,Friendly,Colombes,France,FALSE
1932-06-05,Yugoslavia,France,2,1,Friendly,Belgrade,Yugoslavia,FALSE
1932-06-09,Bulgaria,France,3,5,Friendly,Sofia,Bulgaria,FALSE
1932-06-12,Romania,France,6,3,Friendly,Bucharest,Romania,FALSE
1933-02-12,France,Austria,0,4,Friendly,Paris,France,FALSE
1933-03-19,Germany,France,3,3,Friendly,Berlin,Germany,FALSE
1933-03-26,France,Belgium,3,0,Friendly,Colombes,France,FALSE
1933-04-02,Spain,Portugal,3,0,Friendly,Vigo,Spain,FALSE
1933-04-23,France,Spain,1,0,Friendly,Colombes,France,FALSE
1933-04-30,Yugoslavia,Spain,1,1,Friendly,Belgrade,Yugoslavia,FALSE
1933-05-21,Spain,Bulgaria,13,0,Friendly,Madrid,Spain,FALSE
1933-05-25,France,Wales,1,1,Friendly,Colombes,France,FALSE
