date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1922-04-30,France,Spain,0,4,Friendly,Le Bouscat,France,FALSE
1923-01-28,Spain,France,3,0,Friendly,San Sebastián,Spain,FALSE
1927-05-22,France,Spain,1,4,Friendly,Colombes,France,FALSE
1929-04-14,Spain,France,8,1,Friendly,Zaragoza,Spain,FALSE
1933-04-23,France,Spain,1,0,Friendly,Colombes,France,FALSE
1935-01-24,Spain,France,2,0,Friendly,Madrid,Spain,FALSE
1942-03-15,Spain,France,4,0,Friendly,Seville,Spain,FALSE
1949-06-19,France,Spain,1,5,Friendly,Colombes,France,FALSE
1955-03-17,Spain,France,1,2,Friendly,Madrid,Spain,FALSE
1958-03-13,France,Spain,2,2,Friendly,Paris,France,FALSE
1959-12-17,France,Spain,4,3,Friendly,Paris,France,FALSE
1961-04-02,Spain,France,2,0,Friendly,Madrid,Spain,FALSE
1961-12-10,France,Spain,1,1,Friendly,Colombes,France,FALSE
1963-01-09,Spain,France,0,0,Friendly,Barcelona,Spain,FALSE
1968-10-17,France,Spain,1,3,Friendly,Lyon,France,FALSE
1971-03-17,Spain,France,2,2,Friendly,Valencia,Spain,FALSE
1978-11-08,France,Spain,1,0,Friendly,Paris,France,FALSE
1981-02-18,Spain,France,1,0,Friendly,Madrid,Spain,FALSE
1983-10-05,France,Spain,1,1,Friendly,Paris,France,FALSE
1984-06-27,France,Spain,2,0,UEFA Euro,Paris,France,FALSE
1988-03-23,France,Spain,2,1,Friendly,Bordeaux,France,FALSE
1991-02-20,France,Spain,3,1,UEFA Euro qualification,Paris,France,FALSE
1991-10-12,Spain,France,1,2,UEFA Euro qualification,Seville,Spain,FALSE
1996-06-15,France,Spain,1,1,UEFA Euro,Leeds,England,TRUE
1998-01-28,France,Spain,1,0,Friendly,Saint-Denis,France,FALSE
2000-06-25,Spain,France,1,2,UEFA Euro,Bruges,Belgium,TRUE
2001-03-28,Spain,France,2,1,Friendly,Valencia,Spain,FALSE
2006-06-27,Spain,France,1,3,FIFA World Cup,Hanover,Germany,TRUE
2008-02-06,Spain,France,1,0,Friendly,Málaga,Spain,FALSE
2010-03-03,France,Spain,0,2,Friendly,Saint-Denis,France,FALSE
2012-06-23,Spain,France,2,0,UEFA Euro,Donetsk,Ukraine,TRUE
2012-10-16,Spain,France,1,1,FIFA World Cup qualification,Madrid,Spain,FALSE
2013-03-26,France,Spain,0,1,FIFA World Cup qualification,Saint-Denis,France,FALSE
2014-09-04,France,Spain,1,0,Friendly,Saint-Denis,France,FALSE
2017-03-28,France,Spain,0,2,Friendly,Saint-Denis,France,FALSE
2021-10-10,Spain,France,1,2,UEFA Nations League,Milan,Italy,TRUE
2024-07-09,Spain,France,2,1,UEFA Euro,Munich,Germany,TRUE
2025-06-05,Spain,France,5,4,UEFA Nations League,Stuttgart,Germany,TRUE
