fixture_id,date,league_name,home_team,away_team,goals_home,goals_away,bookmaker,home_win,draw,away_win,source
150298,2022-12-10 19:00:00+00,FIFA World Cup,England,France,1,2,Pinnacle,3.27,3.24,2.42,API-Football-closing
150322,2022-12-14 19:00:00+00,FIFA World Cup,France,Morocco,2,0,Pinnacle,1.55,4,7.59,API-Football-closing
152027,2022-06-13 18:45:00+00,UEFA Nations League,France,Croatia,0,1,Pinnacle,1.52,4.31,7.11,The-Odds-API
151248,2021-07-06 19:00:00+00,UEFA Euro,Italy,Spain,1,1,Pinnacle,2.56,3.18,3.18,API-Football-closing
150447,2024-06-15 16:00:00+00,UEFA Euro,Spain,Croatia,3,0,Pinnacle,1.93,3.45,4.47,API-Football-closing
150451,2024-06-17 19:00:00+00,UEFA Euro,Austria,France,0,1,Pinnacle,5.79,4.17,1.62,API-Football-closing
150457,2024-06-20 19:00:00+00,UEFA Euro,Spain,Italy,1,0,Pinnacle,2.17,3.26,3.82,API-Football-closing
150485,2024-06-21 19:00:00+00,UEFA Euro,Netherlands,France,0,0,Pinnacle,3.85,3.49,1.95,API-Football-closing
150491,2024-06-24 19:00:00+00,UEFA Euro,Albania,Spain,0,1,Pinnacle,7.43,4.56,1.48,API-Football-closing
150529,2024-07-05 16:00:00+00,UEFA Euro,Spain,Germany,2,1,Pinnacle,2.72,3.16,2.87,API-Football-closing
150533,2024-07-09 19:00:00+00,UEFA Euro,Spain,France,2,1,Pinnacle,2.77,2.85,3.17,API-Football-closing
152088,2022-09-22 18:45:00+00,UEFA Nations League,France,Austria,2,0,Pinnacle,1.38,5.09,8.95,The-Odds-API
152153,2022-09-24 18:45:00+00,UEFA Nations League,Spain,Switzerland,1,2,Pinnacle,1.47,4.48,7.72,The-Odds-API
152157,2022-09-25 18:45:00+00,UEFA Nations League,Denmark,France,2,0,Betfair,2.78,1.79,1.9,The-Odds-API
152226,2022-09-27 18:45:00+00,UEFA Nations League,Portugal,Spain,0,1,Pinnacle,2.35,3.32,3.32,The-Odds-API
152249,2023-06-15 18:45:00+00,UEFA Nations League,Spain,Italy,2,1,Pinnacle,2.31,3.24,3.5,The-Odds-API
151319,2024-09-05 18:45:00+00,UEFA Nations League,Serbia,Spain,0,0,Pinnacle,6.58,4.31,1.53,The-Odds-API
151321,2024-09-06 18:45:00+00,UEFA Nations League,France,Italy,1,3,Pinnacle,1.64,4,5.64,The-Odds-API
151361,2024-09-08 18:45:00+00,UEFA Nations League,Switzerland,Spain,1,4,William Hill,4.6,3.75,1.67,The-Odds-API
151362,2024-09-09 18:45:00+00,UEFA Nations League,France,Belgium,2,0,Pinnacle,1.83,3.78,4.47,The-Odds-API
151437,2024-10-10 18:45:00+00,UEFA Nations League,Israel,France,1,4,Pinnacle,15.02,7.12,1.2,The-Odds-API
151443,2024-10-12 18:45:00+00,UEFA Nations League,Spain,Denmark,1,0,Pinnacle,1.42,4.79,7.99,The-Odds-API
151478,2024-10-14 18:45:00+00,UEFA Nations League,Belgium,France,1,2,Pinnacle,3.11,3.33,2.43,The-Odds-API
151483,2024-10-15 18:45:00+00,UEFA Nations League,Spain,Serbia,3,0,Pinnacle,1.36,4.91,8.52,The-Odds-API
151517,2024-11-14 19:45:00+00,UEFA Nations League,France,Israel,0,0,Pinnacle,1.11,11.03,21.87,The-Odds-API
151520,2024-11-15 19:45:00+00,UEFA Nations League,Denmark,Spain,1,2,Pinnacle,4.87,3.23,1.93,The-Odds-API
151562,2024-11-17 19:45:00+00,UEFA Nations League,Italy,France,1,3,1xBet,3.04,3.52,2.49,The-Odds-API
151564,2024-11-18 19:45:00+00,UEFA Nations League,Spain,Switzerland,3,2,Pinnacle,1.43,4.85,7.39,The-Odds-API
151596,2025-03-20 19:45:00+00,UEFA Nations League,Croatia,France,2,0,Pinnacle,4.12,3.33,2.04,The-Odds-API
151600,2025-03-20 19:45:00+00,UEFA Nations League,Netherlands,Spain,2,2,Pinnacle,3.16,3.51,2.31,The-Odds-API
151621,2025-06-05 19:00:00+00,UEFA Nations League,Spain,France,5,4,Pinnacle,2.35,3.36,3.22,The-Odds-API
