"family","match_id","match_date","team_name","opponent_name","actual","n_prior","lambda_baseline","lambda_global","lambda_hier","nll_baseline","nll_global","nll_hier","threshold","brier_baseline","brier_hier"
"corners",760416,"2026-06-12","Canada","Bosnia and Herzegovina",9,3,4.29086538461539,4.46538461538462,3.75175181174612,3.98429695912457,3.80001393932481,4.6535733655205,4,0.143488372408161,0.233680729885856
"corners",760416,"2026-06-12","Bosnia and Herzegovina","Canada",4,0,4.46538461538462,4.46538461538462,2.1234296419705,1.65801704300311,1.65801704300311,2.28935332362524,4,0.121222236775024,0.695876868428399
"corners",760417,"2026-06-12","United States","Paraguay",3,4,4.92521367521368,4.46538461538462,2.91670153479996,1.93387016590242,1.76807803256558,1.49710090477248,5,0.298430053684304,0.0292203725447586
"corners",760417,"2026-06-12","Paraguay","United States",1,0,4.46538461538462,4.46538461538462,3.07723643320513,2.96902926470225,2.96902926470225,1.95320450094649,4,0.424882558815987,0.136949318654932
"corners",760418,"2026-06-13","Haiti","Scotland",4,0,4.46212121212121,4.46212121212121,2.87278330970532,1.65767799820829,1.65767799820829,1.82971172346432,4,0.121610570586362,0.456580738704941
"corners",760418,"2026-06-13","Scotland","Haiti",3,0,4.46212121212121,4.46212121212121,3.87481278609583,1.76700789815362,1.76700789815362,1.6030802102061,4,0.424156427043255,0.293436898230836
"corners",760419,"2026-06-13","Brazil","Morocco",6,10,6.62070707070707,4.46212121212121,4.46083971403975,1.8587452476618,2.06762685774002,2.06806877604584,7,0.242449146780891,0.0268845807861823
"corners",760419,"2026-06-13","Morocco","Brazil",2,10,3.1540404040404,4.46212121212121,2.44639618725677,1.54981898685816,2.16401987055073,1.35031137245739,3,0.372614915228438,0.195686656345516
"corners",760420,"2026-06-13","Qatar","Switzerland",3,3,3.91382575757576,4.46212121212121,2.08607946836603,1.61203917606724,1.76700789815362,1.67197958187701,4,0.301967446173618,0.025196451440166
"corners",760420,"2026-06-13","Switzerland","Qatar",10,8,5.254662004662,4.46212121212121,6.13818110389077,3.76791774321753,4.61029117454457,3.0973090657581,5,0.157608788595223,0.0712817063625976
"corners",760421,"2026-06-14","Australia","Turkey",5,7,3.69444444444444,4.46666666666667,3.22054351862654,1.94778523839827,1.77094631800493,2.16028456182546,4,0.245335372852756,0.357543529685845
"corners",760421,"2026-06-14","Turkey","Australia",8,0,4.46666666666667,4.46666666666667,4.04025373853388,3.09813022310187,3.09813022310187,3.47439666873032,4,0.121069960522331,0.181174268028184
"corners",760422,"2026-06-14","Germany","Curaçao",8,6,6.03030303030303,4.46666666666667,7.29622488770844,2.26052782698418,3.09813022310187,2.0019711846781,6,0.19432636934157,0.069951804802674
"corners",760422,"2026-06-14","Curaçao","Germany",1,0,4.46666666666667,4.46666666666667,2.41074345398624,2.97002424837791,2.97002424837791,1.53080826692483,4,0.425167781987644,0.0499637022726043
"corners",760423,"2026-06-14","Ivory Coast","Ecuador",3,0,4.46666666666667,4.46666666666667,2.93250867539834,1.76849888102845,1.76849888102845,1.49669336491523,4,0.425167781987644,0.114008266736003
"corners",760423,"2026-06-14","Ecuador","Ivory Coast",6,3,4.16666666666667,4.46666666666667,4.45573872300484,2.18321974483589,2.06606336894423,2.06983273881904,4,0.161286445362308,0.122373065395145
"corners",760424,"2026-06-14","Sweden","Tunisia",4,5,3.83333333333333,4.46666666666667,3.57224857756562,1.6364481768769,1.65815082385959,1.65752140320628,4,0.21779896821647,0.271572219631355
"corners",760424,"2026-06-14","Tunisia","Sweden",2,6,4.84848484848485,4.46666666666667,4.35756256634977,2.3842995215101,2.1665290106491,2.10688403366539,5,0.283588978395322,0.194184936107659
"corners",760425,"2026-06-14","Netherlands","Japan",5,5,4.13333333333333,4.46666666666667,3.20204711745121,1.82540415640097,1.77094631800493,2.17058721286884,4,0.166353412694094,0.362481099334582
"corners",760425,"2026-06-14","Japan","Netherlands",4,8,4.48717948717949,4.46666666666667,4.030415883567,1.66033600635196,1.65815082385959,1.63299144371877,4,0.118655189164668,0.182799491145438
"corners",760426,"2026-06-15","Belgium","Egypt",2,10,4.95714285714286,4.47142857142857,4.85026200731272,2.4486309619078,2.16915985500693,2.3853437366395,5,0.304654030710665,0.283930727069042
"corners",760426,"2026-06-15","Egypt","Belgium",7,3,3.41964285714286,4.47142857142857,2.82873300828518,3.33805139300941,2.51263429305843,4.07509199126644,3,0.112873256700918,0.214029028945681
"corners",760427,"2026-06-15","Iran","New Zealand",4,6,3.12337662337662,4.47142857142857,3.72318062044937,1.74577178295604,1.65865060781334,1.64292121690447,3,0.156914250374011,0.0792597407038887
"corners",760427,"2026-06-15","New Zealand","Iran",1,0,4.47142857142857,4.47142857142857,3.28733327209495,2.97372062293778,2.97372062293778,2.09725659158972,4,0.426226967572548,0.173773912602954
"corners",760428,"2026-06-15","Spain","Cape Verde",11,8,5.18131868131868,4.47142857142857,7.83459656863691,4.58797097606928,5.49894898390372,2.69286119533257,5,0.167505518875803,0.0119906501744794
"corners",760428,"2026-06-15","Cape Verde","Spain",1,0,4.47142857142857,4.47142857142857,2.05914023870397,2.97372062293778,2.97372062293778,1.33685170287379,4,0.426226967572548,0.0236245722132628
"corners",760429,"2026-06-15","Saudi Arabia","Uruguay",4,6,3.66883116883117,4.47142857142857,2.68395044983322,1.64739248424787,1.65865060781334,1.91284524968108,4,0.250678252029409,0.514989037935172
"corners",760429,"2026-06-15","Uruguay","Saudi Arabia",14,8,3.71978021978022,4.47142857142857,4.44275061463555,10.5196972008222,8.69473847529613,8.75614010336553,4,0.240131839327215,0.123937022658067
"corners",760430,"2026-06-16","Iraq","Norway",2,0,4.5,4.5,3.18435502166791,2.1849923870074,2.1849923870074,1.56100267513506,4,0.432574609711534,0.155232683947848
"corners",760430,"2026-06-16","Norway","Iraq",5,0,4.5,4.5,5.8575170621298,1.76710475890068,1.76710475890068,1.8063797835893,4,0.117166521380716,0.0270202519386005
"corners",760432,"2026-06-16","France","Senegal",6,14,4.28947368421053,4.5,5.18494947487552,2.13174064973837,2.05478683135246,1.88964010395654,4,0.143678569163756,0.0576083585166204
"corners",760432,"2026-06-16","Senegal","France",4,7,4.375,4.5,3.43593241331232,1.64942775110963,1.66174424324285,1.67683290860693,4,0.132366969086677,0.303070760118062
"corners",760433,"2026-06-16","Argentina","Algeria",2,11,5.28125,4.5,6.56787836601228,2.64607155631325,2.1849923870074,3.49664384097904,5,0.368931944786555,0.614373368764801
"corners",760433,"2026-06-16","Algeria","Argentina",2,0,4.5,4.5,2.92184582952878,2.1849923870074,2.1849923870074,1.47056191015213,4,0.432574609711534,0.112402169682686
"corners",760431,"2026-06-17","Austria","Jordan",4,0,4.47959183673469,4.47959183673469,4.77500855314709,1.65951792946424,1.65951792946424,1.69947932283071,4,0.119543671399,0.088827039480805
"corners",760431,"2026-06-17","Jordan","Austria",3,0,4.47959183673469,4.47959183673469,3.63437024832737,1.77275550274895,1.77275550274895,1.55482216965823,4,0.428041910305074,0.242128264343068
"corners",760434,"2026-06-17","Ghana","Panama",2,3,4.42474489795918,4.47959183673469,3.37357117165386,2.14346682528045,2.17367514848544,1.6347745959402,4,0.415829453758983,0.189970743088984
"corners",760434,"2026-06-17","Panama","Ghana",2,3,3.42474489795918,4.47959183673469,4.98254930671184,1.65583810533401,2.17367514848544,2.4638131492035,3,0.442236999902391,0.763649636732479
"corners",760435,"2026-06-17","Portugal","DR Congo",5,9,5.17128279883382,4.47959183673469,6.2349899046945,1.7431706350743,1.76942390749374,1.87159684749712,5,0.168896517433879,0.0649396367964935
"corners",760435,"2026-06-17","DR Congo","Portugal",4,0,4.47959183673469,4.47959183673469,2.90367943876627,1.65951792946424,1.65951792946424,1.81781845003507,4,0.119543671399,0.447294004364332
"corners",760436,"2026-06-17","Uzbekistan","Colombia",3,0,4.47959183673469,4.47959183673469,3.08228056453789,1.77275550274895,1.77275550274895,1.49703073569225,4,0.428041910305074,0.137786143778174
"corners",760436,"2026-06-17","Colombia","Uzbekistan",4,4,3.93310657596372,4.47959183673469,5.0580765240504,1.63344204245983,1.65951792946424,1.75218524462471,4,0.199493451523073,0.0660325471557684
"corners",760437,"2026-06-17","England","Croatia",8,12,5.08223289315726,4.47959183673469,5.16270330807411,2.6808301085786,3.08793926424315,2.6356234970515,5,0.181633357540931,0.17009274103697
"corners",760437,"2026-06-17","Croatia","England",2,14,4.86305048335123,4.47959183673469,3.86071532718138,2.39286583895018,2.17367514848544,1.85215753928106,5,0.286392864267671,0.118317997625028
"corners",760438,"2026-06-18","Czech Republic","South Africa",5,1,4.54495614035088,4.45394736842105,4.85990574320219,1.7623574956576,1.77248535087311,1.7423022693768,5,0.274148998671421,0.216606053107084
"corners",760438,"2026-06-18","South Africa","Czech Republic",5,1,3.87828947368421,4.45394736842105,3.32516155956876,1.88881022081051,1.77248535087311,2.1050619909939,4,0.209399902435596,0.33037920664231
"corners",760439,"2026-06-18","Switzerland","Bosnia and Herzegovina",7,9,5.5906954887218,4.45394736842105,6.51053896042161,2.06813097768228,2.52257346502448,1.92174462459671,6,0.263621454362779,0.135063976183643
"corners",760439,"2026-06-18","Bosnia and Herzegovina","Switzerland",3,1,4.37828947368421,4.45394736842105,3.04636536158743,1.7400745919456,1.76433458145111,1.49627724499639,4,0.405456814098143,0.131881306828444
"corners",760440,"2026-06-18","Canada","Qatar",19,4,4.8077485380117,4.45394736842105,6.23400220429252,14.3132837179529,15.4118072663666,10.8035342276875,5,0.225481771349172,0.0650017810476497
"corners",760440,"2026-06-18","Qatar","Canada",1,4,3.8077485380117,4.45394736842105,2.7996393825053,2.470710458449,2.96015661635505,1.77014876558093,4,0.278888680902323,0.0948531198487134
"corners",760441,"2026-06-18","Mexico","South Korea",1,8,4.63613360323887,4.45394736842105,4.65673509040778,3.10225285953147,2.96015661635505,3.1184205121982,5,0.243567746576309,0.247372007684396
"corners",760441,"2026-06-18","South Korea","Mexico",2,8,5.02074898785425,4.45394736842105,4.35102808739619,2.48673792173002,2.159513044849,2.10335094974334,5,0.3171265468438,0.193077950053505
"corners",760442,"2026-06-19","United States","Australia",7,5,4.73878205128205,4.4775641025641,4.11251937338896,2.37348235196612,2.50917126349716,2.7394299459104,5,0.237615303983755,0.368286116462415
"corners",760442,"2026-06-19","Australia","United States",4,8,3.79906311637081,4.4775641025641,4.44332740260864,1.63809899467542,1.65930124712213,1.65576718985709,4,0.224369462141072,0.123867217524887
"corners",760443,"2026-06-19","Turkey","Paraguay",12,1,5.06463675213675,4.4775641025641,4.83012897591376,5.58446223323358,6.47582854085624,5.91886542682731,5,0.184234857120333,0.221641624374666
"corners",760443,"2026-06-19","Paraguay","Turkey",0,1,3.89797008547009,4.4775641025641,3.46785854527143,3.89797008547009,4.4775641025641,3.46785854527143,4,0.298494951413774,0.208315583867601
"corners",760444,"2026-06-19","Brazil","Haiti",4,11,6.58673878205128,4.4775641025641,7.61015978621266,2.22455920326454,1.65930124712213,2.67027694245115,7,0.237255092114779,0.405435647098909
"corners",760444,"2026-06-19","Haiti","Brazil",4,1,4.39797008547009,4.4775641025641,2.60475082408552,1.65145155477448,1.65930124712213,1.95345658368116,4,0.129457272160454,0.540177404875193
"corners",760445,"2026-06-19","Scotland","Morocco",2,1,4.23130341880342,4.4775641025641,3.33330975037069,2.03943043450988,2.17255294022909,1.6185254721064,4,0.372547797887516,0.182336527987568
"corners",760445,"2026-06-19","Morocco","Scotland",5,11,3.08673878205128,4.4775641025641,3.94424707191025,2.23865490867038,1.76965998810875,1.87044841576258,3,0.1632486740427,0.0607065021655714
"corners",760446,"2026-06-20","Ecuador","Curaçao",9,4,4.38020833333333,4.484375,6.4548390748993,3.8881692219083,3.78081028848193,2.47319571181,4,0.131702520482425,0.0132239230177569
"corners",760446,"2026-06-20","Curaçao","Ecuador",0,1,3.90364583333333,4.484375,2.38975874850648,3.90364583333333,4.484375,2.38975874850648,4,0.299737134792482,0.04802202393211
"corners",760447,"2026-06-20","Netherlands","Sweden",2,6,4.22017045454545,4.484375,4.44285871970585,2.03356659649627,2.17632391576005,2.15340985017074,4,0.370054093745173,0.419867300318455
"corners",760447,"2026-06-20","Sweden","Netherlands",5,6,3.85653409090909,4.484375,3.01914775799903,1.89518145264117,1.7688710807823,2.28176653966616,4,0.213433331826809,0.413374515107276
"corners",760448,"2026-06-20","Germany","Ivory Coast",8,7,6.20182291666667,4.484375,6.18525757583426,2.20767967818641,3.08418484354566,2.21251127680886,6,0.171255809866471,0.173389307262814
"corners",760448,"2026-06-20","Ivory Coast","Germany",3,1,4.23697916666667,4.484375,3.37840713342205,1.69718697200079,1.77433707202821,1.51795359430576,4,0.373819234461132,0.190896000076278
"corners",760449,"2026-06-21","Tunisia","Japan",3,7,4.61860940695297,4.48466257668712,3.2469618152685,1.82008787932166,1.77443226908612,1.5055620853525,5,0.240346541996982,0.0518924462144291
"corners",760449,"2026-06-21","Japan","Tunisia",5,9,4.45880806310254,4.48466257668712,6.78720173993175,1.77189240644071,1.76883802475408,1.9994997739985,4,0.122005885318453,0.00875260679305843
"corners",760450,"2026-06-21","Uruguay","Cape Verde",11,9,4.45880806310254,4.48466257668712,5.4021560748503,5.5174196301999,5.47967457418782,4.3496843036983,4,0.122005885318453,0.0453841560110317
"corners",760450,"2026-06-21","Cape Verde","Uruguay",4,1,3.9038854805726,4.48466257668712,2.77124446861669,1.63404997391704,1.660063371263,1.87211235513332,4,0.204728684818652,0.487662228361343
"corners",760451,"2026-06-21","Belgium","Iran",4,11,4.77645705521472,4.48466257668712,4.40581494938125,1.69971460620447,1.660063371263,1.65216778848266,5,0.269825603280773,0.202437752556688
"corners",760451,"2026-06-21","Iran","Belgium",2,7,3.2019427402863,4.48466257668712,2.93430446103457,1.56757445698494,2.17648323936103,1.47451075301953,3,0.385022193333334,0.315766953950571
"corners",760452,"2026-06-21","New Zealand","Egypt",4,1,3.9038854805726,4.48466257668712,3.40348486686141,1.63404997391704,1.660063371263,1.68233922700939,4,0.204728684818652,0.310912585620802
"corners",760452,"2026-06-21","Egypt","New Zealand",4,4,3.82481254260395,4.48466257668712,4.15945866382735,1.63682854251994,1.660063371263,1.63597274650323,4,0.219419014310723,0.162371533103213
"corners",760453,"2026-06-21","Spain","Saudi Arabia",6,9,5.60166520595968,4.48466257668712,8.02579630723251,1.84253294749378,2.05993423503912,2.10908216478949,6,0.261712418387656,0.0356773312816621
"corners",760453,"2026-06-21","Saudi Arabia","Spain",1,7,3.7019427402863,4.48466257668712,2.11954443300461,2.39308499349224,2.9839993177441,1.36834325750504,4,0.256291259925539,0.0272469916858564
"corners",760454,"2026-06-22","Norway","Senegal",5,1,4.56845238095238,4.48214285714286,4.6610649095333,1.76007162344396,1.76912835794173,1.75233693536733,5,0.269529240180373,0.251832797100341
"corners",760454,"2026-06-22","Senegal","Norway",4,8,4.33928571428571,4.48214285714286,3.81521887863136,1.64650053421206,1.65979169390426,1.63728056394951,4,0.136998036953906,0.221253814953691
"corners",760455,"2026-06-22","Jordan","Algeria",1,1,4.23511904761905,4.48214285714286,3.47948999988781,2.7917076094924,2.98204160874622,2.23260426859756,4,0.373402538366281,0.21062147962378
"corners",760455,"2026-06-22","Algeria","Jordan",10,1,4.06845238095238,4.48214285714286,4.66331909616688,5.14023818642044,4.58554294625203,4.37045719921718,4,0.176578539205958,0.0995369807351623
