event_id,date,team_a,team_b,n_goals,goal_minutes,break1_min,break2_min,goal_between_breaks,team_a_first_sub_min,team_b_first_sub_min,first_sub_team,var_mentions,any_var_mention
760497,2026-07-02,Spain,Austria,3,36;66;89,24,68,True,71,45,Austria,1,True
760511,2026-07-10,Spain,Belgium,3,30;41;88,23,67,True,55,60,Spain,0,False
760428,2026-06-15,Spain,Cape Verde,0,,23,68,False,71,61,Cape Verde,2,True
760506,2026-07-06,Portugal,Spain,1,90,23,68,False,56,75,Portugal,0,False
760453,2026-06-21,Spain,Saudi Arabia,4,10;21;24;49,25,68,True,45,45,Spain,2,True
760479,2026-06-27,Uruguay,Spain,1,42,23,68,True,45,60,Uruguay,0,False
760457,2026-06-22,France,Iraq,3,14;54;66,23,,,68,26,Iraq,1,True
760510,2026-07-09,France,Morocco,2,60;66,29,67,True,71,62,Morocco,0,False
760475,2026-06-26,Norway,France,5,7;20;21;32;90,24,68,True,45,65,Norway,0,False
760503,2026-07-04,Paraguay,France,1,70,23,73,True,58,61,Paraguay,1,True
760432,2026-06-16,France,Senegal,4,66;82;90;90,26,68,True,80,75,Senegal,1,True
760492,2026-06-30,France,Sweden,3,45;53;74,23,68,True,75,66,Sweden,0,False
760414,2026-06-12,South Korea,Czechia,3,59;67;80,23,70,True,62,64,South Korea,0,False
760415,2026-06-11,Mexico,South Africa,2,9;67,25,68,True,66,56,South Africa,1,True
760416,2026-06-12,Canada,Bosnia-Herzegovina,2,21;78,23,69,False,61,62,Canada,0,False
760417,2026-06-13,United States,Paraguay,5,7;31;45;73;90,24,68,True,45,45,Paraguay,2,True
760418,2026-06-14,Haiti,Scotland,1,28,23,67,True,61,75,Haiti,0,False
760419,2026-06-13,Brazil,Morocco,2,21;32,23,68,True,45,65,Brazil,1,True
760420,2026-06-13,Qatar,Switzerland,2,17;90,24,68,False,60,65,Qatar,0,False
760421,2026-06-14,Australia,Türkiye,2,27;75,23,68,True,61,45,Türkiye,1,True
760422,2026-06-14,Germany,Curaçao,7,6;21;38;45;47;78;88,23,69,True,64,45,Curaçao,0,False
760423,2026-06-14,Ivory Coast,Ecuador,1,90,24,69,False,56,56,Ecuador,0,False
760424,2026-06-15,Sweden,Tunisia,6,7;30;43;59;84;90,22,69,True,65,72,Sweden,2,True
760425,2026-06-14,Netherlands,Japan,4,51;57;64;89,23,67,True,70,66,Japan,0,False
760426,2026-06-15,Belgium,Egypt,2,20;66,22,67,True,56,71,Belgium,1,True
760427,2026-06-16,Iran,New Zealand,4,7;32;54;64,25,68,True,45,68,Iran,0,False
760429,2026-06-15,Saudi Arabia,Uruguay,2,41;80,23,69,True,63,45,Uruguay,0,False
760430,2026-06-16,Iraq,Norway,5,29;39;43;76;90,24,69,True,59,73,Iraq,0,False
760431,2026-06-17,Austria,Jordan,4,21;50;76;90,23,72,True,45,72,Austria,3,True
760433,2026-06-17,Argentina,Algeria,3,17;60;76,25,69,True,45,64,Argentina,2,True
760434,2026-06-17,Ghana,Panama,1,90,24,68,False,45,63,Ghana,0,False
760435,2026-06-17,Portugal,Congo DR,2,6;45,23,69,True,45,57,Portugal,0,False
760436,2026-06-18,Uzbekistan,Colombia,4,40;60;65;90,23,69,True,45,72,Uzbekistan,0,False
760437,2026-06-17,England,Croatia,6,12;36;42;45;47;85,23,69,True,72,58,Croatia,2,True
760438,2026-06-18,Czechia,South Africa,2,6;83,23,69,False,55,45,South Africa,0,False
760439,2026-06-18,Switzerland,Bosnia-Herzegovina,5,74;84;90;90;90,23,69,False,71,63,Bosnia-Herzegovina,1,True
760440,2026-06-18,Canada,Qatar,5,16;29;45;75;90,25,68,True,45,40,Qatar,3,True
760441,2026-06-19,Mexico,South Korea,1,50,23,68,True,71,57,South Korea,0,False
760442,2026-06-19,United States,Australia,2,11;43,24,68,True,74,45,Australia,3,True
760443,2026-06-20,Türkiye,Paraguay,1,2,26,66,False,45,45,Paraguay,1,True
760444,2026-06-20,Brazil,Haiti,3,23;36;45,26,69,True,40,45,Brazil,0,False
