"family","match_id","match_date","team_name","opponent_name","actual","n_prior","lambda_baseline","lambda_global","lambda_hier","nll_baseline","nll_global","nll_hier","threshold","brier_baseline","brier_hier"
"sot",760416,"2026-06-12","Canada","Bosnia and Herzegovina",4,3,3.04807692307692,3.87692307692308,4.59983878317209,1.76808725448124,1.63480963680788,1.67380759054251,3,0.170160864235871,0.0264569249811893
"sot",760416,"2026-06-12","Bosnia and Herzegovina","Canada",3,0,3.87692307692308,3.87692307692308,2.57952289837001,1.60355709330377,1.60355709330377,1.52846899143585,4,0.293897141509314,0.0673663369555624
"sot",760417,"2026-06-12","United States","Paraguay",6,4,3.5982905982906,3.87692307692308,3.23263255428698,2.49478841699295,2.32592338323846,2.77210274091848,4,0.265822073873301,0.354338008883855
"sot",760417,"2026-06-12","Paraguay","United States",1,0,3.87692307692308,3.87692307692308,4.1469733413237,2.52188125930729,2.52188125930729,2.72459458850459,4,0.293897141509314,0.353672811093971
"sot",760418,"2026-06-13","Haiti","Scotland",2,0,3.87121212121212,3.87121212121212,2.96490085762149,1.8572239665374,1.8572239665374,1.484360849529,4,0.2926519395679,0.118959443333332
"sot",760418,"2026-06-13","Scotland","Haiti",2,0,3.87121212121212,3.87121212121212,4.1940001533012,1.8572239665374,1.8572239665374,2.01983739579669,4,0.2926519395679,0.364193801056731
"sot",760419,"2026-06-13","Brazil","Morocco",5,10,6.75707070707071,3.87121212121212,5.34789357776017,1.99161510592756,1.8908655259075,1.75187152256617,7,0.263684168810836,0.0842440614615072
"sot",760419,"2026-06-13","Morocco","Brazil",3,10,3.02373737373737,3.87121212121212,3.13976888904468,1.49601602125512,1.60226858758818,1.49908077328379,3,0.174634568968391,0.154147037556536
"sot",760420,"2026-06-13","Qatar","Switzerland",3,3,3.16950757575758,3.87121212121212,2.0342380667723,1.50053833415027,1.60226858758818,1.69563353273587,3,0.149230713855911,0.445436210609014
"sot",760420,"2026-06-13","Switzerland","Qatar",7,8,3.48892773892774,3.87121212121212,5.42928701763581,3.26692794385104,2.9213998089562,2.11179363154805,3,0.10426439234948,0.00862055766397825
"sot",760421,"2026-06-14","Australia","Turkey",4,7,3.02777777777778,3.86666666666667,3.09762052102195,1.77451583303359,1.63514925923777,1.75313737980364,3,0.173885327604792,0.161345561215629
"sot",760421,"2026-06-14","Turkey","Australia",8,0,3.86666666666667,3.86666666666667,3.96317138167775,3.65212709385824,3.65212709385824,3.55141781471903,4,0.211547525058798,0.194214838939998
"sot",760422,"2026-06-14","Germany","Curaçao",12,6,5.75757575757576,3.86666666666667,7.0916088310365,4.73859212490957,7.62516744899804,3.57187656282765,6,0.235574587240307,0.0836144992610731
"sot",760422,"2026-06-14","Curaçao","Germany",2,0,3.86666666666667,3.86666666666667,2.0946216025955,1.85502822833819,1.85502822833819,1.30902294760681,4,0.291661608091269,0.0257094755804375
"sot",760423,"2026-06-14","Ivory Coast","Ecuador",4,0,3.86666666666667,3.86666666666667,2.71910961507051,1.63514925923778,1.63514925923777,1.89594552814845,4,0.211547525058798,0.503922164108826
"sot",760423,"2026-06-14","Ecuador","Ivory Coast",1,3,3.79166666666667,3.86666666666667,4.6999957408177,2.45886099049776,2.51427385722246,3.1524341383111,4,0.275424237792673,0.476535842318864
"sot",760424,"2026-06-14","Sweden","Tunisia",7,5,4.03333333333333,3.86666666666667,3.83683877708285,2.79634254685665,2.92507836162262,2.94945859120246,4,0.182316340559723,0.217135092279316
"sot",760424,"2026-06-14","Tunisia","Sweden",2,6,3.57575757575758,3.86666666666667,3.36638270155445,1.72055063031915,1.85502822833819,1.63185231101672,4,0.230038046936416,0.188598628428891
"sot",760425,"2026-06-14","Netherlands","Japan",6,5,3.53333333333333,3.86666666666667,3.30997993969162,2.53913427064396,2.33156102201151,2.70757837857484,4,0.280324970157332,0.334239525063125
"sot",760425,"2026-06-14","Japan","Netherlands",3,8,3.7948717948718,3.86666666666667,3.79453689549878,1.58567938119644,1.60124770756209,1.58560924503772,4,0.27611390872964,0.276041827273574
"sot",760426,"2026-06-15","Belgium","Egypt",3,10,4.36785714285714,3.90357142857143,4.87292801505271,1.73679901453143,1.60965524277762,1.91360250963426,4,0.403124617914417,0.513632292905844
"sot",760426,"2026-06-15","Egypt","Belgium",3,3,3.18973214285714,3.90357142857143,3.0786990977692,1.50168077554055,1.60965524277762,1.49693715627435,3,0.145962807590943,0.164666633329361
"sot",760427,"2026-06-15","Iran","New Zealand",4,6,2.95616883116883,3.90357142857143,4.23344046684014,1.79864619674042,1.63405771889022,1.63943425077285,3,0.187559561031021,0.0423757544459726
"sot",760427,"2026-06-15","New Zealand","Iran",8,0,3.90357142857143,3.90357142857143,3.14413320823624,3.61303925125837,3.61303925125837,4.58443016937109,4,0.204785513930352,0.378195955791501
"sot",760428,"2026-06-15","Spain","Cape Verde",7,8,4.2706043956044,3.90357142857143,8.09066560894242,2.63347822363534,2.89548959458582,1.98084994757859,4,0.14627769036441,0.00158858285419533
"sot",760428,"2026-06-15","Cape Verde","Spain",1,0,3.90357142857143,3.90357142857143,1.91903494037226,2.54167954356414,2.54167954356414,1.26721251591878,4,0.299720844571633,0.0165303096404179
"sot",760429,"2026-06-15","Saudi Arabia","Uruguay",3,6,3.41071428571429,3.90357142857143,2.75179732842984,1.5217085430079,1.60965524277762,1.50679398115836,3,0.114026221244187,0.231382499300482
"sot",760429,"2026-06-15","Uruguay","Saudi Arabia",10,8,3.80906593406593,3.90357142857143,5.31475130557487,5.53963853295053,5.38906515157406,3.71430168214805,4,0.222436587422345,0.0499917621282271
"sot",760430,"2026-06-16","Iraq","Norway",1,0,3.93055555555556,3.93055555555556,2.98540627050897,2.56177477692837,2.56177477692837,1.89167042890261,4,0.305639113494863,0.122149232581243
