question,event_id,date,team_a,team_b,n_prior,predicted_rate,actual,brier_wf,brier_naive
Q5 goal-in-each-half,760418,2026-06-14,Haiti,Scotland,6,0.6666666666666666,0,0.4444444444444444,0.25
Q5 goal-in-each-half,760421,2026-06-14,Australia,Türkiye,6,0.6666666666666666,1,0.11111111111111113,0.25
Q5 goal-in-each-half,760422,2026-06-14,Germany,Curaçao,6,0.6666666666666666,1,0.11111111111111113,0.25
Q5 goal-in-each-half,760423,2026-06-14,Ivory Coast,Ecuador,6,0.6666666666666666,0,0.4444444444444444,0.25
Q5 goal-in-each-half,760425,2026-06-14,Netherlands,Japan,6,0.6666666666666666,0,0.4444444444444444,0.25
Q5 goal-in-each-half,760428,2026-06-15,Spain,Cape Verde,11,0.5454545454545454,0,0.29752066115702475,0.25
Q5 goal-in-each-half,760424,2026-06-15,Sweden,Tunisia,11,0.5454545454545454,1,0.20661157024793392,0.25
Q5 goal-in-each-half,760426,2026-06-15,Belgium,Egypt,11,0.5454545454545454,1,0.20661157024793392,0.25
Q5 goal-in-each-half,760429,2026-06-15,Saudi Arabia,Uruguay,11,0.5454545454545454,1,0.20661157024793392,0.25
Q5 goal-in-each-half,760432,2026-06-16,France,Senegal,15,0.6,0,0.36,0.25
Q5 goal-in-each-half,760427,2026-06-16,Iran,New Zealand,15,0.6,1,0.16000000000000003,0.25
Q5 goal-in-each-half,760430,2026-06-16,Iraq,Norway,15,0.6,1,0.16000000000000003,0.25
Q5 goal-in-each-half,760431,2026-06-17,Austria,Jordan,18,0.6111111111111112,1,0.15123456790123452,0.25
Q5 goal-in-each-half,760433,2026-06-17,Argentina,Algeria,18,0.6111111111111112,1,0.15123456790123452,0.25
Q5 goal-in-each-half,760434,2026-06-17,Ghana,Panama,18,0.6111111111111112,0,0.37345679012345684,0.25
Q5 goal-in-each-half,760435,2026-06-17,Portugal,Congo DR,18,0.6111111111111112,0,0.37345679012345684,0.25
Q5 goal-in-each-half,760437,2026-06-17,England,Croatia,18,0.6111111111111112,1,0.15123456790123452,0.25
Q5 goal-in-each-half,760436,2026-06-18,Uzbekistan,Colombia,23,0.6086956521739131,1,0.1531190926275992,0.25
Q5 goal-in-each-half,760438,2026-06-18,Czechia,South Africa,23,0.6086956521739131,1,0.1531190926275992,0.25
Q5 goal-in-each-half,760439,2026-06-18,Switzerland,Bosnia-Herzegovina,23,0.6086956521739131,0,0.37051039697542537,0.25
Q5 goal-in-each-half,760440,2026-06-18,Canada,Qatar,23,0.6086956521739131,1,0.1531190926275992,0.25
Q5 goal-in-each-half,760441,2026-06-19,Mexico,South Korea,27,0.6296296296296297,0,0.3964334705075446,0.25
Q5 goal-in-each-half,760442,2026-06-19,United States,Australia,27,0.6296296296296297,0,0.3964334705075446,0.25
Q5 goal-in-each-half,760445,2026-06-19,Scotland,Morocco,27,0.6296296296296297,0,0.3964334705075446,0.25
Q5 goal-in-each-half,760443,2026-06-20,Türkiye,Paraguay,30,0.5666666666666667,0,0.32111111111111107,0.25
Q5 goal-in-each-half,760444,2026-06-20,Brazil,Haiti,30,0.5666666666666667,0,0.32111111111111107,0.25
Q5 goal-in-each-half,760447,2026-06-20,Netherlands,Sweden,30,0.5666666666666667,1,0.1877777777777778,0.25
Q5 goal-in-each-half,760448,2026-06-20,Germany,Ivory Coast,30,0.5666666666666667,1,0.1877777777777778,0.25
Q5 goal-in-each-half,760453,2026-06-21,Spain,Saudi Arabia,34,0.5588235294117647,1,0.19463667820069203,0.25
Q5 goal-in-each-half,760446,2026-06-21,Ecuador,Curaçao,34,0.5588235294117647,0,0.31228373702422146,0.25
Q5 goal-in-each-half,760449,2026-06-21,Tunisia,Japan,34,0.5588235294117647,1,0.19463667820069203,0.25
Q5 goal-in-each-half,760450,2026-06-21,Uruguay,Cape Verde,34,0.5588235294117647,1,0.19463667820069203,0.25
Q5 goal-in-each-half,760451,2026-06-21,Belgium,Iran,34,0.5588235294117647,0,0.31228373702422146,0.25
Q5 goal-in-each-half,760457,2026-06-22,France,Iraq,39,0.5641025641025641,1,0.19000657462195925,0.25
Q5 goal-in-each-half,760452,2026-06-22,New Zealand,Egypt,39,0.5641025641025641,1,0.19000657462195925,0.25
Q5 goal-in-each-half,760456,2026-06-22,Argentina,Austria,39,0.5641025641025641,1,0.19000657462195925,0.25
Q5 goal-in-each-half,760454,2026-06-23,Norway,Senegal,42,0.5952380952380952,1,0.16383219954648526,0.25
Q5 goal-in-each-half,760455,2026-06-23,Jordan,Algeria,42,0.5952380952380952,1,0.16383219954648526,0.25
