match,date,question_num,question_key,our_estimate,crowd_estimate,outcome,rbp,beat_crowd,has_sub_estimate,schema
KOR-CZE,2026-06-11,Q1,Will both teams score AND the match have 3 or more total goals?,0.4,0.38,1,6.44,1,0,B
KOR-CZE,2026-06-11,Q2,Will a penalty kick be awarded in the match?,0.42,0.33,0,-3.2,0,0,B
KOR-CZE,2026-06-11,Q3,Will South Korea have more shots on target than Czechia in the second half?,0.6,0.55,1,7.21,1,0,B
KOR-CZE,2026-06-11,Q4,Will South Korea win the match?,0.46,0.51,1,-0.08,0,0,B
KOR-CZE,2026-06-11,Q5,Will Son Heung-min score a goal (excluding own goals)?,0.38,0.4,0,6.52,1,0,B
KOR-CZE,2026-06-11,Q6,Will Patrik Schick have at least 1 shot on target?,0.65,0.67,0,5.91,1,0,B
CAN-BIH,2026-06-12,Q1,BIH fouls > Canada,0.67,0.64,1,5.08,1,0,B
CAN-BIH,2026-06-12,Q2,4+ 2H total SOT,0.7,0.59,1,11.76,1,0,B
CAN-BIH,2026-06-12,Q3,Penalty OR red card,0.43,0.41,0,2.8,1,0,B
CAN-BIH,2026-06-12,Q4,Canada win,0.75,0.62,0,-14.53,0,0,B
CAN-BIH,2026-06-12,Q5,HT tied,0.46,0.47,0,3.86,1,0,B
CAN-BIH,2026-06-12,Q6,2H 2+ goals,0.37,0.38,0,4.47,1,0,B
CAN-BIH,2026-06-12,Q7,BIH 5+ corners,0.27,0.36,0,9.46,1,0,B
CAN-BIH,2026-06-12,Q8,Jonathan David scores,0.33,0.38,0,6.88,1,0,B
CAN-BIH,2026-06-12,Q9,Dzeko 1+ SOT,0.6,0.58,0,2.89,1,0,B
CAN-BIH,2026-06-12,Q10,BIH score in 2H,0.37,0.44,0,9.98,1,0,B
BRA-MAR,2026-06-13,Q1,Will Brazil be caught offside 2 or more times?,0.43,0.59,0,20.36,1,0,B
BRA-MAR,2026-06-13,Q2,Will Morocco commit more fouls than Brazil?,0.64,0.61,0,-0.44,0,0,B
BRA-MAR,2026-06-13,Q3,Will Morocco score the first goal of the second half?,0.35,0.32,0,0.47,1,0,B
BRA-MAR,2026-06-13,Q4,Will Brazil score more goals than Morocco in the second half?,0.58,0.55,0,0.47,1,0,B
BRA-MAR,2026-06-13,Q5,Will Morocco have more shots on target than Brazil in the second half?,0.23,0.33,0,8.46,1,0,B
BRA-MAR,2026-06-13,Q6,Will Brazil receive more cards than Morocco?,0.41,0.39,1,4.72,1,0,B
BRA-MAR,2026-06-13,Q7,Will both teams score AND the match have 3 or more total goals?,0.4,0.47,0,10.79,1,0,B
BRA-MAR,2026-06-13,Q8,Will Brazil win the match?,1.0,0.67,0,-51.97,0,0,B
BRA-MAR,2026-06-13,Q9,Will Morocco have 5 or more corner kicks?,0.42,0.38,0,0.34,1,0,B
BRA-MAR,2026-06-13,Q10,Will the match be tied at halftime?,0.32,0.42,1,-9.52,0,0,B
QAT-SUI,2026-06-13,Q1,"At halftime, will both teams have at least 1 shot on target?",0.2,0.59,1,-42.51,0,0,B
QAT-SUI,2026-06-13,Q2,Will Switzerland be caught offside 2 or more times?,0.6,0.53,0,-3.84,0,0,B
QAT-SUI,2026-06-13,Q3,Will Switzerland receive at least 1 card in the second half?,0.4,0.57,0,19.86,1,0,B
QAT-SUI,2026-06-13,Q4,Will both teams score AND the match have 3 or more total goals?,0.32,0.31,0,2.85,1,0,B
QAT-SUI,2026-06-13,Q5,Will Qatar have 2 or more shots on target in the second half?,0.3,0.39,1,-7.61,0,0,B
QAT-SUI,2026-06-13,Q6,Will Qatar commit more fouls than Switzerland?,0.46,0.64,1,-13.81,0,0,B
QAT-SUI,2026-06-13,Q7,Will Qatar score at least 1 goal?,0.38,0.4,1,2.0,1,0,B
QAT-SUI,2026-06-13,Q8,Will Qatar have 2 or more shots on target?,0.39,0.57,1,-14.3,0,0,B
QAT-SUI,2026-06-13,Q9,Will Akram Afif have at least 1 shot on target?,0.42,0.46,0,7.26,1,0,B
QAT-SUI,2026-06-13,Q10,Will Granit Xhaka have at least 1 shot on target?,0.41,0.48,0,10.91,1,0,B
USA-PAR,2026-06-13,Q1,Will United States be caught offside 2 or more times?,0.58,0.56,1,5.31,1,0,B
