event_id,date,team_a,team_b,stage,n_cards_team_a,n_cards_team_b,n_cards_total,both_teams_carded,card_events,first_card_min,first_card_team,first_card_type,first_card_display
760497,2026-07-02,Spain,Austria,"2026 FIFA World Cup, Round of 32",0,1,1,False,83|Austria|yellow-card|83',83,Austria,yellow-card,83'
760511,2026-07-10,Spain,Belgium,"2026 FIFA World Cup, Quarterfinals",2,2,4,True,43|Spain|yellow-card|43';85|Belgium|yellow-card|85';90|Spain|yellow-card|90'+3';90|Belgium|yellow-card|90'+5',43,Spain,yellow-card,43'
760428,2026-06-15,Spain,Cape Verde,"2026 FIFA World Cup, Group Stage",1,1,2,True,16|Cape Verde|yellow-card|16';90|Spain|yellow-card|90'+3',16,Cape Verde,yellow-card,16'
760506,2026-07-06,Portugal,Spain,"2026 FIFA World Cup, Round of 16",2,1,3,True,89|Portugal|yellow-card|89';90|Portugal|yellow-card|90'+4';90|Spain|yellow-card|90'+8',89,Portugal,yellow-card,89'
760453,2026-06-21,Spain,Saudi Arabia,"2026 FIFA World Cup, Group Stage",0,2,2,False,30|Saudi Arabia|yellow-card|30';60|Saudi Arabia|yellow-card|60',30,Saudi Arabia,yellow-card,30'
760479,2026-06-27,Uruguay,Spain,"2026 FIFA World Cup, Group Stage",4,1,5,True,46|Spain|yellow-card|46';54|Uruguay|yellow-card|54';58|Uruguay|yellow-card|58';90|Uruguay|yellow-card|90'+3';90|Uruguay|red-card|90'+5',46,Spain,yellow-card,46'
760457,2026-06-22,France,Iraq,"2026 FIFA World Cup, Group Stage",0,1,1,False,6|Iraq|yellow-card|6',6,Iraq,yellow-card,6'
760510,2026-07-09,France,Morocco,"2026 FIFA World Cup, Quarterfinals",0,1,1,False,63|Morocco|yellow-card|63',63,Morocco,yellow-card,63'
760475,2026-06-26,Norway,France,"2026 FIFA World Cup, Group Stage",1,1,2,True,10|Norway|yellow-card|10';74|France|yellow-card|74',10,Norway,yellow-card,10'
760503,2026-07-04,Paraguay,France,"2026 FIFA World Cup, Round of 16",0,3,3,False,19|France|yellow-card|19';81|France|yellow-card|81';90|France|yellow-card|90'+7',19,France,yellow-card,19'
760432,2026-06-16,France,Senegal,"2026 FIFA World Cup, Group Stage",0,0,0,False,,,,,
760492,2026-06-30,France,Sweden,"2026 FIFA World Cup, Round of 32",0,0,0,False,,,,,
760414,2026-06-12,South Korea,Czechia,"2026 FIFA World Cup, Group Stage",1,0,1,False,90|South Korea|yellow-card|90'+6',90,South Korea,yellow-card,90'+6'
760415,2026-06-11,Mexico,South Africa,"2026 FIFA World Cup, Group Stage",2,4,6,True,17|South Africa|yellow-card|17';23|Mexico|yellow-card|23';49|South Africa|red-card|49';74|South Africa|yellow-card|74';84|South Africa|red-card|84';90|Mexico|red-card|90'+2',17,South Africa,yellow-card,17'
