"family","match_id","match_date","team_name","opponent_name","actual","n_prior","lambda_baseline","lambda_global","lambda_hier","nll_baseline","nll_global","nll_hier","threshold","brier_baseline","brier_hier"
"cards",760416,"2026-06-12","Canada","Bosnia and Herzegovina",2,3,2.06730769230769,1.70769230769231,1.2599281199081,1.30796061489506,1.33055362541886,1.4909659571798,2,0.150617016696267,0.410988426208023
"cards",760416,"2026-06-12","Bosnia and Herzegovina","Canada",3,0,1.70769230769231,1.70769230769231,2.22477640724492,1.89402298267027,1.89402298267027,1.61756661814471,2,0.240943897005639,0.121501875394487
"cards",760417,"2026-06-12","United States","Paraguay",1,4,1.5042735042735,1.70769230769231,1.74299373703189,1.09596344403311,1.17254937627561,1.18738956371223,2,0.196784420959564,0.270387336907895
"cards",760417,"2026-06-12","Paraguay","United States",5,0,1.70769230769231,1.70769230769231,1.45944791925238,3.81946939339087,3.81946939339087,4.35664852848512,2,0.240943897005639,0.326599040881731
"cards",760418,"2026-06-13","Haiti","Scotland",1,0,1.72348484848485,1.72348484848485,2.51708199097147,1.17913653268021,1.17913653268021,1.59398170046943,2,0.264208959237058,0.512928134880458
"cards",760418,"2026-06-13","Scotland","Haiti",3,0,1.72348484848485,1.72348484848485,1.8185742453462,1.882199370299,1.882199370299,1.81617527735319,2,0.23618374702277,0.209153645743009
"cards",760419,"2026-06-13","Brazil","Morocco",2,10,1.44116161616162,1.72348484848485,1.98852183673697,1.4034098641452,1.32793539743553,1.30688588306193,1,0.0560045001125332,0.0187409619244861
"cards",760419,"2026-06-13","Morocco","Brazil",0,10,1.70782828282828,1.72348484848485,2.27280019779571,1.70782828282828,1.72348484848485,2.27280019779571,2,0.259266033644632,0.439337451803421
"cards",760420,"2026-06-13","Qatar","Switzerland",2,3,1.95217803030303,1.72348484848485,3.45660198150212,1.30743383510148,1.32793539743553,1.66917712159031,2,0.175648641570346,0.0197533775548882
"cards",760420,"2026-06-13","Switzerland","Qatar",1,8,1.9705710955711,1.72348484848485,1.43982230277434,1.29224769860401,1.17913653268021,1.07530259765209,2,0.343360855047178,0.177945308141128
"cards",760421,"2026-06-14","Australia","Turkey",0,7,1.79938271604938,1.71851851851852,1.9541189134905,1.79938271604938,1.71851851851852,1.9541189134905,2,0.288346900033071,0.338064415664761
"cards",760421,"2026-06-14","Turkey","Australia",1,0,1.71851851851852,1.71851851851852,1.67911298657328,1.17705592529064,1.17705592529064,1.16084731677341,2,0.262639490646505,0.250240020698651
"cards",760422,"2026-06-14","Germany","Curaçao",0,6,1.41750841750842,1.71851851851852,1.12226063093744,1.41750841750842,1.71851851851852,1.12226063093744,1,0.574083500892194,0.4548922050347
"cards",760422,"2026-06-14","Curaçao","Germany",0,0,1.71851851851852,1.71851851851852,2.87871271492172,1.71851851851852,1.71851851851852,2.87871271492172,2,0.262639490646505,0.611506670676815
"cards",760423,"2026-06-14","Ivory Coast","Ecuador",3,0,1.71851851851852,1.71851851851852,2.34621942383333,1.88589020806293,1.88589020806293,1.57956306235155,2,0.237672192345715,0.102614452773206
"cards",760423,"2026-06-14","Ecuador","Ivory Coast",1,3,1.44907407407407,1.71851851851852,1.36009399772056,1.07814929121809,1.17705592529064,1.05254018439,1,0.0551252093137146,0.0658623714368953
"cards",760424,"2026-06-14","Sweden","Tunisia",0,5,1.65925925925926,1.71851851851852,1.70725468432912,1.65925925925926,1.71851851851852,1.70725468432912,2,0.244032520258818,0.259085220294594
