event_id,date,match,stage,referee,total_cards
760415,2026-06-11,Mexico vs South Africa,"2026 FIFA World Cup, Group Stage",Wilton Pereira Sampaio,6
760416,2026-06-12,Canada vs Bosnia-Herzegovina,"2026 FIFA World Cup, Group Stage",Facundo Tello,5
760417,2026-06-13,United States vs Paraguay,"2026 FIFA World Cup, Group Stage",Danny Makkelie,6
760419,2026-06-13,Brazil vs Morocco,"2026 FIFA World Cup, Group Stage",Slavko Vincici,2
760420,2026-06-13,Qatar vs Switzerland,"2026 FIFA World Cup, Group Stage","Martínez, Héctor",3
760421,2026-06-14,Australia vs Türkiye,"2026 FIFA World Cup, Group Stage",Jesús Valenzuela,1
760426,2026-06-15,Belgium vs Egypt,"2026 FIFA World Cup, Group Stage",Ramon Abatti Abel,4
760428,2026-06-15,Spain vs Cape Verde,"2026 FIFA World Cup, Group Stage",Adham Mohammad,2
760430,2026-06-16,Iraq vs Norway,"2026 FIFA World Cup, Group Stage",Pierre Atcho,1
760431,2026-06-17,Austria vs Jordan,"2026 FIFA World Cup, Group Stage",Beida Damane,1
760432,2026-06-16,France vs Senegal,"2026 FIFA World Cup, Group Stage",Alireza Faghani,0
760433,2026-06-17,Argentina vs Algeria,"2026 FIFA World Cup, Group Stage",Szymon Marciniak,0
760434,2026-06-17,Ghana vs Panama,"2026 FIFA World Cup, Group Stage",Glenn Nyberg,3
760435,2026-06-17,Portugal vs Congo DR,"2026 FIFA World Cup, Group Stage",Abdulrahman Al-Jassim,4
760436,2026-06-18,Uzbekistan vs Colombia,"2026 FIFA World Cup, Group Stage",Anthony Taylor,2
760437,2026-06-17,England vs Croatia,"2026 FIFA World Cup, Group Stage",Clément Turpin,0
760439,2026-06-18,Switzerland vs Bosnia-Herzegovina,"2026 FIFA World Cup, Group Stage",João Pinheiro,4
760440,2026-06-18,Canada vs Qatar,"2026 FIFA World Cup, Group Stage",Cristián Garay,4
760441,2026-06-19,Mexico vs South Korea,"2026 FIFA World Cup, Group Stage",Gustavo Tejera,2
760442,2026-06-19,United States vs Australia,"2026 FIFA World Cup, Group Stage",Felix Zwayer,7
760443,2026-06-20,Türkiye vs Paraguay,"2026 FIFA World Cup, Group Stage",Iván Arcides Barton Cisneros,3
760444,2026-06-20,Brazil vs Haiti,"2026 FIFA World Cup, Group Stage",Alejandro José Hernández Hernández,4
760445,2026-06-19,Scotland vs Morocco,"2026 FIFA World Cup, Group Stage",Ilgiz Tantashev,2
760447,2026-06-20,Netherlands vs Sweden,"2026 FIFA World Cup, Group Stage",Michael Oliver,3
760450,2026-06-21,Uruguay vs Cape Verde,"2026 FIFA World Cup, Group Stage",Espen Eskas,4
760452,2026-06-22,New Zealand vs Egypt,"2026 FIFA World Cup, Group Stage",Omar Al Ali,3
760453,2026-06-21,Spain vs Saudi Arabia,"2026 FIFA World Cup, Group Stage",Raphael Claus,2
760454,2026-06-23,Norway vs Senegal,"2026 FIFA World Cup, Group Stage",Wilton Pereira Sampaio,0
760455,2026-06-23,Jordan vs Algeria,"2026 FIFA World Cup, Group Stage",Slavko Vincici,2
760456,2026-06-22,Argentina vs Austria,"2026 FIFA World Cup, Group Stage",Amin Omar,4
760457,2026-06-22,France vs Iraq,"2026 FIFA World Cup, Group Stage",Drew Fischer,1
760458,2026-06-23,England vs Ghana,"2026 FIFA World Cup, Group Stage","Martínez, Héctor",2
760459,2026-06-24,Colombia vs Congo DR,"2026 FIFA World Cup, Group Stage",Maurizio Mariani,3
760460,2026-06-23,Panama vs Croatia,"2026 FIFA World Cup, Group Stage",Pierre Atcho,2
760461,2026-06-23,Portugal vs Uzbekistan,"2026 FIFA World Cup, Group Stage",Jalal Jayed,2
760463,2026-06-24,Switzerland vs Canada,"2026 FIFA World Cup, Group Stage",Ramon Abatti Abel,3
760464,2026-06-24,Morocco vs Haiti,"2026 FIFA World Cup, Group Stage",Danny Makkelie,3
760465,2026-06-24,Scotland vs Brazil,"2026 FIFA World Cup, Group Stage",César Arturo Ramos Palazuelos,3
760467,2026-06-25,Czechia vs Mexico,"2026 FIFA World Cup, Group Stage",Yael Falcón Pérez,1
760469,2026-06-26,Paraguay vs Australia,"2026 FIFA World Cup, Group Stage",Clément Turpin,2
760475,2026-06-26,Norway vs France,"2026 FIFA World Cup, Group Stage",Michael Oliver,2
760476,2026-06-27,Egypt vs Iran,"2026 FIFA World Cup, Group Stage",Szymon Marciniak,7
760478,2026-06-27,Cape Verde vs Saudi Arabia,"2026 FIFA World Cup, Group Stage",Francois Letexier,4
760479,2026-06-27,Uruguay vs Spain,"2026 FIFA World Cup, Group Stage",Ismail Elfath,5
760480,2026-06-27,Croatia vs Ghana,"2026 FIFA World Cup, Group Stage",Drew Fischer,2
760481,2026-06-27,Colombia vs Portugal,"2026 FIFA World Cup, Group Stage",Alireza Faghani,1
760483,2026-06-28,Jordan vs Argentina,"2026 FIFA World Cup, Group Stage",Istvan Kovacs,3
760484,2026-06-28,Algeria vs Austria,"2026 FIFA World Cup, Group Stage",Ilgiz Tantashev,1
760485,2026-06-27,Panama vs England,"2026 FIFA World Cup, Group Stage",Abdulrahman Al-Jassim,3
760486,2026-06-28,South Africa vs Canada,"2026 FIFA World Cup, Round of 32",João Pinheiro,2
760487,2026-06-29,Brazil vs Japan,"2026 FIFA World Cup, Round of 32",Maurizio Mariani,5
760488,2026-06-30,Netherlands vs Morocco,"2026 FIFA World Cup, Round of 32",Wilton Pereira Sampaio,1
760489,2026-06-29,Germany vs Paraguay,"2026 FIFA World Cup, Round of 32",Jalal Jayed,4
760490,2026-06-30,Ivory Coast vs Norway,"2026 FIFA World Cup, Round of 32",Jesús Valenzuela,1
760491,2026-07-01,Mexico vs Ecuador,"2026 FIFA World Cup, Round of 32",Slavko Vincici,4
760492,2026-06-30,France vs Sweden,"2026 FIFA World Cup, Round of 32",Danny Makkelie,0
760495,2026-07-01,England vs Congo DR,"2026 FIFA World Cup, Round of 32",Adham Mohammad,2
760502,2026-07-04,Canada vs Morocco,"2026 FIFA World Cup, Round of 16",Michael Oliver,8
760507,2026-07-07,United States vs Belgium,"2026 FIFA World Cup, Round of 16",Adham Mohammad,2
