event_id,date,team_a,team_b,outcome_a_first,shrunk_gap_b_minus_a,elo_diff,n_prior_a,n_prior_b,p_model,brier_model,brier_baseline
760432,2026-06-16,France,Senegal,0,0.0,432.4839999999999,0,0,0.44633663863627104,0.1992163949891252,0.25
760431,2026-06-17,Austria,Jordan,1,0.0,221.8119999999999,0,0,0.512924405874926,0.2372426343922938,0.25
760433,2026-06-17,Argentina,Algeria,1,0.0,634.2064000000005,0,0,0.3312145403109063,0.4472739910915523,0.25
760434,2026-06-17,Ghana,Panama,1,0.0,-467.1185999999998,0,0,0.8272396369523848,0.029846143040343814,0.25
760435,2026-06-17,Portugal,Congo DR,1,0.0,0.0,0,0,0.6992313413449089,0.09046178602918269,0.25
760437,2026-06-17,England,Croatia,0,0.0,233.55180000000018,0,0,0.6174453768812703,0.38123879343205397,0.25
760436,2026-06-18,Uzbekistan,Colombia,1,0.0,-489.5956000000001,0,0,0.8552628345287104,0.020948847068663456,0.25
760438,2026-06-18,Czechia,South Africa,0,-1.3333333333333286,0.0,1,1,0.7014036465861206,0.4919670754443076,0.25
760439,2026-06-18,Switzerland,Bosnia-Herzegovina,0,-0.5,0.0,1,1,0.6013479274447211,0.3616193298420616,0.25
760440,2026-06-18,Canada,Qatar,0,-0.1666666666666714,580.7107999999998,1,1,0.34349155713173074,0.11798644982078105,0.25
760441,2026-06-19,Mexico,South Korea,0,-0.6666666666666643,176.76839999999993,1,1,0.4130019399234691,0.1705706023805488,0.25
760442,2026-06-19,United States,Australia,0,0.1442307692307665,-153.33619999999974,0,1,0.7282106960595371,0.5302908178555156,0.25
760445,2026-06-19,Scotland,Morocco,1,-1.6666666666666643,-241.788,1,1,0.35217488974403777,0.41967737347814965,0.25
760444,2026-06-20,Brazil,Haiti,1,2.6666666666666643,726.4169999999999,1,1,0.48612575577824757,0.26406673887447724,0.25
760447,2026-06-20,Netherlands,Sweden,1,-0.8333333333333286,364.8942000000002,1,1,0.2999936933685875,0.4900088293237511,0.25
760448,2026-06-20,Germany,Ivory Coast,1,-0.7361111111111143,302.91719999999987,1,0,0.4004601442073951,0.3594480386838174,0.25
760446,2026-06-21,Ecuador,Curaçao,1,-2.4327956989247284,765.0344,0,1,0.14664230788438812,0.7282193506928833,0.25
760449,2026-06-21,Tunisia,Japan,1,-1.0,-613.7186000000002,1,1,0.759041572086417,0.05806096398258538,0.25
760450,2026-06-21,Uruguay,Cape Verde,0,2.6666666666666714,547.3716,1,1,0.5186688078540507,0.26901733224074215,0.25
760451,2026-06-21,Belgium,Iran,0,-1.8333333333333357,104.69600000000037,1,1,0.6592048438754338,0.434551026188835,0.25
760452,2026-06-22,New Zealand,Egypt,0,0.5,-153.63699999999972,1,1,0.6628589073050636,0.43938193099366285,0.25
760456,2026-06-22,Argentina,Austria,1,0.0,575.8937999999998,1,1,0.42666762875187225,0.32871000792100097,0.25
760457,2026-06-22,France,Iraq,0,-3.5,866.0178000000001,1,1,0.44278531716255487,0.1960588370947443,0.25
760454,2026-06-23,Norway,Senegal,1,0.3333333333333286,223.0672000000004,1,1,0.5449396254776098,0.20707994446045808,0.25
760455,2026-06-23,Jordan,Algeria,0,-1.3333333333333357,-229.6253999999999,1,1,0.6489320781656923,0.4211128420724442,0.25
760458,2026-06-23,England,Ghana,1,-4.5,895.3889999999997,1,1,0.22845548865481252,0.5952809329868842,0.25
760460,2026-06-23,Panama,Croatia,0,-0.8333333333333286,-263.4122000000002,1,1,0.647072505897365,0.41870282788829544,0.25
760459,2026-06-24,Colombia,Congo DR,0,-2.5,0.0,1,1,0.5835873589938009,0.3405742055773594,0.25
760463,2026-06-24,Switzerland,Canada,0,-4.285714285714292,112.61959999999999,2,2,0.49043825358035087,0.24052968057494453,0.25
760464,2026-06-24,Morocco,Haiti,0,-6.142857142857139,650.2656000000002,2,2,0.26998514934549067,0.0728919808671069,0.25
760465,2026-06-24,Scotland,Brazil,1,-7.142857142857146,-443.98939999999993,2,2,0.28077907507210503,0.5172787388541367,0.25
760466,2026-06-25,South Africa,South Korea,0,2.5714285714285694,-444.1432,2,2,0.6882336699059515,0.4736655843922142,0.25
760467,2026-06-25,Czechia,Mexico,1,2.5714285714285694,0.0,2,2,0.547622132809222,0.20464573472407718,0.25
760468,2026-06-25,Ecuador,Germany,0,1.095982142857146,-145.2514000000001,1,2,0.5863680370999823,0.3438274749324862,0.25
760471,2026-06-25,Japan,Sweden,0,-2.714285714285708,428.66499999999996,2,2,0.45045211129816676,0.202907104572976,0.25
760472,2026-06-25,Tunisia,Netherlands,1,-0.2857142857142847,-732.2718,2,2,0.6333318306337045,0.1344455464264304,0.25
760473,2026-06-25,Curaçao,Ivory Coast,0,2.3004201680672267,-440.49879999999985,2,1,0.6462162432823586,0.4175954330819645,0.25
760469,2026-06-26,Paraguay,Australia,1,-1.491758241758241,-23.846200000000408,0,2,0.5158738726955365,0.23437810713881757,0.25
760470,2026-06-26,Türkiye,United States,0,4.833333333333336,0.0,1,1,0.5340102171004306,0.28516691196764904,0.25
760474,2026-06-26,Senegal,Iraq,0,-6.285714285714285,327.7018000000003,2,2,0.5295224255954717,0.2803939992085119,0.25
760475,2026-06-26,Norway,France,1,8.857142857142861,-264.5792000000001,2,2,0.5554042692384683,0.1976653638113804,0.25
760476,2026-06-27,Egypt,Iran,1,-3.142857142857146,-59.38159999999971,2,2,0.49200822877763883,0.25805563962963174,0.25
760477,2026-06-27,New Zealand,Belgium,1,-2.857142857142854,-440.6076000000003,2,2,0.5859685392515732,0.17142205048947606,0.25
760478,2026-06-27,Cape Verde,Saudi Arabia,0,2.1746715927750415,-12.688599999999951,2,1,0.5504736160371376,0.30302120195300203,0.25
