"family","match_id","match_date","team_name","opponent_name","actual","n_prior","lambda_baseline","lambda_global","lambda_hier","nll_baseline","nll_global","nll_hier","threshold","brier_baseline","brier_hier"
"offsides",760416,"2026-06-12","Canada","Bosnia and Herzegovina",1,3,2.01442307692308,1.62307692307692,1.89539758434932,1.31409023670226,1.13875324005644,1.25596896077685,2,0.357465249191251,0.319159082140513
"offsides",760416,"2026-06-12","Bosnia and Herzegovina","Canada",0,0,1.62307692307692,1.62307692307692,1.13842655236398,1.62307692307692,1.62307692307692,1.13842655236398,2,0.232797831533612,0.0992335486510351
"offsides",760417,"2026-06-12","United States","Paraguay",2,4,1.45726495726496,1.62307692307692,1.21844736012556,1.39728941397327,1.3475767375959,1.5164397554926,1,0.0542295175503336,0.0874319309599292
"offsides",760417,"2026-06-12","Paraguay","United States",1,0,1.62307692307692,1.62307692307692,1.44766645277463,1.13875324005644,1.13875324005644,1.07771353563957,2,0.232797831533612,0.180207725367527
"offsides",760418,"2026-06-13","Haiti","Scotland",3,0,1.61363636363636,1.61363636363636,1.04839228894072,1.96992510349526,1.96992510349526,2.69837824606972,2,0.270959006144894,0.515471065787346
"offsides",760418,"2026-06-13","Scotland","Haiti",1,0,1.61363636363636,1.61363636363636,1.26983056666151,1.13514612051331,1.13514612051331,1.03094708716874,2,0.229884549355383,0.131371298646904
"offsides",760419,"2026-06-13","Brazil","Morocco",0,10,1.67121212121212,1.61363636363636,1.1459597669003,1.67121212121212,1.61363636363636,1.1459597669003,2,0.247766311547159,0.100971024749941
"offsides",760419,"2026-06-13","Morocco","Brazil",1,10,1.93787878787879,1.61363636363636,1.30514202697736,1.27628482132042,1.13514612051331,1.03883015919173,2,0.332835209760929,0.140623174817059
"offsides",760420,"2026-06-13","Qatar","Switzerland",0,3,1.88352272727273,1.61363636363636,0.988795229026615,1.88352272727273,1.61363636363636,0.988795229026615,2,0.315338654934908,0.0676619979530096
"offsides",760420,"2026-06-13","Switzerland","Qatar",1,8,1.38986013986014,1.61363636363636,1.39077116088198,1.06065701658561,1.13514612051331,1.06091277557814,1,0.0620558632332746,0.0619428977865562
"offsides",760421,"2026-06-14","Australia","Turkey",1,7,1,1.6,0.821300687696118,1,1.12999637075426,1.01816667860612,1,0.135335283236613,0.19347608315993
"offsides",760421,"2026-06-14","Turkey","Australia",3,0,1.6,1.6,1.12510224599105,1.98174858149085,1.98174858149085,2.56323996466328,2,0.275552498893756,0.475891849250389
"offsides",760422,"2026-06-14","Germany","Curaçao",0,6,2.45454545454545,1.6,1.84097617375489,2.45454545454545,1.6,1.84097617375489,2,0.494556105766825,0.301668650504797
"offsides",760422,"2026-06-14","Curaçao","Germany",1,0,1.6,1.6,0.809153767285995,1.12999637075426,1.12999637075426,1.02092007645994,2,0.225690605321547,0.0378310292334012
"offsides",760423,"2026-06-14","Ivory Coast","Ecuador",0,0,1.6,1.6,0.916958083684714,1.6,1.6,0.916958083684714,2,0.225690605321547,0.0546289228938499
"offsides",760423,"2026-06-14","Ecuador","Ivory Coast",0,3,1.875,1.6,1.35837998140556,1.875,1.6,1.35837998140556,2,0.312597808732737,0.155011472676342
"offsides",760424,"2026-06-14","Sweden","Tunisia",3,5,1.5,1.6,1.07607172171971,2.07536414490356,1.98174858149085,2.64787984477319,2,0.31116917729915,0.500980341115994
"offsides",760424,"2026-06-14","Tunisia","Sweden",6,6,1.81818181818182,1.6,1.17441157833893,4.8104110256582,5.35922943653569,6.78905936373301,2,0.209259583162688,0.451442630607599
"offsides",760425,"2026-06-14","Netherlands","Japan",1,5,1.5,1.6,0.996986723221743,1.09453489189184,1.12999637075426,1.00000454905915,2,0.195518376557,0.0692387634776076
"offsides",760425,"2026-06-14","Japan","Netherlands",0,8,1.69230769230769,1.6,1.13000275610899,1.69230769230769,1.6,1.13000275610899,2,0.254380792487352,0.0973066695824137
"offsides",760426,"2026-06-15","Belgium","Egypt",0,10,1.33214285714286,1.59642857142857,1.14813284257043,1.33214285714286,1.59642857142857,1.14813284257043,1,0.541826822924324,0.466176877022083
"offsides",760426,"2026-06-15","Egypt","Belgium",1,3,1.49776785714286,1.59642857142857,1.07929264677677,1.09379195258616,1.12865957998425,1.00298677690665,1,0.0500098289293658,0.115488387690197
"offsides",760427,"2026-06-15","Iran","New Zealand",2,6,1.54383116883117,1.59642857142857,1.34005423642832,1.36844415136737,1.35403776909988,1.44778124080779,2,0.295135773309517,0.375401087196289
"offsides",760427,"2026-06-15","New Zealand","Iran",0,0,1.59642857142857,1.59642857142857,1.08514320645754,1.59642857142857,1.59642857142857,1.08514320645754,2,0.224595035654999,0.0873363726086874
"offsides",760428,"2026-06-15","Spain","Cape Verde",2,8,1.9217032967033,1.59642857142857,1.90424515919502,1.30842662432565,1.35403776909988,1.30922096343152,2,0.182852939335044,0.187094154438347
"offsides",760428,"2026-06-15","Cape Verde","Spain",3,0,1.59642857142857,1.59642857142857,0.826077165619729,1.98488106632367,1.98488106632367,3.19103790178024,2,0.276765861900574,0.639023371645344
"offsides",760429,"2026-06-15","Saudi Arabia","Uruguay",0,6,1.45292207792208,1.59642857142857,0.984497275432083,1.45292207792208,1.59642857142857,0.984497275432083,1,0.586930881785656,0.392343121087478
"offsides",760429,"2026-06-15","Uruguay","Saudi Arabia",6,8,0.998626373626374,1.59642857142857,1.10660599224916,7.58612500961547,5.36906583477276,7.0780712054009,1,0.135707594647893,0.109348857009903
"offsides",760430,"2026-06-16","Iraq","Norway",1,0,1.60069444444444,1.60069444444444,1.1427170823744,1.13025688158374,1.13025688158374,1.0093082501825,2,0.225903771847306,0.100221476983536
"offsides",760430,"2026-06-16","Norway","Iraq",0,0,1.60069444444444,1.60069444444444,1.59666367648098,1.60069444444444,1.60069444444444,1.59666367648098,2,0.225903771847306,0.224667119372241
"offsides",760432,"2026-06-16","France","Senegal",1,14,1.36860380116959,1.60069444444444,1.38160731379239,1.05481270422261,1.13025688158374,1.05835977224415,1,0.0647509049564231,0.0630886355682479
"offsides",760432,"2026-06-16","Senegal","France",3,7,2.08362268518519,1.60069444444444,1.39118233896134,1.67305799143848,1.98114122509039,2.19247984072827,2,0.147336651287333,0.353883050695778
"offsides",760433,"2026-06-16","Argentina","Algeria",3,11,2.31271701388889,1.60069444444444,2.03814219979517,1.58920739358126,1.98114122509039,1.69378554935991,2,0.107539546763874,0.156642055263579
"offsides",760433,"2026-06-16","Algeria","Argentina",1,0,1.60069444444444,1.60069444444444,1.09001281073822,1.13025688158374,1.13025688158374,1.00382336159539,2,0.225903771847306,0.088394557932278
