"family","match_id","match_date","team_name","opponent_name","actual","n_prior","lambda_baseline","lambda_global","lambda_hier","nll_baseline","nll_global","nll_hier","threshold","brier_baseline","brier_hier"
"sot",760416,"2026-06-12","Canada","Bosnia and Herzegovina",4,3,3.04807692307692,3.87692307692308,4.56513439552007,1.76808725448124,1.63480963680788,1.6693964097313,3,0.170160864235871,0.0276834053060777
"sot",760416,"2026-06-12","Bosnia and Herzegovina","Canada",3,0,3.87692307692308,3.87692307692308,2.64803083454878,1.60355709330377,1.60355709330377,1.51834145635475,4,0.293897141509314,0.0753422636536736
"sot",760417,"2026-06-12","United States","Paraguay",6,4,3.5982905982906,3.87692307692308,3.19542889938078,2.49478841699295,2.32592338323846,2.80435219362431,4,0.265822073873301,0.36425747624607
"sot",760417,"2026-06-12","Paraguay","United States",1,0,3.87692307692308,3.87692307692308,4.0777224084457,2.52188125930729,2.52188125930729,2.6721838091239,4,0.293897141509314,0.338217723195911
"sot",760418,"2026-06-13","Haiti","Scotland",2,0,3.87121212121212,3.87121212121212,3.02627501575707,1.8572239665374,1.8572239665374,1.50475720533318,4,0.2926519395679,0.128633113820121
"sot",760418,"2026-06-13","Scotland","Haiti",2,0,3.87121212121212,3.87121212121212,4.23483434433286,1.8572239665374,1.8572239665374,2.04129310193488,4,0.2926519395679,0.373338760883083
"sot",760419,"2026-06-13","Brazil","Morocco",5,10,6.75707070707071,3.87121212121212,5.29014398542963,1.99161510592756,1.8908655259075,1.74840840862421,7,0.263684168810836,0.079159351000671
"sot",760419,"2026-06-13","Morocco","Brazil",3,10,3.02373737373737,3.87121212121212,2.96686572336547,1.49601602125512,1.60226858758818,1.49610694184551,3,0.174634568968391,0.185463199179571
"sot",760420,"2026-06-13","Qatar","Switzerland",3,3,3.16950757575758,3.87121212121212,2.08714327993024,1.50053833415027,1.60226858758818,1.67151391133387,3,0.149230713855911,0.426544700056453
"sot",760420,"2026-06-13","Switzerland","Qatar",7,8,3.48892773892774,3.87121212121212,5.4551474116444,3.26692794385104,2.9213998089562,2.10439127775698,3,0.10426439234948,0.00831539027030709
"sot",760421,"2026-06-14","Australia","Turkey",4,7,3.02777777777778,3.86666666666667,2.98792422800462,1.77451583303359,1.63514925923777,1.78766242562388,3,0.173885327604792,0.181391658958822
"sot",760421,"2026-06-14","Turkey","Australia",8,0,3.86666666666667,3.86666666666667,3.84226885951774,3.65212709385824,3.65212709385824,3.67836743466352,4,0.211547525058798,0.216109719673895
"sot",760422,"2026-06-14","Germany","Curaçao",12,6,5.75757575757576,3.86666666666667,7.27443160546367,4.73859212490957,7.62516744899804,3.44925793906048,6,0.235574587240307,0.0713099037249858
"sot",760422,"2026-06-14","Curaçao","Germany",2,0,3.86666666666667,3.86666666666667,2.14870561717077,1.85502822833819,1.85502822833819,1.31212155309794,4,0.291661608091269,0.029123927857115
"sot",760423,"2026-06-14","Ivory Coast","Ecuador",4,0,3.86666666666667,3.86666666666667,2.6788424378709,1.63514925923778,1.63514925923777,1.91535716802599,4,0.211547525058798,0.516603161442575
"sot",760423,"2026-06-14","Ecuador","Ivory Coast",1,3,3.79166666666667,3.86666666666667,4.5476605636714,2.45886099049776,2.51427385722246,3.03304762476552,4,0.275424237792673,0.443131530159866
"sot",760424,"2026-06-14","Sweden","Tunisia",7,5,4.03333333333333,3.86666666666667,3.95443807510311,2.79634254685665,2.92507836162262,2.85572985563069,4,0.182316340559723,0.195736970200327
"sot",760424,"2026-06-14","Tunisia","Sweden",2,6,3.57575757575758,3.86666666666667,3.44161267733074,1.72055063031915,1.85502822833819,1.66287953172704,4,0.230038046936416,0.203146069803682
"sot",760425,"2026-06-14","Netherlands","Japan",6,5,3.53333333333333,3.86666666666667,3.14380281352296,2.53913427064396,2.33156102201151,2.85045510000325,4,0.280324970157332,0.378286700794764
"sot",760425,"2026-06-14","Japan","Netherlands",3,8,3.7948717948718,3.86666666666667,3.63640947395908,1.58567938119644,1.60124770756209,1.55517858346254,4,0.27611390872964,0.242552278135617
"sot",760426,"2026-06-15","Belgium","Egypt",3,10,4.36785714285714,3.90357142857143,4.88222796840485,1.73679901453143,1.60965524277762,1.9171824378928,4,0.403124617914417,0.515597498487336
"sot",760426,"2026-06-15","Egypt","Belgium",3,3,3.18973214285714,3.90357142857143,3.0213815782518,1.50168077554055,1.60965524277762,1.49599843842363,3,0.145962807590943,0.175072639049102
"sot",760427,"2026-06-15","Iran","New Zealand",4,6,2.95616883116883,3.90357142857143,4.19375611686945,1.79864619674042,1.63405771889022,1.63742282599833,3,0.187559561031021,0.0445485019787913
"sot",760427,"2026-06-15","New Zealand","Iran",8,0,3.90357142857143,3.90357142857143,3.19643391023807,3.61303925125837,3.61303925125837,4.50475053021302,4,0.204785513930352,0.363987397641668
"sot",760428,"2026-06-15","Spain","Cape Verde",7,8,4.2706043956044,3.90357142857143,7.82401633552118,2.63347822363534,2.89548959458582,1.94879155236071,4,0.14627769036441,0.00227567161092564
"sot",760428,"2026-06-15","Cape Verde","Spain",1,0,3.90357142857143,3.90357142857143,1.91809090030376,2.54167954356414,2.54167954356414,1.26676053168933,4,0.299720844571633,0.0164883877461538
"sot",760429,"2026-06-15","Saudi Arabia","Uruguay",3,6,3.41071428571429,3.90357142857143,2.76197139911554,1.5217085430079,1.60965524277762,1.50589676894987,3,0.114026221244187,0.229026975264397
"sot",760429,"2026-06-15","Uruguay","Saudi Arabia",10,8,3.80906593406593,3.90357142857143,5.26785237491293,5.53963853295053,5.38906515157406,3.75603734295858,4,0.222436587422345,0.0526331041208476
"sot",760430,"2026-06-16","Iraq","Norway",1,0,3.93055555555556,3.93055555555556,3.0052474610765,2.56177477692837,2.56177477692837,1.90488754670401,4,0.305639113494863,0.12527618530385
"sot",760430,"2026-06-16","Norway","Iraq",5,0,3.93055555555556,3.93055555555556,5.56905867035298,1.87414340520169,1.87414340520169,1.7704202145327,4,0.199946365042811,0.0376342275267452
"sot",760432,"2026-06-16","France","Senegal",8,14,4.40277777777778,3.93055555555556,5.68904881788487,3.14949544163323,3.58491222928335,2.38530718596678,4,0.128855013216039,0.0328269145379548
"sot",760432,"2026-06-16","Senegal","France",2,7,3.55439814814815,3.93055555555556,3.09987671447931,1.71117382543456,1.88614117886114,1.53029921268432,4,0.225680836042426,0.140724376377254
"sot",760433,"2026-06-16","Argentina","Algeria",6,11,5.29079861111111,3.93055555555556,7.09089236134517,1.874234619164,2.29712209580256,1.9172764058095,5,0.152904421170609,0.027178873872166
"sot",760433,"2026-06-16","Algeria","Argentina",1,0,3.93055555555556,3.93055555555556,2.75462828428645,2.56177477692837,2.56177477692837,1.74134577481859,4,0.305639113494863,0.0887955193131498
"sot",760431,"2026-06-17","Austria","Jordan",4,0,3.92857142857143,3.92857142857143,4.58423530282808,1.63352183645052,1.63352183645052,1.67179589546599,4,0.200299175622607,0.107770410819109
"sot",760431,"2026-06-17","Jordan","Austria",4,0,3.92857142857143,3.92857142857143,3.44075932146379,1.63352183645052,1.63352183645052,1.67604443176763,4,0.200299175622607,0.301915448165097
"sot",760434,"2026-06-17","Ghana","Panama",2,3,3.70535714285714,3.92857142857143,3.09150005306901,1.77894502554588,1.88516689789695,1.52733437926377,4,0.25701283372055,0.139321952739798
"sot",760434,"2026-06-17","Panama","Ghana",4,3,3.45535714285714,3.92857142857143,5.26095313485118,1.67370768626634,1.63352183645052,1.79775810648542,3,0.108361668038997,0.0108836913567324
"sot",760435,"2026-06-17","Portugal","DR Congo",1,9,4.18877551020408,3.92857142857143,5.74076830520369,2.75636705998217,2.56029557295422,3.99317525274869,4,0.363024222368909,0.679176690690662
"sot",760435,"2026-06-17","DR Congo","Portugal",2,0,3.92857142857143,3.92857142857143,2.7175925424222,1.88516689789695,1.88516689789695,1.41124693561696,4,0.305203257583412,0.0839783151292015
