match,team,threshold,actual,lambda_market,lambda_hier,lambda_baseline,nll_market,nll_hier,nll_baseline
Brazil_vs_Norway,Brazil,4.5,4.0,5.076,5.499,6.736,1.755986854207805,1.8588890141891925,2.2840404576342905
Brazil_vs_Norway,Norway,3.5,5.0,4.049,3.365,4.442,1.8441263933620506,2.0851960814631894,1.7739811781028143
France_vs_Paraguay,France,7.5,5.0,7.303,6.565,5.131,2.1489906485117025,1.9436420837144288,1.7419873005028155
France_vs_Paraguay,Paraguay,2.5,1.0,2.425,2.292,3.112,1.538963477070879,1.4625644669607203,1.9770039121238383
Canada_vs_Morocco,Canada,2.5,3.0,3.027,3.194,4.418,1.4960454423227572,1.5019096779360068,1.752579786030363
Canada_vs_Morocco,Morocco,4.5,4.0,4.467,4.815,3.527,1.6581358861077984,1.706056009717618,1.6632732908963765
Mexico_vs_England,England,3.5,5.0,4.085,4.459,4.761,1.8359702254604198,1.7718362650151436,1.7462125038956415
Mexico_vs_England,Mexico,3.5,5.0,3.241,3.436,3.999,2.149241400906912,2.051794690172698,1.856378629894393
Australia_vs_Egypt,Egypt,3.5,2.0,3.598,2.177,3.502,1.7301732852700642,1.3142311074295683,1.6884259068354606
Spain_vs_Austria,Spain,6.5,10.0,6.268,5.672,4.497,3.017623060970065,3.421175499161908,4.56727835950397
Spain_vs_Austria,Austria,2.5,0.0,2.94,2.329,3.494,2.940208863473395,2.32910140397102,3.49404761904762
Argentina_vs_CapeVerde,Argentina,6.5,10.0,6.413,8.871,5.262,2.9341396507281274,2.147563473816481,3.7613706099239916
Argentina_vs_CapeVerde,Cape Verde,1.5,5.0,1.721,1.745,3.372,3.7943265748573785,3.749417989714004,2.081929809731709
Portugal_vs_Croatia,Portugal,4.5,3.0,4.892,4.229,4.174,1.9207650609346278,1.69475817574776,1.679042085535571
Portugal_vs_Croatia,Croatia,3.5,6.0,3.288,3.334,3.907,2.7251727759340607,2.6878742464223797,2.309671740825051
Colombia_vs_Ghana,Colombia,5.5,8.0,5.434,6.945,4.248,2.4972098290458504,2.0453771943334527,3.2809779294678396
Colombia_vs_Ghana,Ghana,2.5,0.0,2.398,2.112,3.089,2.3983141993593344,2.11181073498832,3.08877507469057
Argentina_vs_Switzerland,Argentina,5.5,7.0,5.603,5.605,5.573,2.0651152204547696,2.0646354287449995,2.0726245349802843
Argentina_vs_Switzerland,Switzerland,2.5,5.0,3.086,2.707,3.946,2.238846162249299,2.5154482059191934,1.8699027642833523
Spain_vs_Belgium,Belgium,2.5,2.0,3.027,3.056,4.901,1.5051258715313134,1.5148569206102214,2.4150055813664815
